Date,OpensAt,ClosesAt,HighestAt,LowestAt,VolumeTraded,MarketCap
2020-5-2,12.17,12.75,12.86,12.10,699667651,899691108
2020-4-2,11.88,12.17,12.30,11.57,525024477,858792142
2020-3-2,12.07,11.88,12.27,11.78,504085310,838234563
2020-2-2,11.44,12.07,12.48,11.25,610120618,851110871
2020-1-2,11.48,11.44,11.62,11.23,447550231,806924085
2020-31-1,11.75,11.47,11.75,11.15,474698228,809033027
2020-30-1,11.24,11.74,11.80,10.93,512721541,828379423
2020-29-1,11.39,11.25,11.69,11.25,470616230,793310167
2020-28-1,11.12,11.38,11.39,11.03,456766140,803023012
2020-27-1,10.79,11.12,11.27,10.72,486387846,784454525
2020-26-1,10.37,10.79,10.79,10.31,404980625,761197052
2020-25-1,10.54,10.38,10.55,10.25,385598906,732042427
2020-24-1,10.60,10.54,10.67,10.18,431976783,743631121
2020-23-1,11.25,10.59,11.26,10.44,469032837,747269106
2020-22-1,11.21,11.24,11.36,11.15,427437898,792531607
2020-21-1,11.14,11.22,11.29,10.90,439099246,791311089
2020-20-1,11.23,11.14,11.33,10.87,457576088,785962924
2020-19-1,11.90,11.24,12.16,10.88,565130675,792985473
2020-18-1,11.88,11.90,12.30,11.35,640055893,839211044
2020-17-1,11.28,11.89,11.93,11.18,613650220,838848785
2020-16-1,11.41,11.27,11.55,10.78,557155121,795027478
2020-15-1,11.22,11.42,11.89,10.89,688138212,805615914
2020-14-1,10.06,11.24,11.57,10.04,682255589,792731466
2020-13-1,10.28,10.06,10.30,9.81,403409327,709734345
2020-12-1,9.72,10.27,10.41,9.67,459127690,724098648
2020-11-1,9.86,9.72,9.99,9.60,423065242,685741235
2020-10-1,9.44,9.86,9.86,9.09,409988928,695690645
2020-9-1,9.52,9.44,9.52,9.36,357091292,665893525
2020-8-1,9.82,9.53,10.10,9.43,470741967,671929024
2020-7-1,9.78,9.82,9.91,9.45,479929669,692822056
2020-6-1,9.08,9.77,9.82,9.07,486188491,689404655
2020-5-1,9.14,9.07,9.33,9.05,406708915,639703566
2020-4-1,8.89,9.15,9.15,8.82,358861190,645616187
2020-3-1,8.50,8.89,9.03,8.38,371142358,626917156
2020-2-1,8.85,8.49,8.85,8.44,327241775,599152620
2020-1-1,8.68,8.85,9.00,8.63,340927447,624197831
2019-31-12,9.02,8.69,9.08,8.63,355254392,612871331
2019-30-12,9.25,9.02,9.32,8.95,383434459,636276389
2019-29-12,8.79,9.25,9.39,8.77,440624015,652749972
2019-28-12,8.78,8.79,8.86,8.72,343732112,620317955
2019-27-12,8.56,8.78,8.87,8.55,355073901,619384106
2019-26-12,8.69,8.56,8.79,8.56,366442609,603779090
2019-25-12,8.79,8.69,8.80,8.53,386405336,613130765
2019-24-12,8.58,8.78,8.95,8.52,412815357,619159028
2019-23-12,8.92,8.59,9.02,8.57,431188130,605672723
2019-22-12,8.56,8.92,8.92,8.56,407879217,628873655
2019-21-12,8.66,8.56,8.66,8.48,363824020,603956214
2019-20-12,8.66,8.65,8.72,8.54,380714679,610463412
2019-19-12,8.81,8.67,8.87,8.49,405643371,611376701
2019-18-12,7.90,8.80,8.87,7.83,511424967,621082813
2019-17-12,8.40,7.90,8.44,7.80,423480194,556951504
2019-16-12,8.97,8.40,9.03,8.35,436140051,592532816
2019-15-12,8.87,8.96,9.02,8.51,426974845,632257321
2019-14-12,8.91,8.87,9.18,8.75,442529018,625432901
2019-13-12,8.68,8.91,9.13,8.63,427290538,628843465
2019-12-12,8.54,8.67,8.69,8.41,452828640,611747342
2019-11-12,8.62,8.54,8.73,8.47,299233990,602715080
2019-10-12,8.79,8.62,8.79,8.52,307202597,607764044
2019-9-12,9.09,8.79,9.15,8.73,292727008,619772885
2019-8-12,8.99,9.09,9.22,8.87,305831753,641236530
2019-7-12,8.77,8.99,9.26,8.77,332957949,634037458
2019-6-12,8.82,8.77,8.86,8.68,297307062,618481282
2019-5-12,8.70,8.81,9.08,8.57,328984103,621448861
2019-4-12,8.99,8.72,9.09,8.63,335103295,614878794
2019-3-12,8.97,8.99,9.19,8.82,303309098,634275741
2019-2-12,9.28,8.97,9.36,8.86,335056258,632766865
2019-1-12,9.37,9.29,9.50,8.98,313468750,655229253
2019-30-11,9.77,9.38,9.89,9.27,367196454,661333408
2019-29-11,9.33,9.76,9.90,9.32,381982780,688774821
2019-28-11,9.49,9.32,9.65,9.30,349185109,657404641
2019-27-11,9.31,9.49,9.69,8.86,410238361,669553971
2019-26-11,9.13,9.34,9.41,9.03,372281335,659096090
2019-25-11,9.16,9.13,9.51,8.41,446997610,644270091
2019-24-11,10.14,9.15,10.14,9.15,400062693,645495988
2019-23-11,9.70,10.14,10.17,9.52,434460433,715096285
2019-22-11,11.06,9.70,11.19,9.38,543155922,683948868
2019-21-11,11.55,11.06,11.59,10.67,504284931,780164032
