Date,OpensAt,ClosesAt,HighestAt,LowestAt,VolumeTraded,MarketCap
2020-5-2,0.822040,0.846429,0.846647,0.808480,137880145,539472653
2020-4-2,0.780056,0.823132,0.823642,0.754652,123444397,524624150
2020-3-2,0.785016,0.780311,0.801376,0.767487,108364842,497331986
2020-2-2,0.762218,0.785016,0.808480,0.746706,140368912,500330876
2020-1-2,0.770308,0.763295,0.776525,0.746585,105289020,486487240
2020-31-1,0.737414,0.769684,0.779485,0.723041,146943824,490558885
2020-30-1,0.733052,0.737669,0.740633,0.716664,112152368,470154087
2020-29-1,0.697832,0.733291,0.752571,0.697490,151841639,467364051
2020-28-1,0.686137,0.697385,0.697484,0.674114,101163238,444479238
2020-27-1,0.647623,0.685991,0.685991,0.643383,99413295,437216876
2020-26-1,0.634134,0.646605,0.655951,0.628842,77630884,412114344
2020-25-1,0.626738,0.633859,0.636852,0.614570,71803313,403990747
2020-24-1,0.637422,0.626599,0.639569,0.611703,85164001,399363289
2020-23-1,0.668746,0.637080,0.672317,0.622040,84716561,406043580
2020-22-1,0.662558,0.668267,0.678607,0.658469,83624923,425920457
2020-21-1,0.654276,0.662558,0.665017,0.643418,92478898,422282384
2020-20-1,0.653093,0.654366,0.668267,0.630870,112863046,417061204
2020-19-1,0.688543,0.653373,0.715316,0.642831,138168988,416428112
2020-18-1,0.716680,0.687989,0.729790,0.685754,152822619,438490374
2020-17-1,0.714216,0.717602,0.728487,0.679894,155507434,457364159
2020-16-1,0.698710,0.713108,0.714091,0.651189,129445344,454499903
2020-15-1,0.675142,0.698180,0.743598,0.668767,164127113,444985559
2020-14-1,0.608189,0.677150,0.679129,0.607519,127260855,431582261
2020-13-1,0.615911,0.608048,0.618115,0.584556,97108279,387540250
2020-12-1,0.585581,0.615588,0.627627,0.580523,114868496,392346048
2020-11-1,0.566488,0.585802,0.609506,0.561924,98001152,373361501
2020-10-1,0.542526,0.566301,0.566892,0.531969,83594178,360932918
2020-9-1,0.555495,0.542696,0.555495,0.534878,67629758,345888181
2020-8-1,0.564569,0.555804,0.582724,0.544081,75783460,354242027
2020-7-1,0.584859,0.564425,0.590695,0.555139,85659848,359736983
2020-6-1,0.552393,0.583860,0.587504,0.552349,87325737,372124127
2020-5-1,0.534342,0.552064,0.573015,0.534342,80035670,351858671
2020-4-1,0.528221,0.534763,0.534763,0.520692,58007761,340831924
2020-3-1,0.504405,0.528322,0.533331,0.497402,78199033,336726926
2020-2-1,0.527083,0.502871,0.527211,0.501708,64686317,320505408
2020-1-1,0.518744,0.526598,0.540205,0.516688,66118354,335627663
2019-31-12,0.529512,0.519029,0.530808,0.516812,75634560,330803542
2019-30-12,0.547004,0.529579,0.547015,0.526461,85314108,337527495
2019-29-12,0.532527,0.546944,0.557396,0.529648,94906841,348595244
2019-28-12,0.523198,0.532415,0.541817,0.521363,83503946,339335160
2019-27-12,0.518423,0.523245,0.527123,0.513917,81095132,333490692
2019-26-12,0.517778,0.518270,0.531077,0.512672,78000728,330320145
2019-25-12,0.526559,0.517739,0.527196,0.511015,61120312,329981460
2019-24-12,0.523643,0.526559,0.544288,0.521041,76682238,335602938
2019-23-12,0.557348,0.522919,0.563356,0.519957,82806304,333283086
2019-22-12,0.542878,0.557655,0.558690,0.538718,67948946,355421873
2019-21-12,0.552280,0.542652,0.553523,0.538458,60696554,345859941
2019-20-12,0.546864,0.552080,0.560721,0.536099,70304922,351868990
2019-19-12,0.561373,0.546119,0.565396,0.533560,78566686,348069575
2019-18-12,0.522772,0.562023,0.567861,0.514854,92213698,358206317
2019-17-12,0.562012,0.524259,0.566386,0.513771,69146476,334137270
2019-16-12,0.599024,0.562012,0.599996,0.561752,65321015,358198974
2019-15-12,0.591165,0.598962,0.607573,0.568791,76890254,381749403
2019-14-12,0.613682,0.590736,0.614267,0.586768,74717385,376506356
2019-13-12,0.595931,0.613690,0.626946,0.595514,91343647,391136278
2019-12-12,0.591029,0.595670,0.598207,0.584256,85672295,379651217
2019-11-12,0.592588,0.591029,0.608432,0.586281,69582253,376693215
2019-10-12,0.616945,0.592761,0.619100,0.585149,81510146,377797102
2019-9-12,0.644541,0.616912,0.652645,0.613483,97003105,393189415
2019-8-12,0.622003,0.644615,0.654535,0.612330,84249423,410845913
2019-7-12,0.618209,0.622319,0.631275,0.616187,65568168,396635720
2019-6-12,0.616097,0.618215,0.618971,0.604012,62399449,394019801
2019-5-12,0.596918,0.615959,0.639513,0.594601,69723537,392582428
2019-4-12,0.619972,0.596766,0.624225,0.586915,79157119,380349561
2019-3-12,0.617558,0.620031,0.630087,0.608161,60710120,395177578
2019-2-12,0.637685,0.617558,0.642277,0.609920,67615628,393601299
2019-1-12,0.639230,0.637483,0.646418,0.607582,100187206,406300640
2019-30-11,0.682193,0.638980,0.689926,0.635070,93388873,407254910
2019-29-11,0.640867,0.682447,0.697264,0.632799,118461640,434958408
2019-28-11,0.643761,0.641224,0.671151,0.633545,97950371,408684668
2019-27-11,0.630266,0.643418,0.657717,0.590519,111594239,410082946
2019-26-11,0.604817,0.632370,0.635691,0.601901,112022946,403041474
2019-25-11,0.568567,0.605229,0.642363,0.534829,170735222,385743265
2019-24-11,0.638909,0.566212,0.640314,0.566212,114713197,360876144
2019-23-11,0.608532,0.639025,0.641100,0.588054,120743704,407283577
2019-22-11,0.668675,0.608325,0.679275,0.563503,169409201,387716544
2019-21-11,0.723208,0.668702,0.723320,0.655002,126739386,426197898
2019-20-11,0.734124,0.723150,0.764662,0.715287,144738779,460900557
2019-19-11,0.768601,0.733933,0.774434,0.719897,138804456,467772794
2019-18-11,0.826958,0.768925,0.830425,0.747053,118328431,467007514
2019-17-11,0.840321,0.827789,0.846116,0.815165,109750709,486202554
2019-16-11,0.831717,0.840321,0.848671,0.823009,97831804,493563550
2019-15-11,0.889246,0.831863,0.899808,0.812761,135932291,488595733
2019-14-11,0.932047,0.888848,0.938796,0.874692,152110285,522066201
2019-13-11,0.915226,0.932138,0.949204,0.888658,167865752,538170754
2019-12-11,0.847357,0.915810,0.917054,0.841154,168891431,528743998
2019-11-11,0.853242,0.846890,0.856188,0.808653,104140379,488952740
2019-10-11,0.827503,0.853133,0.859909,0.825405,101499554,492557280
2019-9-11,0.825753,0.827072,0.837294,0.821134,84953386,477510778
2019-8-11,0.895754,0.825677,0.897511,0.818180,122458822,469274303
2019-7-11,0.897250,0.895349,0.898580,0.862786,130192103,508872839
2019-6-11,0.905227,0.897487,0.918485,0.890439,130692215,510087623
2019-5-11,0.911636,0.905848,0.915275,0.886811,155453518,514839854
2019-4-11,0.900900,0.911636,0.926532,0.890811,149831583,510380266
2019-3-11,0.927794,0.901170,0.931891,0.874091,152278019,504520873
2019-2-11,0.869946,0.927644,0.936626,0.858794,217469990,519342507
2019-1-11,0.861197,0.871224,0.876196,0.839856,129682325,487755841
2019-31-10,0.893439,0.861077,0.896395,0.823838,193240188,482074865
2019-30-10,0.855851,0.890525,0.921580,0.825906,272616953,498561271
2019-29-10,0.880838,0.856200,0.922191,0.828001,241627077,475920019
2019-28-10,0.982048,0.881455,1.14,0.854156,494612778,489957829
2019-27-10,0.662524,0.983525,1.09,0.662524,529991907,538333814
2019-26-10,0.619433,0.662575,0.701077,0.616642,153820023,357029135
2019-25-10,0.551608,0.619236,0.619246,0.545676,90020375,333675963
2019-24-10,0.550425,0.551232,0.555959,0.538737,58002365,297031900
2019-23-10,0.583777,0.549459,0.584638,0.531048,84837747,294428208
2019-22-10,0.594063,0.583769,0.605130,0.582284,75161046,312813428
2019-21-10,0.587114,0.594162,0.597420,0.579440,79819884,318382215
2019-20-10,0.587844,0.587114,0.590561,0.574071,86568910,314605805
2019-19-10,0.588690,0.587684,0.594145,0.582790,71999448,314911378
2019-18-10,0.604828,0.588306,0.609434,0.578786,80578554,315244371
2019-17-10,0.608852,0.604828,0.612952,0.594019,80441084,324097900
2019-16-10,0.638614,0.608918,0.647553,0.597480,88590812,326289359
2019-15-10,0.641749,0.638542,0.649652,0.630641,103188167,342163458
2019-14-10,0.639343,0.641860,0.647500,0.631526,80691322,343941353
2019-13-10,0.634102,0.639343,0.654528,0.630025,82586046,341122316
2019-12-10,0.650465,0.634269,0.660316,0.630703,88011193,338414978
2019-11-10,0.647436,0.650465,0.664073,0.630950,100651379,347056440
2019-10-10,0.658867,0.647445,0.662822,0.624723,97427040,345445297
2019-9-10,0.639866,0.658747,0.666544,0.630209,96663142,351475153
2019-8-10,0.641063,0.639247,0.652810,0.624523,90481587,341071146
2019-7-10,0.611545,0.641352,0.645557,0.603411,82359517,342194113
2019-6-10,0.624043,0.611959,0.629587,0.602910,58481614,326511322
2019-5-10,0.616765,0.624063,0.627125,0.613370,66548246,332969719
2019-4-10,0.606888,0.616584,0.623862,0.601017,60101642,328979033
