Date,OpensAt,ClosesAt,HighestAt,LowestAt,VolumeTraded,MarketCap
2020-5-2,0.244200,0.251646,0.252333,0.239347,88483778,358165211
2020-4-2,0.235532,0.244147,0.250166,0.232057,99684052,347491702
2020-3-2,0.223217,0.235587,0.237378,0.222454,61713475,335308220
2020-2-2,0.224037,0.223382,0.229802,0.220734,52190150,317936494
2020-1-2,0.219220,0.224324,0.224723,0.219220,48405258,319277778
2020-31-1,0.223112,0.219153,0.224758,0.213615,55872703,311917261
2020-30-1,0.219482,0.223296,0.223557,0.216337,60868516,317792663
2020-29-1,0.222139,0.219619,0.224790,0.218727,65190942,312554866
2020-28-1,0.226765,0.222147,0.229693,0.216600,69251607,316152898
2020-27-1,0.211765,0.226850,0.228041,0.211605,60294391,322845791
2020-26-1,0.204678,0.211612,0.212331,0.203494,47850762,300842390
2020-25-1,0.207349,0.204836,0.207404,0.202128,41628366,291208657
2020-24-1,0.208244,0.207246,0.208266,0.200771,44967053,294634657
2020-23-1,0.219143,0.208167,0.219516,0.205425,49020267,295944056
2020-22-1,0.220137,0.219458,0.221423,0.217089,46002292,311995730
2020-21-1,0.221798,0.220275,0.224413,0.214153,55120770,313157242
2020-20-1,0.214349,0.221714,0.224092,0.210432,62412074,315203856
2020-19-1,0.224799,0.214455,0.228579,0.209111,57775448,304882977
2020-18-1,0.229660,0.224644,0.231689,0.219281,59923625,319369156
2020-17-1,0.217698,0.229728,0.232665,0.214255,68894095,326597206
2020-16-1,0.219983,0.217673,0.221485,0.210547,53452385,309349072
2020-15-1,0.212400,0.219713,0.237217,0.211481,92447507,312249146
2020-14-1,0.187780,0.212436,0.213134,0.187292,63840081,301890638
2020-13-1,0.191220,0.187814,0.191584,0.187227,44799749,266899461
2020-12-1,0.189699,0.191303,0.192593,0.188862,42369470,271858632
2020-11-1,0.187455,0.189747,0.193383,0.186866,47013777,269647457
2020-10-1,0.186130,0.187409,0.187952,0.182987,48947327,266325113
2020-9-1,0.184185,0.186361,0.188964,0.182263,50598041,264835041
2020-8-1,0.193508,0.184202,0.194834,0.184022,54340205,261766740
2020-7-1,0.191971,0.193379,0.197265,0.191833,57682961,273744163
2020-6-1,0.189163,0.192032,0.196460,0.188995,50966011,271837862
2020-5-1,0.189803,0.188898,0.193824,0.188223,46686533,267401433
2020-4-1,0.187587,0.189891,0.190930,0.184939,43280231,268771715
2020-3-1,0.183649,0.187701,0.192417,0.181661,55439573,265672977
2020-2-1,0.196123,0.183821,0.196442,0.183375,52616967,260181315
2020-1-1,0.181816,0.196129,0.197126,0.180976,54964262,277601807
2019-31-12,0.190676,0.181768,0.194272,0.180881,55600479,257275573
2019-30-12,0.192722,0.190580,0.199973,0.188163,67737772,269747069
2019-29-12,0.185619,0.192579,0.196641,0.185064,74591022,272577544
2019-28-12,0.169652,0.185700,0.186777,0.169577,68500348,262840519
2019-27-12,0.164714,0.169650,0.169650,0.163986,41612685,240123266
2019-26-12,0.162984,0.164700,0.168739,0.162017,44019391,232755058
2019-25-12,0.167214,0.163157,0.167803,0.162212,44723117,230574694
2019-24-12,0.164061,0.167216,0.172803,0.163328,49113737,236309978
2019-23-12,0.173448,0.164182,0.173657,0.163370,52227115,232022792
2019-22-12,0.168311,0.173439,0.174463,0.167667,50835515,245105236
2019-21-12,0.171424,0.168399,0.174579,0.168094,50517132,237982973
2019-20-12,0.168297,0.171327,0.173131,0.165762,52286049,241743805
2019-19-12,0.168571,0.168277,0.169297,0.161119,57422264,237431535
2019-18-12,0.155750,0.168435,0.170202,0.149395,71578609,237654217
2019-17-12,0.176098,0.155902,0.176808,0.152258,63619513,219970777
2019-16-12,0.185160,0.175936,0.192070,0.175334,57528977,248237341
2019-15-12,0.181079,0.185314,0.186782,0.176063,57617486,261469315
2019-14-12,0.188506,0.180890,0.191193,0.179032,59458933,255227196
2019-13-12,0.175780,0.188409,0.191597,0.174835,66814278,265837097
2019-12-12,0.177149,0.175804,0.177906,0.174106,51915861,248051546
2019-11-12,0.176347,0.177145,0.180841,0.175468,54444867,249943222
2019-10-12,0.186409,0.176536,0.187346,0.173978,67473458,249084008
2019-9-12,0.190093,0.186570,0.193301,0.185945,54696455,253912705
2019-8-12,0.190109,0.190088,0.192385,0.188294,52346953,258701624
2019-7-12,0.194456,0.190073,0.196527,0.189926,53741150,258681010
2019-6-12,0.187640,0.194485,0.195017,0.187640,48523065,264684848
2019-5-12,0.183379,0.187590,0.189069,0.181204,47940697,255299925
2019-4-12,0.196711,0.183617,0.196711,0.182346,62223456,249066729
2019-3-12,0.189252,0.196692,0.197524,0.188733,53719456,266803194
2019-2-12,0.197394,0.189050,0.197542,0.186666,54950195,256436364
2019-1-12,0.204713,0.197244,0.204741,0.193207,47982411,267550865
2019-30-11,0.216162,0.204476,0.217313,0.203128,47542174,277360971
2019-29-11,0.207322,0.216149,0.216435,0.206911,56490553,293194633
2019-28-11,0.204082,0.206987,0.210721,0.202689,56439565,280766806
2019-27-11,0.205389,0.204103,0.209604,0.192749,64954174,276855183
2019-26-11,0.206555,0.206084,0.211083,0.203362,59512306,279542169
2019-25-11,0.207822,0.206318,0.219088,0.195260,58832885,279859561
2019-24-11,0.222419,0.208225,0.223865,0.208144,49123099,282446646
2019-23-11,0.220091,0.222479,0.223622,0.205180,65879372,301781016
2019-22-11,0.222131,0.220183,0.225220,0.195918,74492632,298666605
2019-21-11,0.235646,0.222107,0.244080,0.216618,66774687,301277048
2019-20-11,0.252056,0.235698,0.253109,0.235225,63831001,319697948
2019-19-11,0.266308,0.252056,0.271283,0.243247,76652966,341885456
2019-18-11,0.277790,0.266433,0.278698,0.261361,65544975,361386541
2019-17-11,0.269598,0.277868,0.282319,0.260705,79036662,376897060
2019-16-11,0.250859,0.269560,0.271096,0.250250,60116631,365628112
2019-15-11,0.257799,0.250756,0.261237,0.246548,57576207,340121976
2019-14-11,0.255338,0.257811,0.263916,0.253741,76919032,349691737
2019-13-11,0.241841,0.255408,0.256870,0.240714,55501381,346432705
2019-12-11,0.242265,0.241835,0.244064,0.239203,46089760,328021665
2019-11-11,0.246867,0.242430,0.248198,0.237927,50668589,328828570
2019-10-11,0.248969,0.246648,0.251659,0.245462,56055728,334550080
2019-9-11,0.238280,0.248686,0.248686,0.236948,50386934,337314777
2019-8-11,0.253066,0.238165,0.254875,0.228470,57831580,323043215
2019-7-11,0.262777,0.252833,0.263485,0.251059,48906926,342939708
2019-6-11,0.251966,0.263042,0.264289,0.250110,63001364,355357101
2019-5-11,0.244172,0.251742,0.255630,0.240196,58611210,340090852
2019-4-11,0.232398,0.244276,0.245360,0.232228,59648443,330004034
2019-3-11,0.234583,0.232455,0.235688,0.230808,42875618,314035312
2019-2-11,0.235557,0.234685,0.238005,0.233266,42712116,317046762
2019-1-11,0.233986,0.235579,0.238107,0.227545,52461373,318255377
2019-31-10,0.235043,0.234045,0.248208,0.230209,56176143,316183021
2019-30-10,0.235656,0.235093,0.237273,0.222078,52802718,317599145
2019-29-10,0.238854,0.235615,0.241497,0.232192,54797074,318303940
2019-28-10,0.239841,0.238891,0.244878,0.234687,63834587,322729724
2019-27-10,0.236482,0.240090,0.244873,0.231711,68796669,324348842
2019-26-10,0.253732,0.236372,0.264397,0.235524,74917742,319326341
2019-25-10,0.238297,0.253704,0.256772,0.231495,74789247,342740599
2019-24-10,0.241808,0.238201,0.255442,0.235087,77711020,321796913
2019-23-10,0.242424,0.241804,0.257579,0.227244,99909726,326664248
2019-22-10,0.218064,0.242527,0.248181,0.214240,73572530,327641784
2019-21-10,0.226668,0.218037,0.227876,0.216995,42571449,294557480
2019-20-10,0.212291,0.226761,0.226869,0.207861,46851388,306342290
2019-19-10,0.219316,0.212369,0.220845,0.212086,39323678,286900187
2019-18-10,0.222175,0.219235,0.230189,0.217846,30800456,296175591
2019-17-10,0.219946,0.222175,0.231501,0.215239,35776755,300147605
2019-16-10,0.222609,0.219856,0.222655,0.200993,44073163,297013783
2019-15-10,0.215219,0.222573,0.237698,0.213600,54341764,300685022
2019-14-10,0.203310,0.215282,0.216021,0.201846,34151018,290834878
2019-13-10,0.197380,0.203310,0.206008,0.194577,29377109,274519452
2019-12-10,0.190287,0.197360,0.197538,0.190196,25254152,266485550
2019-11-10,0.195533,0.190393,0.198281,0.187835,27646679,257078206
2019-10-10,0.207453,0.195556,0.207615,0.193601,31907736,264049557
2019-9-10,0.211553,0.207543,0.215727,0.196496,42497296,280234904
2019-8-10,0.194869,0.211477,0.214601,0.194362,35841459,283115469
2019-7-10,0.188162,0.194906,0.197198,0.185961,30592770,260930502
2019-6-10,0.196934,0.188637,0.205737,0.186671,33534471,252538188
2019-5-10,0.186920,0.197001,0.197770,0.180901,29169813,263735607
2019-4-10,0.181751,0.187199,0.200220,0.177393,43633366,250612916
2019-3-10,0.169354,0.181952,0.184323,0.167164,25523310,243588617
2019-2-10,0.164927,0.169388,0.169756,0.163958,17193851,226767863
2019-1-10,0.172696,0.165223,0.173818,0.163564,23409090,221192205
2019-30-9,0.159273,0.172738,0.172925,0.153429,26767637,231253146
2019-29-9,0.165316,0.159298,0.165447,0.158159,22458471,213259916
2019-28-9,0.168678,0.165313,0.168950,0.160557,20500802,221312673
2019-27-9,0.152928,0.168669,0.169091,0.150742,25277674,225805912
