Date,OpensAt,ClosesAt,HighestAt,LowestAt,VolumeTraded,MarketCap
2020-5-2,68.11,72.49,73.18,67.88,5169585841,4640906808
2020-4-2,69.77,68.20,70.33,66.90,4449652117,4365253454
2020-3-2,69.99,69.78,72.39,68.97,4965069690,4466102181
2020-2-2,70.80,70.23,73.25,68.13,5482993030,4494447999
2020-1-2,67.91,70.82,72.28,67.66,6009767449,4531596557
2020-31-1,68.18,67.88,69.38,65.79,5718104791,4342918713
2020-30-1,60.01,68.16,69.74,58.78,6042169957,4360322858
2020-29-1,60.66,60.08,62.25,59.78,3894445882,3842950242
2020-28-1,58.77,60.67,61.15,57.76,4220742210,3880511637
2020-27-1,56.28,58.76,59.58,56.08,3832184228,3758010753
2020-26-1,53.69,56.21,56.48,53.30,3283750798,3594505100
2020-25-1,54.56,53.70,54.56,52.77,2938756558,3433273431
2020-24-1,54.64,54.53,55.42,51.36,3532776556,3486182447
2020-23-1,58.35,54.63,58.48,53.39,3348002983,3492096602
2020-22-1,57.64,58.35,58.99,57.32,3076205980,3729779086
2020-21-1,57.23,57.65,57.96,56.27,3130143642,3684221719
2020-20-1,57.78,57.20,58.09,56.23,3306438947,3655443935
2020-19-1,59.45,57.80,61.79,56.18,4197776579,3693201722
2020-18-1,61.30,59.41,62.17,58.53,4426051530,3795493154
2020-17-1,57.64,61.49,62.89,56.90,5067456613,3927821846
2020-16-1,58.05,57.62,58.30,55.15,4347723835,3680300934
2020-15-1,58.39,58.05,59.92,56.17,5070738793,3707655223
2020-14-1,49.70,58.48,59.88,49.69,5729547956,3734400000
2020-13-1,51.12,49.73,51.39,48.93,3336204744,3175647876
2020-12-1,49.32,51.08,51.30,49.01,3858852964,3261300810
2020-11-1,48.63,49.26,51.33,48.09,3915781115,3144901794
2020-10-1,45.21,48.73,49.17,44.03,3808140302,3110300142
2020-9-1,45.62,45.22,45.78,44.31,2986327757,2885860528
2020-8-1,46.45,45.65,48.20,44.63,3633957130,2913485629
2020-7-1,45.84,46.42,46.86,44.72,3611521907,2962310517
2020-6-1,43.60,45.82,45.96,43.49,3349237768,2923126044
2020-5-1,43.29,43.55,44.73,43.00,3017148033,2778396525
2020-4-1,42.38,43.33,43.34,41.93,2843192897,2763617782
2020-3-1,39.86,42.42,42.45,39.45,3260961326,2705193552
2020-2-1,42.02,39.82,42.13,39.68,2759827139,2539554281
2020-1-1,41.33,42.02,42.29,41.29,2782992323,2679229284
2019-31-12,42.77,41.34,43.06,41.17,3015923778,2635704909
2019-30-12,43.75,42.75,44.60,42.43,3330795171,2725146760
2019-29-12,42.80,43.67,44.45,42.44,3573796558,2783708412
2019-28-12,41.17,42.84,43.81,41.13,3260638656,2730585594
2019-27-12,40.26,41.18,41.65,39.96,2949759036,2624203892
2019-26-12,40.61,40.27,41.37,39.81,2848923906,2565795345
2019-25-12,40.73,40.63,40.76,39.88,2773383486,2588660479
2019-24-12,40.86,40.68,41.68,40.22,2860933776,2591459879
2019-23-12,41.95,40.85,42.55,40.72,3163414128,2601950200
2019-22-12,40.01,41.97,42.25,39.95,3141032976,2672823095
2019-21-12,40.30,40.00,40.34,39.74,2655178488,2547148313
2019-20-12,39.94,40.29,40.59,39.67,2778859161,2565522972
2019-19-12,40.79,39.92,41.12,39.07,3173676635,2541689077
2019-18-12,37.12,40.78,41.10,36.67,3845534650,2596036805
2019-17-12,40.36,37.08,40.42,36.93,3283924746,2360532950
2019-16-12,43.78,40.37,43.87,40.05,3046141449,2569728492
2019-15-12,43.85,43.76,44.31,42.76,2668105124,2784724201
2019-14-12,44.45,43.72,44.66,43.52,2721787991,2791200748
2019-13-12,44.01,44.45,44.50,43.71,2766557274,2837399801
2019-12-12,43.92,44.08,44.28,43.50,2740797932,2813611017
2019-11-12,44.61,43.95,44.93,43.72,2507211954,2804621325
2019-10-12,45.01,44.64,45.10,44.11,2349745528,2848915169
2019-9-12,45.90,44.94,46.07,44.71,2473452708,2867412869
2019-8-12,45.68,45.95,46.51,45.45,2266427857,2931804622
2019-7-12,45.67,45.64,46.21,45.40,2380335463,2911520839
2019-6-12,45.29,45.67,45.70,44.75,2585078804,2913078062
2019-5-12,45.14,45.30,46.75,44.36,2818768679,2889242709
2019-4-12,45.40,45.19,46.54,44.58,2951880019,2882011362
2019-3-12,45.78,45.38,46.62,44.76,2557212174,2893726010
2019-2-12,47.65,45.82,47.81,45.32,2680452035,2921144389
