Date,OpensAt,ClosesAt,HighestAt,LowestAt,VolumeTraded,MarketCap
2020-5-2,4.24,4.52,4.57,4.20,3717109097,4298039991
2020-4-2,4.20,4.25,4.27,4.08,2817365160,4040806634
2020-3-2,4.22,4.20,4.35,4.16,2957930221,3998552517
2020-2-2,4.16,4.22,4.34,4.07,3141767219,4017311929
2020-1-2,4.15,4.16,4.25,4.09,2870748186,3955723016
2020-31-1,4.34,4.14,4.36,4.04,3713840781,3936220904
2020-30-1,3.97,4.34,4.39,3.91,4566252853,4126427254
2020-29-1,4.05,3.98,4.11,3.98,3423336508,3782949471
2020-28-1,3.96,4.05,4.10,3.90,3925809248,3851064835
2020-27-1,3.65,3.96,4.04,3.65,3757546389,3767795940
2020-26-1,3.52,3.65,3.67,3.46,2433244477,3469183865
2020-25-1,3.64,3.53,3.65,3.52,2049669643,3354544383
2020-24-1,3.57,3.64,3.70,3.38,3096790654,3460887409
2020-23-1,3.65,3.57,3.65,3.51,2743868030,3395646928
2020-22-1,3.66,3.65,3.72,3.61,2301041589,3467325837
2020-21-1,3.61,3.66,3.68,3.57,2203424938,3478981376
2020-20-1,3.61,3.61,3.68,3.50,2591073497,3428417470
2020-19-1,3.82,3.62,3.92,3.49,3788848657,3432470109
2020-18-1,3.92,3.82,3.99,3.75,4128192850,3623635638
2020-17-1,3.83,3.92,4.05,3.77,5243775637,3723425926
2020-16-1,3.77,3.83,3.88,3.56,4318641349,3636545244
2020-15-1,3.82,3.77,3.91,3.61,5464624786,3576523316
2020-14-1,3.11,3.83,3.98,3.11,5879519788,3634155842
2020-13-1,3.19,3.11,3.20,3.07,2064806455,2950326757
2020-12-1,2.99,3.19,3.21,2.95,2568583191,3027171393
2020-11-1,2.97,2.99,3.11,2.94,2568512720,2834147693
2020-10-1,2.76,2.97,2.97,2.67,2700372562,2814060882
2020-9-1,2.79,2.76,2.80,2.71,1870288711,2619967392
2020-8-1,2.85,2.79,2.93,2.75,2680039142,2643949107
2020-7-1,2.85,2.85,2.88,2.78,2436150896,2704276005
2020-6-1,2.70,2.86,2.86,2.70,2350209737,2706667583
2020-5-1,2.67,2.70,2.78,2.67,1993836540,2559643918
2020-4-1,2.64,2.67,2.67,2.62,1568801391,2527254005
2020-3-1,2.47,2.64,2.66,2.45,2170632578,2498294605
