Date,OpensAt,ClosesAt,HighestAt,LowestAt,VolumeTraded,MarketCap
2020-5-2,18.20,19.22,19.41,18.17,301486499,2988645526
2020-4-2,18.47,18.18,18.60,17.90,213533737,2827247893
2020-3-2,18.45,18.46,18.79,18.23,227749150,2871636149
2020-2-2,18.20,18.45,18.77,17.90,256209045,2869369978
2020-1-2,18.20,18.22,18.57,18.07,238461925,2833617693
2020-31-1,18.59,18.21,18.84,17.85,245035922,2832476037
2020-30-1,17.92,18.59,18.70,17.73,264686498,2891490938
2020-29-1,18.07,17.91,18.43,17.88,221674739,2786094248
2020-28-1,17.68,18.12,18.12,17.50,257579475,2817568636
2020-27-1,17.44,17.69,17.90,17.28,227584506,2751653009
2020-26-1,16.97,17.44,17.49,16.87,248646036,2712347641
2020-25-1,17.05,16.98,17.11,16.60,208315919,2640407667
2020-24-1,17.03,17.05,17.40,16.49,213341615,2651498156
2020-23-1,17.81,17.02,17.82,16.79,221009513,2647453375
2020-22-1,18.12,17.80,18.35,17.60,237634401,2768298455
2020-21-1,17.33,18.13,18.15,17.17,295922233,2819517646
2020-20-1,17.39,17.33,17.55,16.86,245125919,2694716492
2020-19-1,17.83,17.37,18.44,16.84,266285621,2701556607
2020-18-1,18.13,17.82,18.31,17.56,257317647,2772273817
2020-17-1,17.11,18.14,18.36,17.09,347229168,2820689255
2020-16-1,17.65,17.08,17.66,16.44,260423404,2656091975
2020-15-1,16.60,17.65,18.10,16.39,380806616,2745971388
2020-14-1,15.22,16.63,16.79,15.19,299316969,2585972299
2020-13-1,15.32,15.23,15.36,14.99,211785744,2368399884
2020-12-1,14.95,15.32,15.47,14.87,231150158,2383146449
2020-11-1,15.02,14.95,15.25,14.78,201663503,2324702656
2020-10-1,14.48,15.03,15.03,14.18,200173072,2337067557
2020-9-1,14.59,14.50,14.61,14.31,169699829,2255020118
2020-8-1,15.02,14.60,15.24,14.34,183632222,2271292397
2020-7-1,14.97,15.01,15.14,14.57,191948560,2334489402
2020-6-1,14.11,14.96,15.00,14.11,224800409,2326488219
2020-5-1,13.89,14.11,14.41,13.89,202552703,2194781443
2020-4-1,13.67,13.89,13.92,13.56,182230374,2160640037
2020-3-1,13.04,13.66,13.76,13.01,173683857,2124701780
2020-2-1,13.70,13.03,13.72,12.99,156376427,2026178426
2020-1-1,13.73,13.69,13.87,13.65,172980718,2129155037
2019-31-12,13.95,13.73,14.10,13.65,166278254,2135152371
2019-30-12,14.16,13.95,14.47,13.92,187275635,2169339286
2019-29-12,13.70,14.15,14.23,13.65,225354585,2200851434
2019-28-12,13.35,13.71,13.79,13.33,197525901,2131695468
2019-27-12,13.21,13.36,13.44,13.12,164413385,2078393489
2019-26-12,13.18,13.21,13.52,13.16,157660620,2054427896
2019-25-12,13.46,13.17,13.48,13.07,152718120,2049171218
2019-24-12,13.38,13.44,13.77,13.33,177372409,2091124420
2019-23-12,13.81,13.37,14.00,13.31,159105887,2079375570
2019-22-12,13.39,13.84,13.85,13.37,204111890,2151987387
2019-21-12,13.57,13.38,13.58,13.33,192827533,2081183680
2019-20-12,13.46,13.57,13.59,13.23,203861105,2110754367
2019-19-12,13.57,13.45,13.78,12.97,174965245,2091312286
2019-18-12,12.38,13.54,13.61,12.29,234697405,2105229821
2019-17-12,13.56,12.39,13.58,12.18,186995962,1926624068
2019-16-12,14.49,13.56,14.53,13.46,178952097,2108889027
2019-15-12,14.51,14.49,14.57,14.19,167670329,2253796378
2019-14-12,14.88,14.51,15.01,14.37,173092733,2256062410
2019-13-12,14.82,14.88,15.00,14.74,177476227,2314190903
2019-12-12,14.82,14.82,14.90,14.56,165964330,2304769038
2019-11-12,14.95,14.82,15.12,14.71,170909631,2305761910
2019-10-12,15.44,14.96,15.47,14.78,192615787,2326653545
2019-9-12,15.67,15.45,15.85,15.35,209955476,2402814942
2019-8-12,15.66,15.67,15.85,15.51,223721643,2437963813
2019-7-12,15.70,15.67,15.85,15.63,242693199,2436807070
2019-6-12,15.77,15.71,15.86,15.45,236694082,2443683754
2019-5-12,15.26,15.76,16.08,14.95,255410908,2451700222
2019-4-12,15.35,15.28,15.69,15.01,237605471,2376597490
2019-3-12,15.19,15.31,15.55,15.05,219927266,2381198047
2019-2-12,15.51,15.19,15.71,15.15,200809249,2362891697
2019-1-12,15.74,15.50,15.74,15.05,203268417,2410249227
2019-30-11,16.26,15.72,16.37,15.54,213428131,2444407390
2019-29-11,15.68,16.27,16.34,15.65,250074235,2531096195
2019-28-11,16.10,15.68,16.23,15.65,194516396,2439314462
2019-27-11,15.49,16.10,16.20,14.94,255021618,2503874750
2019-26-11,15.27,15.53,15.86,15.23,205893351,2415058208
2019-25-11,15.29,15.27,15.74,14.20,242510343,2374635550
2019-24-11,16.40,15.28,16.49,15.28,232363837,2376408889
2019-23-11,15.58,16.42,16.47,15.15,255961052,2553835169
2019-22-11,16.84,15.58,17.27,14.69,341456274,2423526845
2019-21-11,18.16,16.84,18.19,16.62,228429806,2619271948
2019-20-11,18.71,18.17,18.93,17.85,210091849,2826455734
2019-19-11,19.31,18.70,19.63,18.38,206923366,2909049614
2019-18-11,20.34,19.32,20.43,18.94,224380017,3004482390
2019-17-11,20.28,20.26,20.62,20.03,224982344,3151297091
2019-16-11,20.32,20.28,20.63,20.09,211016746,3154697160
2019-15-11,21.24,20.32,21.29,20.18,225530775,3159918981
2019-14-11,21.28,21.26,21.51,20.97,237992230,3307441359
2019-13-11,20.87,21.25,21.64,20.71,252296146,3305222292
2019-12-11,20.14,20.86,20.86,20.09,227650068,3244098617
2019-11-11,20.48,20.13,20.64,19.92,209454454,3131442373
2019-10-11,19.73,20.48,20.63,19.73,239714468,3185665329
2019-9-11,19.68,19.74,19.98,19.60,176812608,3069586392
2019-8-11,20.69,19.69,20.69,19.47,184596047,3062638047
2019-7-11,20.81,20.65,20.96,20.25,222003636,3211356528
2019-6-11,20.72,20.82,20.92,20.28,241489968,3237951225
2019-5-11,20.74,20.72,20.92,20.45,263685442,3223447634
2019-4-11,20.23,20.74,20.92,20.18,296502530,3225517472
2019-3-11,20.27,20.21,20.43,19.89,257571666,3142781986
2019-2-11,20.02,20.27,20.40,19.86,273890078,3152261627
2019-1-11,19.99,20.02,20.06,19.78,198377285,3114078497
2019-31-10,20.10,20.00,20.40,19.54,250225840,3110770519
2019-30-10,20.49,20.09,20.58,19.23,250293832,3124258265
2019-29-10,19.81,20.48,20.92,19.70,317609149,3184941705
2019-28-10,19.34,19.76,20.90,19.31,337867337,3073144009
2019-27-10,18.89,19.35,19.59,18.57,292948855,3008958175
2019-26-10,18.63,18.89,19.78,18.18,292124012,2938042518
2019-25-10,17.07,18.62,18.91,16.48,344418868,2895480470
2019-24-10,16.71,16.89,17.16,16.49,200253301,2627259624
2019-23-10,18.20,16.71,18.30,16.42,201092098,2599201125
2019-22-10,18.30,18.20,18.80,18.17,234929207,2830084058
2019-21-10,18.46,18.31,18.51,18.06,188130463,2847185142
2019-20-10,18.29,18.44,18.57,17.88,225458859,2867774149
2019-19-10,18.25,18.29,18.51,17.97,211728668,2844540342
2019-18-10,18.58,18.25,18.75,17.81,208244557,2839196964
2019-17-10,17.84,18.57,18.76,17.71,250474298,2888358527
2019-16-10,18.52,17.84,18.60,17.52,229668087,2774782680
2019-15-10,18.43,18.54,19.15,18.20,325479444,2884374240
2019-14-10,18.31,18.46,18.62,17.95,246674814,2871126616
2019-13-10,17.26,18.31,18.76,17.18,275090600,2847569964
2019-12-10,16.71,17.28,17.51,16.69,228500831,2687348920
2019-11-10,17.57,16.71,17.63,16.71,194750430,2598945538
2019-10-10,17.80,17.57,17.95,17.13,236960467,2732959386
2019-9-10,16.11,17.81,17.97,16.01,295619363,2769576934
2019-8-10,16.14,16.11,16.35,15.89,135346905,2505415410
2019-7-10,15.34,16.13,16.19,15.19,147393768,2509483159
2019-6-10,15.72,15.35,15.75,15.26,116659103,2387329910
2019-5-10,15.75,15.72,15.80,15.47,123665932,2445593918
2019-4-10,15.72,15.76,15.90,15.50,121510968,2450498699
2019-3-10,15.95,15.73,16.01,15.43,117720712,2446088605
2019-2-10,15.91,15.95,15.97,15.67,106103588,2480818020
2019-1-10,15.88,15.90,16.29,15.78,125165661,2473533188
2019-30-9,15.31,15.86,15.87,14.87,124329060,2467228254
2019-29-9,15.85,15.31,15.92,15.14,109712932,2380504960
2019-28-9,15.79,15.85,15.96,15.56,123900187,2465477590
2019-27-9,15.46,15.79,15.82,14.93,139548410,2455965666
2019-26-9,16.26,15.46,16.59,14.84,157594803,2404567795
2019-25-9,16.06,16.26,16.60,15.20,179697117,2528773872
2019-24-9,19.48,16.07,19.63,15.98,229488109,2499115713
2019-23-9,20.53,19.49,20.53,19.47,146934616,3030706995
2019-22-9,21.09,20.53,21.09,20.26,153747684,3192478010
2019-21-9,21.38,21.08,21.54,20.99,175114438,3279053001
2019-20-9,21.63,21.37,21.64,21.09,198988737,3324048452
2019-19-9,22.24,21.61,22.49,20.63,249524458,3361863927
2019-18-9,21.01,22.26,22.90,21.01,369440814,3461538669
2019-17-9,20.40,21.01,21.36,20.28,209209108,3267105838
2019-16-9,20.60,20.40,20.97,20.20,143466438,3172717473
2019-15-9,21.07,20.60,21.13,20.60,151856190,3203891493
2019-14-9,20.90,21.07,21.20,20.88,163028906,3277404969
2019-13-9,20.93,20.89,21.31,20.64,171327680,3248767822
2019-12-9,20.89,20.92,21.03,19.96,202313591,3254182239
2019-11-9,21.91,20.90,22.04,20.77,147044919,3250611594
2019-10-9,22.29,21.91,22.41,21.63,139754246,3407987322
2019-9-9,22.57,22.29,22.65,21.98,155543678,3466507440
2019-8-9,22.57,22.56,22.83,22.38,175027324,3509171073
2019-7-9,22.14,22.55,22.67,22.07,203280778,3507193557
2019-6-9,22.76,22.15,23.42,21.82,240129733,3445627920
2019-5-9,21.82,22.76,23.54,21.57,259054353,3540186403
2019-4-9,22.53,21.80,22.67,21.67,148909991,3390126221
2019-3-9,22.76,22.51,22.93,22.37,181166381,3501837462
2019-2-9,21.57,22.77,22.89,21.20,237417710,3541124996
2019-1-9,21.26,21.57,21.78,21.17,173772205,3354720068
2019-31-8,22.21,21.27,22.44,21.19,167589166,3307630392
2019-30-8,21.89,22.22,22.62,21.64,196253457,3455847937
2019-29-8,23.69,21.89,23.69,21.82,200824073,3404637328
2019-28-8,25.70,23.70,26.02,23.69,206092745,3686666048
2019-27-8,26.12,25.69,26.15,25.10,196715449,3995579226
2019-26-8,26.14,26.11,27.08,25.86,277691463,4060803662
2019-25-8,26.49,26.13,26.53,25.87,165296408,4064461677
2019-24-8,27.16,26.50,27.16,26.23,164452279,4121048295
2019-23-8,27.09,27.17,27.39,26.85,195437616,4226014866
2019-22-8,26.99,27.09,27.45,26.43,193368566,4213363666
2019-21-8,28.17,26.99,28.17,26.59,198468093,4198513863
2019-20-8,28.81,28.17,28.81,28.06,209875661,4381078784
2019-19-8,27.95,28.81,29.06,27.82,259250527,4480857766
2019-18-8,27.49,27.93,28.10,27.18,229491438,4344520680
2019-17-8,27.65,27.48,27.94,27.14,196083314,4274230064
2019-16-8,28.06,27.64,28.08,26.90,203654965,4299745921
2019-15-8,27.10,28.04,28.18,26.70,248072109,4361785696
2019-14-8,29.46,27.11,29.47,27.10,227534067,4215913076
2019-13-8,30.17,29.47,30.36,29.27,241841209,4583088148
2019-12-8,30.08,30.17,30.48,29.85,278357603,4692057690
2019-11-8,29.68,30.06,30.29,29.51,263951565,4675006646
2019-10-8,29.94,29.68,30.05,29.17,248736115,4616618693
2019-9-8,30.87,29.96,31.18,29.91,222912268,4660109133
2019-8-8,29.37,30.83,31.30,29.03,404379079,4795639295
2019-7-8,27.64,29.35,29.61,27.44,314659493,4565682087
2019-6-8,28.04,27.64,28.43,27.35,192614971,4298737322
2019-5-8,27.54,28.01,28.33,27.50,183750146,4356875572
2019-4-8,27.88,27.56,28.07,27.36,136844756,4285994667
2019-3-8,28.08,27.89,28.43,27.74,153702445,4337897094
2019-2-8,28.78,28.04,28.78,27.82,197026849,4361013466
2019-1-8,27.62,28.77,28.82,27.57,287326494,4475300389
2019-31-7,26.96,27.64,27.76,26.94,202950576,4299743458
2019-30-7,27.22,26.94,27.23,26.59,148410035,4190517356
2019-29-7,27.81,27.20,27.88,27.04,146207597,4231107382
2019-28-7,27.90,27.84,27.93,26.97,163990878,4329390810
2019-27-7,28.98,27.89,29.36,27.58,191655093,4337238486
2019-26-7,28.99,28.98,29.15,28.54,231263489,4507327768
2019-25-7,29.13,29.00,29.55,28.70,248126220,4510942714
2019-24-7,29.58,29.16,29.63,28.21,265315497,4536028908
2019-23-7,30.64,29.59,30.76,29.26,324109274,4601584124
2019-22-7,30.54,30.63,32.11,29.81,416965642,4764802878
2019-21-7,30.92,30.52,31.31,29.64,285097790,4746909287
2019-20-7,29.09,30.87,31.19,29.07,367891866,4801767338
2019-19-7,28.92,29.08,29.78,28.42,483963124,4522757866
2019-18-7,27.26,28.92,29.16,26.94,711895799,4498559027
2019-17-7,25.52,27.22,27.95,24.90,572389805,2971713195
2019-16-7,28.38,25.53,29.30,25.50,439515318,2786705508
2019-15-7,28.93,28.39,29.01,27.25,384045964,3099868490
2019-14-7,31.55,28.92,31.65,28.85,299523499,4083399701
2019-13-7,31.71,31.51,32.39,30.51,273938894,4448006685
