Date,Open,High,Low,Close,Volume,MarketCap
2020-03-01,0.214127,0.218078,0.20617,0.211458,57380522,302490934
2020-02-29,0.215551,0.221534,0.214121,0.214266,60832778,306507737
2020-02-28,0.221131,0.226743,0.210077,0.215683,65738481,308534649
2020-02-27,0.219852,0.230905,0.209698,0.220882,68848593,315972140
2020-02-26,0.236313,0.238138,0.208105,0.220026,82819101,314747796
2020-02-25,0.256698,0.257105,0.233434,0.236736,82978285,338508326
2020-02-24,0.275258,0.276624,0.252409,0.256587,78582584,366892507
2020-02-23,0.271054,0.282464,0.27099,0.275426,78929420,393830336
2020-02-22,0.266661,0.274276,0.265756,0.270791,72174526,387203683
2020-02-21,0.258369,0.269347,0.254587,0.266418,74787242,380950876
2020-02-20,0.25978,0.261442,0.249482,0.258613,78448273,369776716
2020-02-19,0.281787,0.284357,0.257838,0.260042,76438387,371821029
2020-02-18,0.266863,0.28774,0.263155,0.281567,88624120,402597822
2020-02-17,0.264272,0.267478,0.242028,0.266563,90448602,381144848
2020-02-16,0.280409,0.289009,0.240049,0.26426,91629012,377851979
2020-02-15,0.310904,0.320512,0.276164,0.280342,109067086,400846450
2020-02-14,0.295499,0.314407,0.293886,0.31102,108778734,444711286
2020-02-13,0.304013,0.316049,0.28575,0.295389,122073123,422361493
2020-02-12,0.29213,0.321106,0.289233,0.304122,152118324,434847921
2020-02-11,0.264078,0.296766,0.261585,0.292092,145429969,417647243
2020-02-10,0.273454,0.274162,0.25404,0.264031,99786369,377523371
2020-02-09,0.256289,0.275524,0.255412,0.273195,94842470,390626622
2020-02-08,0.263377,0.263719,0.249655,0.256176,73897362,366148560
2020-02-07,0.264233,0.269703,0.260367,0.263439,83767322,376530206
2020-02-06,0.251549,0.269315,0.249203,0.263999,101385322,375745998
2020-02-05,0.2442,0.252333,0.239347,0.251646,88483778,358165211
2020-02-04,0.235532,0.250166,0.232057,0.244147,99684052,347491702
2020-02-03,0.223217,0.237378,0.222454,0.235587,61713475,335308220
2020-02-02,0.224037,0.229802,0.220734,0.223382,52190150,317936494
2020-02-01,0.21922,0.224723,0.21922,0.224324,48405258,319277778
2020-01-31,0.223112,0.224758,0.213615,0.219153,55872703,311917261
2020-01-30,0.219482,0.223557,0.216337,0.223296,60868516,317792663
2020-01-29,0.222139,0.22479,0.218727,0.219619,65190942,312554866
2020-01-28,0.226765,0.229693,0.2166,0.222147,69251607,316152898
2020-01-27,0.211765,0.228041,0.211605,0.22685,60294391,322845791
2020-01-26,0.204678,0.212331,0.203494,0.211612,47850762,300842390
2020-01-25,0.207349,0.207404,0.202128,0.204836,41628366,291208657
2020-01-24,0.208244,0.208266,0.200771,0.207246,44967053,294634657
2020-01-23,0.219143,0.219516,0.205425,0.208167,49020267,295944056
2020-01-22,0.220137,0.221423,0.217089,0.219458,46002292,311995730
2020-01-21,0.221798,0.224413,0.214153,0.220275,55120770,313157242
2020-01-20,0.214349,0.224092,0.210432,0.221714,62412074,315203856
2020-01-19,0.224799,0.228579,0.209111,0.214455,57775448,304882977
2020-01-18,0.22966,0.231689,0.219281,0.224644,59923625,319369156
2020-01-17,0.217698,0.232665,0.214255,0.229728,68894095,326597206
2020-01-16,0.219983,0.221485,0.210547,0.217673,53452385,309349072
2020-01-15,0.2124,0.237217,0.211481,0.219713,92447507,312249146
2020-01-14,0.18778,0.213134,0.187292,0.212436,63840081,301890638
2020-01-13,0.19122,0.191584,0.187227,0.187814,44799749,266899461
2020-01-12,0.189699,0.192593,0.188862,0.191303,42369470,271858632
2020-01-11,0.187455,0.193383,0.186866,0.189747,47013777,269647457
2020-01-10,0.18613,0.187952,0.182987,0.187409,48947327,266325113
2020-01-09,0.184185,0.188964,0.182263,0.186361,50598041,264835041
2020-01-08,0.193508,0.194834,0.184022,0.184202,54340205,261766740
2020-01-07,0.191971,0.197265,0.191833,0.193379,57682961,273744163
2020-01-06,0.189163,0.19646,0.188995,0.192032,50966011,271837862
2020-01-05,0.189803,0.193824,0.188223,0.188898,46686533,267401433
2020-01-04,0.187587,0.19093,0.184939,0.189891,43280231,268771715
2020-01-03,0.183649,0.192417,0.181661,0.187701,55439573,265672977
2020-01-02,0.196123,0.196442,0.183375,0.183821,52616967,260181315
2020-01-01,0.181816,0.197126,0.180976,0.196129,54964262,277601807
2019-12-31,0.190676,0.194272,0.180881,0.181768,55600479,257275573
2019-12-30,0.192722,0.199973,0.188163,0.19058,67737772,269747069
2019-12-29,0.185619,0.196641,0.185064,0.192579,74591022,272577544
2019-12-28,0.169652,0.186777,0.169577,0.1857,68500348,262840519
2019-12-27,0.164714,0.16965,0.163986,0.16965,41612685,240123266
2019-12-26,0.162984,0.168739,0.162017,0.1647,44019391,232755058
2019-12-25,0.167214,0.167803,0.162212,0.163157,44723117,230574694
2019-12-24,0.164061,0.172803,0.163328,0.167216,49113737,236309978
2019-12-23,0.173448,0.173657,0.16337,0.164182,52227115,232022792
2019-12-22,0.168311,0.174463,0.167667,0.173439,50835515,245105236
2019-12-21,0.171424,0.174579,0.168094,0.168399,50517132,237982973
2019-12-20,0.168297,0.173131,0.165762,0.171327,52286049,241743805
2019-12-19,0.168571,0.169297,0.161119,0.168277,57422264,237431535
2019-12-18,0.15575,0.170202,0.149395,0.168435,71578609,237654217
2019-12-17,0.176098,0.176808,0.152258,0.155902,63619513,219970777
2019-12-16,0.18516,0.19207,0.175334,0.175936,57528977,248237341
2019-12-15,0.181079,0.186782,0.176063,0.185314,57617486,261469315
2019-12-14,0.188506,0.191193,0.179032,0.18089,59458933,255227196
2019-12-13,0.17578,0.191597,0.174835,0.188409,66814278,265837097
2019-12-12,0.177149,0.177906,0.174106,0.175804,51915861,248051546
2019-12-11,0.176347,0.180841,0.175468,0.177145,54444867,249943222
2019-12-10,0.186409,0.187346,0.173978,0.176536,67473458,249084008
2019-12-09,0.190093,0.193301,0.185945,0.18657,54696455,253912705
2019-12-08,0.190109,0.192385,0.188294,0.190088,52346953,258701624
2019-12-07,0.194456,0.196527,0.189926,0.190073,53741150,258681010
2019-12-06,0.18764,0.195017,0.18764,0.194485,48523065,264684848
2019-12-05,0.183379,0.189069,0.181204,0.18759,47940697,255299925
2019-12-04,0.196711,0.196711,0.182346,0.183617,62223456,249066729
2019-12-03,0.189252,0.197524,0.188733,0.196692,53719456,266803194
2019-12-02,0.197394,0.197542,0.186666,0.18905,54950195,256436364
2019-12-01,0.204713,0.204741,0.193207,0.197244,47982411,267550865
2019-11-30,0.216162,0.217313,0.203128,0.204476,47542174,277360971
2019-11-29,0.207322,0.216435,0.206911,0.216149,56490553,293194633
2019-11-28,0.204082,0.210721,0.202689,0.206987,56439565,280766806
2019-11-27,0.205389,0.209604,0.192749,0.204103,64954174,276855183
2019-11-26,0.206555,0.211083,0.203362,0.206084,59512306,279542169
2019-11-25,0.207822,0.219088,0.19526,0.206318,58832885,279859561
2019-11-24,0.222419,0.223865,0.208144,0.208225,49123099,282446646
2019-11-23,0.220091,0.223622,0.20518,0.222479,65879372,301781016
2019-11-22,0.222131,0.22522,0.195918,0.220183,74492632,298666605
2019-11-21,0.235646,0.24408,0.216618,0.222107,66774687,301277048
2019-11-20,0.252056,0.253109,0.235225,0.235698,63831001,319697948
2019-11-19,0.266308,0.271283,0.243247,0.252056,76652966,341885456
2019-11-18,0.27779,0.278698,0.261361,0.266433,65544975,361386541
2019-11-17,0.269598,0.282319,0.260705,0.277868,79036662,376897060
2019-11-16,0.250859,0.271096,0.25025,0.26956,60116631,365628112
2019-11-15,0.257799,0.261237,0.246548,0.250756,57576207,340121976
2019-11-14,0.255338,0.263916,0.253741,0.257811,76919032,349691737
2019-11-13,0.241841,0.25687,0.240714,0.255408,55501381,346432705
2019-11-12,0.242265,0.244064,0.239203,0.241835,46089760,328021665
2019-11-11,0.246867,0.248198,0.237927,0.24243,50668589,328828570
2019-11-10,0.248969,0.251659,0.245462,0.246648,56055728,334550080
2019-11-09,0.23828,0.248686,0.236948,0.248686,50386934,337314777
2019-11-08,0.253066,0.254875,0.22847,0.238165,57831580,323043215
2019-11-07,0.262777,0.263485,0.251059,0.252833,48906926,342939708
2019-11-06,0.251966,0.264289,0.25011,0.263042,63001364,355357101
2019-11-05,0.244172,0.25563,0.240196,0.251742,58611210,340090852
2019-11-04,0.232398,0.24536,0.232228,0.244276,59648443,330004034
2019-11-03,0.234583,0.235688,0.230808,0.232455,42875618,314035312
2019-11-02,0.235557,0.238005,0.233266,0.234685,42712116,317046762
2019-11-01,0.233986,0.238107,0.227545,0.235579,52461373,318255377
2019-10-31,0.235043,0.248208,0.230209,0.234045,56176143,316183021
2019-10-30,0.235656,0.237273,0.222078,0.235093,52802718,317599145
2019-10-29,0.238854,0.241497,0.232192,0.235615,54797074,318303940
2019-10-28,0.239841,0.244878,0.234687,0.238891,63834587,322729724
2019-10-27,0.236482,0.244873,0.231711,0.24009,68796669,324348842
2019-10-26,0.253732,0.264397,0.235524,0.236372,74917742,319326341
2019-10-25,0.238297,0.256772,0.231495,0.253704,74789247,342740599
2019-10-24,0.241808,0.255442,0.235087,0.238201,77711020,321796913
2019-10-23,0.242424,0.257579,0.227244,0.241804,99909726,326664248
2019-10-22,0.218064,0.248181,0.21424,0.242527,73572530,327641784
2019-10-21,0.226668,0.227876,0.216995,0.218037,42571449,294557480
2019-10-20,0.212291,0.226869,0.207861,0.226761,46851388,306342290
2019-10-19,0.219316,0.220845,0.212086,0.212369,39323678,286900187
2019-10-18,0.222175,0.230189,0.217846,0.219235,30800456,296175591
2019-10-17,0.219946,0.231501,0.215239,0.222175,35776755,300147605
2019-10-16,0.222609,0.222655,0.200993,0.219856,44073163,297013783
2019-10-15,0.215219,0.237698,0.2136,0.222573,54341764,300685022
2019-10-14,0.20331,0.216021,0.201846,0.215282,34151018,290834878
2019-10-13,0.19738,0.206008,0.194577,0.20331,29377109,274519452
2019-10-12,0.190287,0.197538,0.190196,0.19736,25254152,266485550
2019-10-11,0.195533,0.198281,0.187835,0.190393,27646679,257078206
2019-10-10,0.207453,0.207615,0.193601,0.195556,31907736,264049557
2019-10-09,0.211553,0.215727,0.196496,0.207543,42497296,280234904
2019-10-08,0.194869,0.214601,0.194362,0.211477,35841459,283115469
2019-10-07,0.188162,0.197198,0.185961,0.194906,30592770,260930502
2019-10-06,0.196934,0.205737,0.186671,0.188637,33534471,252538188
2019-10-05,0.18692,0.19777,0.180901,0.197001,29169813,263735607
2019-10-04,0.181751,0.20022,0.177393,0.187199,43633366,250612916
2019-10-03,0.169354,0.184323,0.167164,0.181952,25523310,243588617
2019-10-02,0.164927,0.169756,0.163958,0.169388,17193851,226767863
2019-10-01,0.172696,0.173818,0.163564,0.165223,23409090,221192205
2019-09-30,0.159273,0.172925,0.153429,0.172738,26767637,231253146
2019-09-29,0.165316,0.165447,0.158159,0.159298,22458471,213259916
2019-09-28,0.168678,0.16895,0.160557,0.165313,20500802,221312673
2019-09-27,0.152928,0.169091,0.150742,0.168669,25277674,225805912
2019-09-26,0.161551,0.168926,0.147999,0.152958,24916145,204773037
2019-09-25,0.156949,0.166046,0.148926,0.161747,32596989,216539473
2019-09-24,0.187202,0.19147,0.157195,0.157306,30678987,210592918
2019-09-23,0.191885,0.205554,0.186863,0.187149,28430452,250545388
2019-09-22,0.206195,0.206618,0.191257,0.191992,30144781,257030003
2019-09-21,0.2112,0.221243,0.204749,0.206358,38786413,276262366
2019-09-20,0.196309,0.214761,0.191646,0.211133,45196056,282654856
2019-09-19,0.197971,0.198042,0.18325,0.196145,29577890,262588891
2019-09-18,0.184968,0.198213,0.18394,0.19802,34783158,265098758
2019-09-17,0.178366,0.186524,0.177248,0.185015,23934409,247689297
2019-09-16,0.174205,0.179384,0.173282,0.178356,22705368,238774340
2019-09-15,0.174256,0.175862,0.173245,0.174199,15713122,233208966
2019-09-14,0.171969,0.174789,0.171006,0.174301,16780411,233345607
2019-09-13,0.171971,0.174539,0.170239,0.171996,18489098,229911661
2019-09-12,0.170791,0.177828,0.170113,0.172114,23439973,230068807
2019-09-11,0.172758,0.174007,0.168624,0.170742,19872496,228235836
2019-09-10,0.1729,0.17842,0.172471,0.172594,24440018,230710835
2019-09-09,0.176198,0.177406,0.165521,0.172776,25048718,230953668
2019-09-08,0.174676,0.178703,0.173305,0.176179,20694362,234269485
2019-09-07,0.166823,0.178466,0.165183,0.174627,21054098,232205876
2019-09-06,0.172502,0.172502,0.164106,0.166958,20998264,222008248
2019-09-05,0.176035,0.176658,0.169903,0.172489,18543164,229362892
2019-09-04,0.17873,0.18021,0.175548,0.176039,19097055,234083071
2019-09-03,0.183332,0.186197,0.177066,0.17874,26971415,237675231
2019-09-02,0.181527,0.182812,0.177294,0.182812,20578119,243089205
2019-09-01,0.177724,0.184512,0.176314,0.181692,18993525,241510216
2019-08-31,0.178567,0.18195,0.175331,0.177824,17021829,236368409
2019-08-30,0.170814,0.180231,0.169149,0.178466,17441524,228298130
2019-08-29,0.183174,0.183247,0.169081,0.170754,23936650,218433192
2019-08-28,0.188848,0.198509,0.17702,0.183155,29898462,234296084
2019-08-27,0.188641,0.189321,0.178835,0.188807,27555790,241526772
2019-08-26,0.192009,0.194707,0.186912,0.188639,28063007,241311703
2019-08-25,0.203231,0.206825,0.190805,0.191669,25258318,245187694
2019-08-24,0.201993,0.206446,0.194739,0.20322,30352324,259964656
2019-08-23,0.199251,0.203192,0.192187,0.202022,31815795,258432152
2019-08-22,0.182565,0.202398,0.176635,0.199377,48270324,255048249
2019-08-21,0.17977,0.188456,0.169081,0.182664,29505167,233667966
2019-08-20,0.185714,0.185885,0.1787,0.179856,16552291,230076709
2019-08-19,0.184786,0.188435,0.183584,0.185861,21166999,237757970
2019-08-18,0.176744,0.188072,0.1756,0.184715,20628993,236291907
2019-08-17,0.179416,0.181315,0.175303,0.176841,18101038,226219553
2019-08-16,0.186945,0.188103,0.175246,0.179344,24957560,229421974
2019-08-15,0.168801,0.187271,0.166261,0.186974,23576495,239181419
2019-08-14,0.196396,0.198587,0.168223,0.168561,32235373,215206600
2019-08-13,0.203249,0.20565,0.193145,0.196376,30158571,250718465
2019-08-12,0.208032,0.208032,0.200365,0.203221,23406654,259457937
2019-08-11,0.202737,0.208751,0.201465,0.207989,28260982,265545399
2019-08-10,0.199341,0.213593,0.198326,0.202651,23198772,258729067
2019-08-09,0.209518,0.211549,0.197152,0.199289,23119825,254437438
2019-08-08,0.221503,0.231267,0.207551,0.209671,34295280,267692163
2019-08-07,0.217438,0.23298,0.213877,0.221299,32886594,282537966
2019-08-06,0.234417,0.235981,0.21691,0.217389,29351697,277079010
2019-08-05,0.236404,0.241843,0.232346,0.234478,32909332,298859536
2019-08-04,0.235294,0.241234,0.231603,0.236309,24077010,301193122
2019-08-03,0.235749,0.23855,0.232354,0.23528,24757141,299881500
2019-08-02,0.237189,0.244805,0.233258,0.235728,27520584,300453574
2019-08-01,0.247084,0.247123,0.234563,0.237122,19660032,302230233
2019-07-31,0.247091,0.253305,0.244993,0.247068,17523069,314905432
2019-07-30,0.254443,0.255434,0.243404,0.247087,21332339,314929537
2019-07-29,0.257567,0.26354,0.251548,0.254398,21933638,324247948
2019-07-28,0.270109,0.277399,0.246237,0.257962,31459364,328790264
2019-07-27,0.26206,0.277185,0.248517,0.269844,47643016,343935043
2019-07-26,0.234174,0.263025,0.230197,0.262156,26929048,334136042
2019-07-25,0.232923,0.240633,0.232242,0.234193,13118854,298495919
2019-07-24,0.231385,0.236933,0.223463,0.2329,15710262,296846960
2019-07-23,0.245612,0.253443,0.230675,0.231356,17007689,294879264
2019-07-22,0.248961,0.25411,0.238294,0.245638,15720865,313082461
2019-07-21,0.255018,0.258041,0.242369,0.2489,15841354,317241116
2019-07-20,0.246317,0.262852,0.24525,0.254637,25051053,324552464
2019-07-19,0.233012,0.256317,0.231028,0.246425,31898402,314085794
2019-07-18,0.217645,0.23489,0.209617,0.233079,23259263,297075462
2019-07-17,0.205582,0.226001,0.202265,0.217546,22064636,276937412
2019-07-16,0.248548,0.249985,0.203157,0.20595,22631125,262175078
2019-07-15,0.249743,0.251351,0.226862,0.248664,24302916,316550539
2019-07-14,0.287101,0.28736,0.249852,0.249876,21713859,318093179
2019-07-13,0.291508,0.295352,0.280739,0.286967,22429157,365310299
2019-07-12,0.293873,0.297365,0.28009,0.291175,28509531,370668059
2019-07-11,0.296109,0.299162,0.273234,0.292996,34700961,372985807
2019-07-10,0.295149,0.326714,0.286132,0.296258,40442354,377138521
2019-07-09,0.29799,0.303868,0.291298,0.294936,26574512,375454812
2019-07-08,0.299475,0.318643,0.297476,0.29792,31447489,379254420
2019-07-07,0.293419,0.306078,0.291562,0.299855,21465177,381717636
2019-07-06,0.294773,0.29781,0.290883,0.293264,24136952,373327177
2019-07-05,0.294574,0.302013,0.29074,0.294779,27391570,375255245
