Date,Open,High,Low,Close,Volume,MarketCap
2020-03-01,3.47,3.55,3.28,3.37,134716473,642291146
2020-02-29,3.54,3.67,3.48,3.48,117740505,663472638
2020-02-28,3.69,3.74,3.46,3.54,182473022,674353995
2020-02-27,3.66,3.85,3.36,3.69,244141234,703116967
2020-02-26,4.05,4.07,3.51,3.67,273436563,699199831
2020-02-25,4.38,4.39,4,4.06,234723404,774157679
2020-02-24,4.79,4.93,4.25,4.38,273073854,835592608
2020-02-23,5.02,5.09,4.75,4.79,255495590,913805637
2020-02-22,4.83,5.09,4.71,5,297156553,954287847
2020-02-21,4.47,4.97,4.43,4.83,743408253,921849228
2020-02-20,4.15,4.55,4.13,4.47,1754228163,852669463
2020-02-19,4.43,4.69,4.15,4.16,253028949,792991328
2020-02-18,4.27,4.48,3.99,4.43,256786535,845366478
2020-02-17,4.39,4.4,3.93,4.27,311147336,814388989
2020-02-16,4.6,4.74,4.08,4.39,315050586,838046642
2020-02-15,5.1,5.13,4.45,4.58,259955974,873752237
2020-02-14,4.9,5.12,4.87,5.1,228732873,973082532
2020-02-13,5.11,5.23,4.85,4.89,292085886,933307484
2020-02-12,5.1,5.31,5.08,5.11,259478348,974520934
2020-02-11,4.78,5.15,4.71,5.1,246047423,973069015
2020-02-10,4.76,4.79,4.59,4.79,213729603,913157584
2020-02-09,4.63,4.79,4.6,4.76,194625819,907445362
2020-02-08,4.81,4.81,4.53,4.63,223813433,882422410
2020-02-07,4.57,4.9,4.53,4.81,263626979,917332059
2020-02-06,4.33,4.58,4.27,4.57,245005952,870872257
2020-02-05,4.22,4.35,4.15,4.33,219629627,824888932
2020-02-04,4.26,4.26,4.02,4.22,199182438,804128109
2020-02-03,4.41,4.46,4.25,4.26,169613306,812471299
2020-02-02,4.37,4.47,4.25,4.41,166048379,840319053
2020-02-01,4.39,4.43,4.3,4.38,153198031,834520686
2020-01-31,4.42,4.6,4.3,4.39,199363105,837029351
2020-01-30,4.41,4.47,4.3,4.41,193799097,841882518
2020-01-29,4.59,4.59,4.36,4.41,195873920,841480724
2020-01-28,4.52,4.59,4.48,4.59,201500979,874619277
2020-01-27,4.48,4.67,4.43,4.52,166514161,861473073
2020-01-26,4.41,4.5,4.37,4.48,131819511,854395418
2020-01-25,4.49,4.49,4.37,4.42,132055630,841901879
2020-01-24,4.45,4.52,4.35,4.48,161825964,855148282
2020-01-23,4.65,4.68,4.38,4.44,157800493,847521481
2020-01-22,4.64,4.69,4.57,4.65,131623772,887094362
2020-01-21,4.5,4.73,4.46,4.65,138311353,886592072
2020-01-20,4.51,4.66,4.42,4.51,142814531,859109294
2020-01-19,4.64,4.76,4.39,4.52,195479921,861648060
2020-01-18,5,5,4.62,4.63,218755859,883526141
2020-01-17,5.1,5.29,4.77,5,314099418,953671093
2020-01-16,4.57,5.2,4.2,5.08,292509993,967992098
2020-01-15,4.54,4.93,4.4,4.57,256937834,871045052
2020-01-14,4.25,4.67,4.24,4.54,218081722,865707914
2020-01-13,4.26,4.33,4.13,4.26,112376034,811564036
2020-01-12,4.27,4.35,4.23,4.26,114480179,812887020
2020-01-11,4.26,4.43,4.26,4.28,134305838,815227389
2020-01-10,4.26,4.45,4.21,4.26,180537539,813022082
2020-01-09,4.01,4.26,3.96,4.26,137133708,812941170
2020-01-08,4.09,4.18,4,4.01,128484380,764782468
2020-01-07,4.11,4.25,4.07,4.1,136691939,781067565
2020-01-06,4.23,4.25,4.05,4.1,139523351,782765024
2020-01-05,4.28,4.4,4.22,4.23,115399788,806970072
2020-01-04,4.25,4.39,4.23,4.29,90718305,817358521
2020-01-03,4.11,4.36,4.02,4.25,138617691,810024888
2020-01-02,4.38,4.38,4.08,4.09,111325337,780262140
2020-01-01,4.22,4.47,4.2,4.38,107994513,835245527
2019-12-31,4.19,4.33,4.13,4.22,109928104,804079143
2019-12-30,4.27,4.42,4.15,4.19,126896246,799024500
2019-12-29,4.41,4.54,4.25,4.27,125572029,813804081
2019-12-28,4.52,4.72,4.41,4.41,117069172,840180977
2019-12-27,4.57,4.76,4.49,4.52,132653447,861978946
2019-12-26,4.3,4.62,4.3,4.58,139848139,873061135
2019-12-25,4.42,4.42,4.21,4.3,104967612,820436002
2019-12-24,4.31,4.48,4.26,4.42,127112410,843489942
2019-12-23,4.27,4.35,4.17,4.3,133651317,820276987
2019-12-22,4.09,4.28,4.08,4.27,119057895,814002309
2019-12-21,4.32,4.35,4.07,4.09,111080887,779582076
2019-12-20,4.29,4.38,4.19,4.31,142056809,822749311
2019-12-19,4.3,4.37,4.08,4.29,149541020,817804301
2019-12-18,3.61,4.46,3.6,4.3,260235131,820891581
