Date,Open,High,Low,Close,Volume,MarketCap
2020-03-01,4.85,5.01,4.47,4.6,608435607,1051670472
2020-02-29,4.67,5.49,4.66,4.86,1300466629,1134674421
2020-02-28,4.23,4.88,4.11,4.67,783266697,1090084094
2020-02-27,4.09,4.32,3.92,4.22,371068212,983967184
2020-02-26,4.27,4.29,3.95,4.09,463581641,953973509
2020-02-25,4.67,4.67,4.2,4.28,336524652,998211774
2020-02-24,4.75,4.8,4.56,4.66,288844937,1087957732
2020-02-23,4.52,4.8,4.52,4.77,255380250,1112702289
2020-02-22,4.78,4.79,4.51,4.52,219757153,1055789557
2020-02-21,4.74,4.8,4.68,4.77,207930247,1112187131
2020-02-20,4.77,4.87,4.57,4.75,337953241,1107734772
2020-02-19,4.97,5.1,4.77,4.79,392054213,1117726867
2020-02-18,4.76,4.99,4.62,4.96,352829082,1158591833
2020-02-17,5.04,5.06,4.48,4.74,546513226,1102594084
2020-02-16,4.91,5.3,4.63,5.06,634936367,1176630078
2020-02-15,5.04,5.32,4.82,4.89,618213979,1136377025
2020-02-14,4.76,5.07,4.74,5.04,366021796,1192542519
2020-02-13,4.88,5,4.62,4.77,378017611,1127298104
2020-02-12,4.64,4.91,4.6,4.88,363066240,1154315345
2020-02-11,4.7,4.77,4.39,4.64,545387696,1096972966
2020-02-10,3.96,4.78,3.88,4.71,1055397693,1113911210
2020-02-09,3.83,3.99,3.82,3.97,302385209,938021383
2020-02-08,3.9,3.92,3.78,3.83,284265800,905165697
2020-02-07,3.71,3.99,3.71,3.9,373269634,922695692
2020-02-06,3.58,3.8,3.55,3.7,329143909,874950217
2020-02-05,3.43,3.61,3.42,3.58,218391076,846649656
2020-02-04,3.45,3.47,3.34,3.43,134770987,811887504
2020-02-03,3.48,3.52,3.42,3.45,143343968,816474042
2020-02-02,3.47,3.53,3.36,3.48,181480531,821875508
2020-02-01,3.44,3.49,3.41,3.47,159118308,821109858
2020-01-31,3.5,3.56,3.36,3.44,249757025,813878000
2020-01-30,3.39,3.51,3.34,3.5,240909890,827509994
2020-01-29,3.25,3.46,3.24,3.39,236378858,802241053
2020-01-28,3.19,3.25,3.16,3.25,178973598,769309163
2020-01-27,3.15,3.21,3.14,3.2,168209429,755534572
2020-01-26,3.08,3.15,3.07,3.15,105636039,744434931
2020-01-25,3.13,3.13,3.06,3.09,86633958,729512895
2020-01-24,3.13,3.15,3.05,3.12,117533845,738950763
2020-01-23,3.25,3.25,3.06,3.13,126127334,740157818
2020-01-22,3.26,3.29,3.22,3.25,104633876,767847012
2020-01-21,3.17,3.29,3.16,3.26,142830754,771740194
2020-01-20,3.15,3.21,3.08,3.17,125622177,750026853
2020-01-19,3.22,3.29,3.08,3.15,162391777,733956402
2020-01-18,3.27,3.29,3.19,3.22,156139132,750536152
2020-01-17,3.24,3.31,3.2,3.28,185645487,764345882
2020-01-16,3.28,3.29,3.13,3.24,168315633,756365709
2020-01-15,3.23,3.35,3.13,3.28,297998580,764973097
2020-01-14,3.05,3.3,3.04,3.24,359214699,781284137
2020-01-13,3.09,3.1,3.02,3.05,133950019,735016484
2020-01-12,3.15,3.21,3.08,3.09,129949368,746192999
2020-01-11,3.11,3.23,3.08,3.16,152428071,761563889
2020-01-10,3.07,3.11,2.97,3.11,214112126,751243403
2020-01-09,3.07,3.07,2.96,3.06,155031303,739509209
2020-01-08,3.14,3.2,3.02,3.07,218548663,741114574
2020-01-07,3.05,3.15,3.02,3.14,236321944,757536379
2020-01-06,2.94,3.05,2.93,3.05,178096378,736345235
2020-01-05,2.92,2.98,2.91,2.94,119839038,708925311
2020-01-04,2.85,2.92,2.82,2.92,129387617,703841668
2020-01-03,2.76,2.85,2.7,2.85,146742345,686500587
2020-01-02,2.82,2.85,2.74,2.75,127923383,663187016
2020-01-01,2.75,2.84,2.74,2.82,107014240,679442489
2019-12-31,2.79,2.8,2.73,2.75,93318487,662951715
2019-12-30,2.82,2.86,2.76,2.79,107859809,673517976
2019-12-29,2.79,2.86,2.79,2.81,106362520,678721857
2019-12-28,2.78,2.83,2.78,2.79,97390068,673808352
2019-12-27,2.78,2.83,2.75,2.78,99549634,671802328
2019-12-26,2.81,2.82,2.76,2.78,110427485,670310559
2019-12-25,2.86,2.87,2.76,2.81,104122757,678947338
2019-12-24,2.83,2.91,2.8,2.86,111449993,690443347
2019-12-23,2.86,2.93,2.81,2.83,168832758,681976581
2019-12-22,2.81,2.86,2.77,2.86,134255821,689495068
2019-12-21,2.76,2.83,2.7,2.81,109353056,678809067
2019-12-20,2.72,2.8,2.7,2.76,115478618,666395474
2019-12-19,2.69,2.73,2.62,2.72,149562802,655722887
2019-12-18,2.38,2.72,2.37,2.69,216748376,649679438
2019-12-17,2.59,2.6,2.38,2.4,138503382,578158589
2019-12-16,2.73,2.74,2.59,2.59,121938917,625756900
2019-12-15,2.72,2.74,2.6,2.73,122494596,657605992
2019-12-14,2.78,2.8,2.71,2.72,112812199,655656599
2019-12-13,2.77,2.81,2.76,2.78,96884560,671357049
