Date,Open,High,Low,Close,Volume,MarketCap
2020-03-01,58.53,60.12,56.65,57.96,4317287191,3720790355
2020-02-29,59.75,61.38,58.39,58.54,4168117352,3758049404
2020-02-28,61.44,63.17,57.84,59.76,5266399749,3835945103
2020-02-27,61.03,64.62,57.8,61.51,5649302854,3947440769
2020-02-26,71.18,71.86,58.58,61.01,6518313483,3915328585
2020-02-25,75.5,75.81,70.07,71.18,5755711246,4567178980
2020-02-24,79.56,79.56,72.38,75.54,6355612214,4846065100
2020-02-23,75.07,79.8,74.98,79.54,5702486428,5102126285
2020-02-22,73.49,76.49,72.57,75.13,5547090434,4819103854
2020-02-21,69.57,74.94,68.91,73.45,5579449656,4710680779
2020-02-20,70.98,72.17,67.46,69.62,5500324693,4464832282
2020-02-19,77.08,78.2,70.54,71.14,5298677185,4561234455
2020-02-18,73.19,78.01,70.89,77.04,5600214717,4938917809
2020-02-17,74.97,75.38,69.44,73.25,5593944695,4695804838
2020-02-16,76.73,80.41,69.58,75.15,6186098306,4817137104
2020-02-15,83.03,83.38,76.1,76.51,5612667760,4903772881
2020-02-14,80.38,83.46,79.43,82.99,5382846670,5318240171
2020-02-13,81.23,83.69,78.58,80.4,6579062946,5151873617
2020-02-12,76.49,82.27,76.45,81.3,5701884854,5208558724
2020-02-11,74.35,76.63,72.85,76.6,4742120918,4906933361
2020-02-10,77.14,77.56,73.12,74.34,5373709984,4761554712
2020-02-09,76.45,78.2,75.69,77.09,5145711108,4937660994
2020-02-08,74.4,77.42,72.14,76.47,5496860399,4897092475
2020-02-07,73.47,74.96,73.22,74.36,5051951258,4761261677
2020-02-06,72.53,74.66,71.11,73.39,5463272394,4698795737
2020-02-05,68.11,73.18,67.88,72.49,5169585841,4640906808
2020-02-04,69.77,70.33,66.9,68.2,4449652117,4365253454
2020-02-03,69.99,72.39,68.97,69.78,4965069690,4466102181
2020-02-02,70.8,73.25,68.13,70.23,5482993030,4494447999
2020-02-01,67.91,72.28,67.66,70.82,6009767449,4531596557
2020-01-31,68.18,69.38,65.79,67.88,5718104791,4342918713
2020-01-30,60.01,69.74,58.78,68.16,6042169957,4360322858
2020-01-29,60.66,62.25,59.78,60.08,3894445882,3842950242
2020-01-28,58.77,61.15,57.76,60.67,4220742210,3880511637
2020-01-27,56.28,59.58,56.08,58.76,3832184228,3758010753
2020-01-26,53.69,56.48,53.3,56.21,3283750798,3594505100
2020-01-25,54.56,54.56,52.77,53.7,2938756558,3433273431
2020-01-24,54.64,55.42,51.36,54.53,3532776556,3486182447
2020-01-23,58.35,58.48,53.39,54.63,3348002983,3492096602
2020-01-22,57.64,58.99,57.32,58.35,3076205980,3729779086
2020-01-21,57.23,57.96,56.27,57.65,3130143642,3684221719
2020-01-20,57.78,58.09,56.23,57.2,3306438947,3655443935
2020-01-19,59.45,61.79,56.18,57.8,4197776579,3693201722
2020-01-18,61.3,62.17,58.53,59.41,4426051530,3795493154
2020-01-17,57.64,62.89,56.9,61.49,5067456613,3927821846
2020-01-16,58.05,58.3,55.15,57.62,4347723835,3680300934
2020-01-15,58.39,59.92,56.17,58.05,5070738793,3707655223
2020-01-14,49.7,59.88,49.69,58.48,5729547956,3734400000
2020-01-13,51.12,51.39,48.93,49.73,3336204744,3175647876
2020-01-12,49.32,51.3,49.01,51.08,3858852964,3261300810
2020-01-11,48.63,51.33,48.09,49.26,3915781115,3144901794
2020-01-10,45.21,49.17,44.03,48.73,3808140302,3110300142
2020-01-09,45.62,45.78,44.31,45.22,2986327757,2885860528
2020-01-08,46.45,48.2,44.63,45.65,3633957130,2913485629
2020-01-07,45.84,46.86,44.72,46.42,3611521907,2962310517
2020-01-06,43.6,45.96,43.49,45.82,3349237768,2923126044
2020-01-05,43.29,44.73,43,43.55,3017148033,2778396525
2020-01-04,42.38,43.34,41.93,43.33,2843192897,2763617782
2020-01-03,39.86,42.45,39.45,42.42,3260961326,2705193552
2020-01-02,42.02,42.13,39.68,39.82,2759827139,2539554281
