Date,Open,High,Low,Close,Volume,MarketCap
2020-03-01,553.67,565.33,539.27,544.03,5571792,537061423
2020-02-29,581.26,592.44,554.31,556.42,6521916,549305867
2020-02-28,566.14,594.3,561.03,580.79,7473815,573369643
2020-02-27,544.07,583.03,524.34,565.6,7009677,558388265
2020-02-26,593.61,596.37,540.77,543.49,6897584,536575769
2020-02-25,635.85,640.16,591.94,591.94,7206515,584427107
2020-02-24,653.72,660.49,624.82,635.57,7189870,627518083
2020-02-23,645.61,658.16,630.19,653.83,8325943,645559344
2020-02-22,635.75,647.93,614.07,642.52,7627663,634408668
2020-02-21,645.89,650.88,626.9,636.63,7409306,628606080
2020-02-20,640.64,655.7,626.1,644.87,8684619,636755931
2020-02-19,639.19,732.15,623.02,644.51,9185814,636412136
2020-02-18,612.71,643.43,602.23,637.71,7875867,629751289
2020-02-17,639.34,639.34,587.33,614.94,7744867,607285027
2020-02-16,603.7,639,599.19,634.71,8359385,626820980
2020-02-15,638.99,648.19,602.88,607.28,7230162,599742198
2020-02-14,628.14,642.97,609.2,638.99,7666723,631107032
2020-02-13,622.08,641.46,605.24,625.76,7841977,618057907
2020-02-12,591.3,624.58,585.55,614.31,7091879,606754976
2020-02-11,574.55,592.81,562.85,585.55,6457524,578382809
2020-02-10,588.65,592.41,555.45,574.16,6259386,567141284
2020-02-09,581.95,593.9,577.6,591.78,6451746,584607549
2020-02-08,580.9,586.42,565.18,578.32,6079389,571327390
2020-02-07,575.94,587.83,567.64,583.16,6690307,576127792
2020-02-06,582.16,589.58,561.39,574.18,5601577,567289827
2020-02-05,552.87,588.84,549.83,583.07,4686378,576130988
2020-02-04,557.02,562.14,541.36,553.62,3979687,547050404
2020-02-03,556.84,573.26,546.7,556.3,4452208,549707432
2020-02-02,552.86,571.73,542.8,558.67,4134079,552154452
2020-02-01,546.78,559.03,539.96,552.01,3991779,545594281
2020-01-31,544.69,555.71,532.09,545.33,4093150,538992045
2020-01-30,523.96,554.09,509.17,551.77,4232265,545359251
2020-01-29,528.67,537.56,514.44,522.53,3932224,516500218
2020-01-28,485.57,534.37,484.93,531.92,4612793,525782477
2020-01-27,482.63,494.37,473.94,487.37,3793281,481835342
2020-01-26,462.94,486.42,457.52,484.92,3519127,479407733
2020-01-25,467.46,471.12,454.09,465.29,3312795,460012001
2020-01-24,470.65,476.44,452.5,467.68,3689358,462382739
2020-01-23,474.46,477.06,451.26,473.78,3578834,468407704
2020-01-22,483.67,491.43,467.72,474.53,3522250,469212311
2020-01-21,484.17,485.83,466.09,484.07,4363397,478700118
2020-01-20,503.99,508.61,457.4,483.52,4937380,478157887
2020-01-19,517.62,528.9,488.74,507.21,3871380,501653038
2020-01-18,514.36,530.38,490.29,523.14,4925581,517419957
2020-01-17,527.55,534.75,499.29,515.97,5097150,510348669
2020-01-16,528.46,536,488.25,529.68,4168861,523914090
2020-01-15,532.88,554.7,515.81,533.83,4651343,528054686
2020-01-14,483.75,537.99,481.31,533.87,5079338,528093777
2020-01-13,494.77,499.57,476.66,482.22,3543697,477020940
2020-01-12,481.49,497.48,476.89,496.23,3691033,496225779
2020-01-11,478.07,494.06,472.2,479.06,4896444,479059454
2020-01-10,464.23,481.32,454.17,476.68,3941850,476680118
2020-01-09,485.2,486.86,452.77,462.12,4065236,462117194
2020-01-08,474.63,496.01,469.59,484.58,4211004,484582104
2020-01-07,467.52,477.03,459.02,469.89,3795790,469886013
2020-01-06,442.02,468.35,438.71,464.47,3950543,464474369
2020-01-05,441.71,452.67,436.08,442.09,3750842,442089035
2020-01-04,434.83,448.8,424.63,440.25,3709471,440247004
2020-01-03,422.1,439.63,413.56,433.53,3648148,433531552
2020-01-02,437.62,437.62,416.71,425.44,3608801,425435460
2020-01-01,433.24,441.56,428.48,437.33,3531182,437331443
2019-12-31,445.17,447.36,427.29,430.96,3512760,430964639
2019-12-30,449.54,457.33,437.94,442.89,3878828,442889578
2019-12-29,431.18,457.86,428.56,448.31,3785106,448314261
2019-12-28,427.42,438.84,425.82,430.74,3563307,430736438
2019-12-27,430.09,438.66,421.94,427.56,4557354,427556221
2019-12-26,435.71,452.28,424.89,432.48,4563748,432476083
2019-12-25,461.67,464.98,429.07,434.84,6026951,434836630
2019-12-24,460.82,466.34,436.89,457.34,5354515,457339067
2019-12-23,504.53,509.94,441.54,460.93,4633187,460932971
2019-12-22,487.65,505.87,472.25,505.51,4638315,505508199
2019-12-21,490.35,500.53,471.91,490.67,4738670,490670899
2019-12-20,481.31,497.01,453.83,490.35,4636633,490348372
2019-12-19,465.42,481.31,448.58,481.31,4761181,481305322
2019-12-18,411.79,468.81,394,467.95,5050557,467953801
2019-12-17,461.63,471.64,409.62,415.16,4026492,415164245
2019-12-16,490.52,497.42,451.07,461.63,4724877,461630244
2019-12-15,512.6,513.71,483.55,493.96,4356116,493956809
2019-12-14,509.41,516.15,501.57,508.61,4041034,508611804
2019-12-13,493.91,515.8,490.37,510.73,4130286,510729428
2019-12-12,489,502.58,483.23,493.53,3823711,493525148
2019-12-11,502.39,508.59,481.91,489.76,4460711,489758490
2019-12-10,501.76,510.67,492.55,506.8,4280554,506803670
2019-12-09,505.82,515.58,491.91,499.82,3927002,499816341
2019-12-08,499.81,522.47,493.81,504.44,4052523,504440903
2019-12-07,505.55,529.76,495.71,501.17,4295216,501167415
2019-12-06,508.85,526.19,496.85,505.82,4642910,505817474
2019-12-05,492.24,531.61,465.35,509.81,5175476,509809168
2019-12-04,542.07,571.27,483.88,495.4,5053047,495404924
2019-12-03,564.05,571.31,528.45,545.93,4876703,545925393
2019-12-02,516.94,570.23,506.79,564.05,4745961,564047424
2019-12-01,542.28,544.1,501.86,512.56,4896695,512562204
2019-11-30,549.58,562.91,523.98,544.45,4662481,544452259
2019-11-29,542.11,565.53,529.23,549.65,4784047,549651561
2019-11-28,552.87,574.62,534.51,541.32,4507001,541324455
2019-11-27,526.37,565.68,518.1,549.74,4793026,549742433
2019-11-26,529.91,545.28,511.07,527.04,5182243,527036950
2019-11-25,480.71,535.21,431.27,528.88,6497521,528879055
2019-11-24,549.93,557.75,478.11,480.06,4311479,480055525
2019-11-23,520.38,560.74,507.35,551.96,5249182,551962108
2019-11-22,528.96,539.28,445.11,519.71,5702366,519709257
2019-11-21,582.72,587.14,524.35,528.96,4572658,528956842
2019-11-20,601.65,609.86,575.67,586.16,5746626,586155554
2019-11-19,661.11,683.59,592.95,605.81,5493450,605808880
2019-11-18,672.59,674.72,647.25,654.03,5201375,654033586
2019-11-17,627.79,679.52,621.61,672.67,6084081,672669073
2019-11-16,609.38,634.03,600.28,626.5,5652238,626503192
2019-11-15,651.89,654.65,581.33,605.67,7938949,605671011
2019-11-14,656.79,662.15,642.23,647.95,5571038,647945052
2019-11-13,658.13,664.2,649.64,654.52,5171580,654515169
2019-11-12,652.47,664.99,642.1,657.08,5858480,657075453
2019-11-11,671.58,691.9,638.21,649.76,5721818,649759376
2019-11-10,647.4,680.71,642.57,668.4,6183956,668400573
2019-11-09,664.97,677.38,644.34,646.19,5315946,646186720
2019-11-08,662.4,684.73,634.9,661.1,5743195,661103403
2019-11-07,586.34,665.5,576.14,659.82,6984364,659815383
2019-11-06,552.84,588.1,547.04,585.61,5218515,585609963
2019-11-05,543.63,565.96,533.43,555.17,6404055,555170162
2019-11-04,526.06,554.3,521.23,542.62,4858824,542620759
2019-11-03,524.9,538.19,519.78,525.54,4250307,525539498
2019-11-02,532.09,534.67,518.97,524.52,4102314,524515428
2019-11-01,540.28,547.88,525.1,530.34,5194608,530341338
2019-10-31,524.47,551.28,507.93,543.61,7829984,543607332
2019-10-30,529.66,538.55,514.31,526.28,6290986,526283811
2019-10-29,516.8,535.12,513.95,527.15,6353265,527154475
2019-10-28,519.97,529.24,506.85,516.85,5535182,516845203
2019-10-27,503.45,525.18,495.76,517.6,5690092,517599686
2019-10-26,513.76,563.26,490.97,503.34,7319372,503344381
2019-10-25,465.95,521.85,463.12,515.85,5322499,515850975
2019-10-24,460.32,472.72,453.52,467.13,4665362,467127407
2019-10-23,492.53,493.99,452.71,460.32,5128328,460320162
2019-10-22,497.8,502.68,489.92,493.16,5015403,493164783
2019-10-21,501.65,519.78,489.24,497.72,8057849,497722224
2019-10-20,491.68,512.37,481.59,499.49,10334479,499485070
2019-10-19,478.29,506.27,477.03,494.08,12077640,494075264
2019-10-18,488.27,500.84,474.26,487.65,15885206,487647149
2019-10-17,488.88,493.11,475.51,488.27,13540683,488274944
2019-10-16,497.94,503.78,483.16,484.5,15462284,484495113
2019-10-15,511.35,513,491.16,495.81,11560592,495810041
2019-10-14,501.76,520.04,498.3,511.24,14246216,511239723
2019-10-13,503.96,518.16,497.39,501.76,16830548,501763336
2019-10-12,513.51,526.99,495.88,507.39,16557071,507394516
2019-10-11,535.18,565.44,505.48,507.65,13260531,507654726
2019-10-10,533.74,558.81,516.43,534.05,11051441,534050886
2019-10-09,453.49,544.31,453.02,538.31,11665114,538306606
2019-10-08,455.91,469.88,447.29,453.48,10098044,453481782
2019-10-07,436.28,464.17,427.92,455.44,11539883,455443301
2019-10-06,443.2,453.32,429.33,435.64,11868192,435640432
2019-10-05,446.22,456.29,434.46,442.89,13866477,442893719
2019-10-04,441.21,462.44,435.08,445.15,11034174,445146130
2019-10-03,452.55,457.73,431.97,437.76,8256985,437756123
2019-10-02,455.42,461.71,440.09,450.71,10294652,450706283
2019-10-01,449.8,461.81,442.4,454.45,11457079,454451452
2019-09-30,429.84,454.49,418.23,453.36,8805015,453359666
2019-09-29,445.23,455.39,421.97,430.22,8370084,430221630
2019-09-28,456.13,463.47,435.01,443.65,10618275,443653158
2019-09-27,452.7,461.68,431.56,451.1,13406794,451097174
2019-09-26,447.61,465.67,416.03,448.22,9414506,448217440
2019-09-25,441.72,465.01,435.95,444.84,11743543,444843854
2019-09-24,506.54,516.92,422.7,439.27,11912259,439268266
2019-09-23,527.84,539.38,505.18,506,15063652,505997620
2019-09-22,550.6,554.75,522.09,528.6,10665537,528596953
2019-09-21,558.36,564.39,525.64,547.99,13794780,547994046
2019-09-20,540.3,574.41,535.5,556.23,13421343,556226966
2019-09-19,525.29,552.76,508.57,547.95,13692214,547953758
2019-09-18,504.76,542.33,498.83,525.27,14129904,525266161
2019-09-17,463.39,513.26,452.11,504.85,12536278,504853781
2019-09-16,475.02,485.63,459.12,463.75,11938595,463753745
2019-09-15,458.29,487.49,455.24,474.48,10248673,474484180
2019-09-14,457.35,480.38,448.91,462.87,13679413,462873546
2019-09-13,461.8,469.64,447.91,454.1,9414430,454096202
2019-09-12,466.1,477.89,444.87,458.14,11969143,458139283
2019-09-11,478.86,497.83,459.91,469.91,10828175,469910194
2019-09-10,478.08,495.59,470.49,478.09,11168539,478085943
2019-09-09,447.42,489.38,443.1,480.44,13057870,480436729
2019-09-08,445.16,460.04,433.24,449.19,12872900,449193485
2019-09-07,422.06,447.15,418.26,442.29,14033338,442288041
2019-09-06,461.52,475.09,406.19,420.48,17949497,420481947
2019-09-05,463.24,474.92,452.81,461.52,14230896,461520395
2019-09-04,475.48,488.55,460.6,468.37,14450718,468372200
2019-09-03,474.4,492.88,463.32,478.1,14473054,478104392
2019-09-02,474.49,486.53,456.4,479.71,14872172,479710355
2019-09-01,472.53,489.43,457.96,467.56,14496351,467561614
2019-08-31,475.28,485.69,464.82,474.91,14747752,474911544
2019-08-30,466.41,479.43,460.57,477.21,14718268,477212591
2019-08-29,478.79,490.32,457.95,466.41,13566617,466411551
2019-08-28,523.98,526.57,470.4,478.81,13240560,478809865
2019-08-27,517.55,524.69,506.33,523.91,9525757,523909852
2019-08-26,500.57,517.95,500.51,517.56,1984247,517559368
2019-08-25,504.67,506.23,494.09,501.2,1795672,501196720
2019-08-24,509.02,510.86,491.74,504.46,2012884,504456054
2019-08-23,497.95,509.09,496.6,509.05,1917705,509045538
2019-08-22,494.31,504.23,484.02,497.95,1951484,497948429
2019-08-21,511.57,511.76,482.35,494.31,2086405,494314129
2019-08-20,517.48,517.52,502.89,511.51,2128985,511514120
2019-08-19,516.56,519.79,509.41,517.48,2112281,517482708
2019-08-18,518.79,521.36,513.49,516.56,2607749,516562437
2019-08-17,504.37,520.41,503.32,518.86,2133883,518863554
2019-08-16,477.41,505.59,460.62,504.4,2476006,504401522
2019-08-15,450.29,478.33,441.29,477.33,2459470,477325967
2019-08-14,472.9,480.65,441.85,449.86,2643834,449856664
2019-08-13,486.01,486.42,471.5,472.89,2158767,472889117
2019-08-12,509.75,510.12,484.87,485.92,1886901,485919361
2019-08-11,495.35,511.88,494.26,509.71,1459438,509706631
2019-08-10,504.46,522.74,494.3,495.46,1612976,495455891
2019-08-09,538.96,603.88,496.55,504.46,7830305,504456035
2019-08-08,548.44,552.84,533.14,539.06,2030230,539059853
2019-08-07,558.35,575.87,547.35,548.36,1401969,548356231
2019-08-06,593.08,610.51,557.44,558.45,2379143,558454861
2019-08-05,588.99,611.42,588.8,593.03,1544082,593031574
2019-08-04,598.14,601.82,586.43,589.09,1322800,589088254
2019-08-03,601.48,612.77,595.2,598.09,1515498,598089659
2019-08-02,599.82,603.45,592.07,601.6,1337621,601598756
2019-08-01,589.74,601.17,580.01,599.78,1283289,599777232
2019-07-31,573.45,589.63,573.21,589.63,1713914,589629493
2019-07-30,568.28,583.47,554.5,573.53,1396805,573525030
2019-07-29,576.06,596.69,561.21,567.85,1881185,567852810
