Date,Open,High,Low,Close,Volume,MarketCap
2020-03-01,0.671782,0.704309,0.671569,0.684886,112403803,436513151
2020-02-29,0.689014,0.707909,0.671669,0.672666,103986264,428724278
2020-02-28,0.701141,0.719917,0.663585,0.689305,139566606,439329396
2020-02-27,0.687838,0.72277,0.651659,0.700368,151152663,446380296
2020-02-26,0.780874,0.782116,0.669445,0.686857,159800813,437769154
2020-02-25,0.85774,0.858983,0.77006,0.781503,128099447,498092041
2020-02-24,0.89272,0.893476,0.832379,0.857602,142658528,546593724
2020-02-23,0.848166,0.895002,0.847181,0.893464,133354100,569450403
2020-02-22,0.854792,0.858933,0.827611,0.849551,125475046,541462490
2020-02-21,0.830162,0.867789,0.824627,0.854523,141060703,544631297
2020-02-20,0.854551,0.859076,0.806305,0.831412,172669104,529901623
2020-02-19,0.922537,0.933266,0.849825,0.856619,143954017,545966810
2020-02-18,0.880089,0.935735,0.843965,0.92122,175356124,587140809
2020-02-17,0.904756,0.906491,0.811752,0.878514,201971226,559921887
2020-02-16,0.960425,0.999288,0.832969,0.909603,237611202,579736634
2020-02-15,1.07,1.1,0.9444,0.957589,215613947,610320674
2020-02-14,1.02,1.07,0.999889,1.07,190726077,682672400
2020-02-13,1.04,1.07,0.98292,1.02,237854474,650758802
2020-02-12,0.976887,1.06,0.97603,1.04,246813663,663546653
2020-02-11,0.961264,0.979844,0.916251,0.977523,177533984,623025712
2020-02-10,0.916518,0.967206,0.875621,0.9615,252152271,612813113
2020-02-09,0.845281,0.921571,0.845096,0.914441,180963485,582820269
2020-02-08,0.867261,0.867497,0.820488,0.845065,129385475,538603243
2020-02-07,0.858406,0.879549,0.851601,0.866895,140966951,552516564
2020-02-06,0.847005,0.868162,0.832971,0.858002,140256864,546848649
2020-02-05,0.82204,0.846647,0.80848,0.846429,137880145,539472653
2020-02-04,0.780056,0.823642,0.754652,0.823132,123444397,524624150
2020-02-03,0.785016,0.801376,0.767487,0.780311,108364842,497331986
2020-02-02,0.762218,0.80848,0.746706,0.785016,140368912,500330876
2020-02-01,0.770308,0.776525,0.746585,0.763295,105289020,486487240
2020-01-31,0.737414,0.779485,0.723041,0.769684,146943824,490558885
2020-01-30,0.733052,0.740633,0.716664,0.737669,112152368,470154087
2020-01-29,0.697832,0.752571,0.69749,0.733291,151841639,467364051
2020-01-28,0.686137,0.697484,0.674114,0.697385,101163238,444479238
2020-01-27,0.647623,0.685991,0.643383,0.685991,99413295,437216876
2020-01-26,0.634134,0.655951,0.628842,0.646605,77630884,412114344
2020-01-25,0.626738,0.636852,0.61457,0.633859,71803313,403990747
2020-01-24,0.637422,0.639569,0.611703,0.626599,85164001,399363289
2020-01-23,0.668746,0.672317,0.62204,0.63708,84716561,406043580
2020-01-22,0.662558,0.678607,0.658469,0.668267,83624923,425920457
2020-01-21,0.654276,0.665017,0.643418,0.662558,92478898,422282384
2020-01-20,0.653093,0.668267,0.63087,0.654366,112863046,417061204
2020-01-19,0.688543,0.715316,0.642831,0.653373,138168988,416428112
2020-01-18,0.71668,0.72979,0.685754,0.687989,152822619,438490374
2020-01-17,0.714216,0.728487,0.679894,0.717602,155507434,457364159
2020-01-16,0.69871,0.714091,0.651189,0.713108,129445344,454499903
2020-01-15,0.675142,0.743598,0.668767,0.69818,164127113,444985559
2020-01-14,0.608189,0.679129,0.607519,0.67715,127260855,431582261
2020-01-13,0.615911,0.618115,0.584556,0.608048,97108279,387540250
2020-01-12,0.585581,0.627627,0.580523,0.615588,114868496,392346048
2020-01-11,0.566488,0.609506,0.561924,0.585802,98001152,373361501
2020-01-10,0.542526,0.566892,0.531969,0.566301,83594178,360932918
2020-01-09,0.555495,0.555495,0.534878,0.542696,67629758,345888181
2020-01-08,0.564569,0.582724,0.544081,0.555804,75783460,354242027
2020-01-07,0.584859,0.590695,0.555139,0.564425,85659848,359736983
2020-01-06,0.552393,0.587504,0.552349,0.58386,87325737,372124127
2020-01-05,0.534342,0.573015,0.534342,0.552064,80035670,351858671
2020-01-04,0.528221,0.534763,0.520692,0.534763,58007761,340831924
2020-01-03,0.504405,0.533331,0.497402,0.528322,78199033,336726926
2020-01-02,0.527083,0.527211,0.501708,0.502871,64686317,320505408
2020-01-01,0.518744,0.540205,0.516688,0.526598,66118354,335627663
2019-12-31,0.529512,0.530808,0.516812,0.519029,75634560,330803542
2019-12-30,0.547004,0.547015,0.526461,0.529579,85314108,337527495
2019-12-29,0.532527,0.557396,0.529648,0.546944,94906841,348595244
2019-12-28,0.523198,0.541817,0.521363,0.532415,83503946,339335160
2019-12-27,0.518423,0.527123,0.513917,0.523245,81095132,333490692
2019-12-26,0.517778,0.531077,0.512672,0.51827,78000728,330320145
2019-12-25,0.526559,0.527196,0.511015,0.517739,61120312,329981460
2019-12-24,0.523643,0.544288,0.521041,0.526559,76682238,335602938
2019-12-23,0.557348,0.563356,0.519957,0.522919,82806304,333283086
2019-12-22,0.542878,0.55869,0.538718,0.557655,67948946,355421873
2019-12-21,0.55228,0.553523,0.538458,0.542652,60696554,345859941
2019-12-20,0.546864,0.560721,0.536099,0.55208,70304922,351868990
2019-12-19,0.561373,0.565396,0.53356,0.546119,78566686,348069575
2019-12-18,0.522772,0.567861,0.514854,0.562023,92213698,358206317
2019-12-17,0.562012,0.566386,0.513771,0.524259,69146476,334137270
2019-12-16,0.599024,0.599996,0.561752,0.562012,65321015,358198974
2019-12-15,0.591165,0.607573,0.568791,0.598962,76890254,381749403
2019-12-14,0.613682,0.614267,0.586768,0.590736,74717385,376506356
2019-12-13,0.595931,0.626946,0.595514,0.61369,91343647,391136278
2019-12-12,0.591029,0.598207,0.584256,0.59567,85672295,379651217
2019-12-11,0.592588,0.608432,0.586281,0.591029,69582253,376693215
