Date,Open,High,Low,Close,Volume,MarketCap
2020-03-01,1.01,1.01,0.995004,1,45828960109,4644680725
2020-02-29,0.996267,1.01,0.993575,1.01,44948749121,4671931514
2020-02-28,0.998789,1.01,0.991933,0.997089,56902235264,4628852894
2020-02-27,1,1.01,0.99267,0.998413,61401185853,4635002129
2020-02-26,1,1.01,0.993807,1,68910958735,4655096434
2020-02-25,0.998741,1.01,0.993926,1,55034243501,4649118780
2020-02-24,0.999138,1.01,0.996022,0.9988,56599226979,4636796514
2020-02-23,1,1,0.992563,0.998017,47448629411,4633159673
2020-02-22,1,1.01,0.997046,1,41243330013,4650857755
2020-02-21,1,1.01,0.993989,1,47618138884,4656933338
2020-02-20,1,1.01,0.993834,1,55986244963,4654409109
2020-02-19,1,1.03,0.996316,1,54920030584,4648512399
2020-02-18,0.998397,1.01,0.989398,1,60616752516,4645888803
2020-02-17,1,1.01,0.992153,0.998474,63038607545,4635284711
2020-02-16,0.998857,1.01,0.995153,0.999272,60160518246,4638989017
2020-02-15,0.999684,1.02,0.996736,0.999128,57250318373,4638318811
2020-02-14,0.998673,1,0.995624,1,54698567058,4642896605
2020-02-13,1,1.02,0.991908,0.998579,63588479574,4635769301
2020-02-12,0.99846,1.01,0.99447,1,54829582150,4654247429
2020-02-11,1,1,0.991423,0.998423,46001561028,4635044755
2020-02-10,1,1.02,0.995004,1,48784184264,4645339056
2020-02-09,0.999441,1.01,0.99557,1,44977724508,4649204340
2020-02-08,0.998773,1.01,0.994024,0.999534,44251729422,4640205613
2020-02-07,0.997453,1,0.99486,0.997751,42966951015,4631927116
2020-02-06,1,1.02,0.996225,0.997216,46549174003,4629443566
2020-02-05,1,1.01,0.993603,1,46504757742,4655543935
2020-02-04,0.999364,1.01,0.996329,1,36950713371,4650469195
2020-02-03,1,1.01,0.994314,0.998913,39849489336,4637320450
2020-02-02,1,1.01,0.996096,1,40560625161,4644893208
2020-02-01,1,1,0.997052,1,34763069931,4648011884
2020-01-31,1,1.01,0.997409,1,40496855325,4645374934
2020-01-30,1,1.01,0.997548,1,43624728074,4649109251
2020-01-29,1,1.01,0.993174,1,42323320108,4653027307
2020-01-28,1,1.01,0.991067,1,44123906993,4645895399
2020-01-27,1,1.01,0.99323,1,37771545362,4651188602
2020-01-26,1,1.01,0.997359,1,29121614731,4644708262
2020-01-25,1,1.01,0.996539,1,26340299495,4652175067
2020-01-24,0.999104,1.01,0.992917,1,33356108238,4656155507
2020-01-23,1,1.01,0.996345,0.998409,33631459310,4634979849
2020-01-22,1,1,0.997179,1,29749248330,4645128570
2020-01-21,1,1.01,0.995219,1,31080893275,4648951979
2020-01-20,0.998641,1.01,0.995383,1,33079894466,4640395834
2020-01-19,1,1.03,0.993084,0.998535,42680566067,4630413451
2020-01-18,1,1.01,0.993985,1,43805026250,4649919502
2020-01-17,0.999287,1.01,0.98928,1,47263851458,4650379638
2020-01-16,1,1.01,0.993361,0.999231,40752742739,4633460370
