Date,Open,High,Low,Close,Volume,MarketCap
2020-03-01,2.75,2.83,2.59,2.62,118242324,1842690211
2020-02-29,2.76,2.99,2.75,2.76,148892177,1935866746
2020-02-28,2.79,2.91,2.65,2.76,165195647,1940671281
2020-02-27,2.77,2.98,2.57,2.8,275767947,1964176570
2020-02-26,2.8,2.97,2.54,2.77,308369404,1944957317
2020-02-25,3.18,3.18,2.73,2.82,220934560,1977735060
2020-02-24,3.51,3.52,2.99,3.18,243208712,2233408555
2020-02-23,3.31,3.57,3.31,3.51,201953498,2465440669
2020-02-22,3.49,3.52,3.25,3.31,200526802,2325451762
2020-02-21,3.61,3.74,3.4,3.49,198998663,2444935167
2020-02-20,3.56,3.87,3.48,3.61,276065341,2534807316
2020-02-19,3.44,3.92,3.35,3.56,266619604,2494966418
2020-02-18,3.15,3.52,3.1,3.45,203797553,2395788575
2020-02-17,3.25,3.25,2.77,3.15,236951007,2188241816
2020-02-16,3.19,3.29,2.8,3.25,227937928,2255211170
2020-02-15,3.47,3.53,3.04,3.18,194773545,2209226319
2020-02-14,3.12,3.54,3.05,3.47,206092809,2408769608
2020-02-13,3.32,3.35,2.95,3.12,243665848,2165340245
2020-02-12,2.9,3.61,2.9,3.32,334853757,2305240368
2020-02-11,2.62,2.93,2.56,2.9,144827946,2011451187
2020-02-10,2.64,2.74,2.48,2.62,154493519,1821850330
2020-02-09,2.29,2.74,2.28,2.64,196340341,1835944549
2020-02-08,2.19,2.31,2.03,2.29,93638903,1588433981
2020-02-07,2.16,2.25,2.16,2.19,93382410,1523249146
2020-02-06,2.14,2.25,2.12,2.16,100508449,1497009188
2020-02-05,1.92,2.22,1.91,2.14,111859155,1486335955
2020-02-04,2,2.03,1.89,1.92,88198795,1336199969
2020-02-03,1.91,2.1,1.87,2,112154610,1391386055
2020-02-02,1.74,1.98,1.7,1.91,83037458,1326090827
2020-02-01,1.66,1.74,1.65,1.74,37226254,1209947862
2020-01-31,1.68,1.72,1.65,1.66,49262411,1151165578
2020-01-30,1.57,1.7,1.56,1.68,54565714,1164729726
2020-01-29,1.55,1.68,1.54,1.57,51375642,1088132652
2020-01-28,1.53,1.57,1.5,1.55,47120502,1076031418
2020-01-27,1.52,1.54,1.49,1.53,44520219,1059238633
2020-01-26,1.5,1.53,1.47,1.52,43363397,1057063607
2020-01-25,1.52,1.52,1.47,1.5,44078895,1038410748
2020-01-24,1.56,1.57,1.5,1.52,48576603,1053322115
2020-01-23,1.59,1.62,1.5,1.55,65348600,1078286026
2020-01-22,1.54,1.64,1.53,1.59,47055144,1105004314
2020-01-21,1.59,1.61,1.5,1.53,51586798,1065444584
2020-01-20,1.42,1.59,1.41,1.59,60224151,1102454966
2020-01-19,1.49,1.52,1.37,1.42,46261834,987050590
2020-01-18,1.47,1.54,1.42,1.49,49645136,1033489226
2020-01-17,1.49,1.53,1.44,1.48,63542861,1024091459
2020-01-16,1.34,1.52,1.3,1.49,67302241,1037213520
2020-01-15,1.33,1.4,1.3,1.34,59355419,932175745
2020-01-14,1.28,1.36,1.27,1.33,53074477,924801443
2020-01-13,1.31,1.31,1.27,1.28,36870088,888218070
2020-01-12,1.31,1.32,1.3,1.31,30492207,909993423
2020-01-11,1.31,1.35,1.3,1.31,39100862,906142415
2020-01-10,1.29,1.33,1.26,1.31,41884562,906795252
2020-01-09,1.33,1.37,1.27,1.29,47676368,895458247
2020-01-08,1.3,1.4,1.27,1.33,49431499,925780956
2020-01-07,1.31,1.33,1.26,1.3,49139469,901265968
2020-01-06,1.26,1.34,1.26,1.31,43088423,906258204
2020-01-05,1.26,1.3,1.25,1.26,36629230,877159747
2020-01-04,1.28,1.3,1.23,1.26,38156086,876029669
2020-01-03,1.24,1.31,1.24,1.28,43721354,890109980
2020-01-02,1.37,1.38,1.23,1.24,37676355,861516905
2020-01-01,1.35,1.37,1.32,1.37,35642475,951188893
2019-12-31,1.33,1.4,1.31,1.35,42638601,938725945
2019-12-30,1.31,1.36,1.3,1.33,41116951,924752288
2019-12-29,1.33,1.36,1.29,1.31,45413699,911327054
2019-12-28,1.38,1.39,1.33,1.33,43957470,921074564
2019-12-27,1.37,1.41,1.36,1.38,38176059,960368527
2019-12-26,1.41,1.43,1.35,1.37,47649174,952053087
2019-12-25,1.5,1.5,1.4,1.41,40558090,981628328
2019-12-24,1.52,1.54,1.49,1.5,37812261,1038174056
2019-12-23,1.47,1.58,1.46,1.52,56083425,1054365471
2019-12-22,1.48,1.53,1.45,1.47,50459429,1018816410
2019-12-21,1.6,1.61,1.48,1.48,49226920,1026339209
2019-12-20,1.51,1.6,1.49,1.6,58433436,1110696671
2019-12-19,1.59,1.62,1.47,1.51,62825585,1051017023
2019-12-18,1.54,1.62,1.45,1.6,90681124,1107937773
2019-12-17,1.67,1.77,1.52,1.54,92967379,1017781983
2019-12-16,1.68,1.71,1.61,1.67,68707545,1104646482
2019-12-15,1.68,1.73,1.61,1.68,67968594,1108106235
2019-12-14,1.77,1.78,1.63,1.68,83605655,1111844946
2019-12-13,1.78,1.84,1.67,1.77,119493566,1167096419
2019-12-12,1.58,1.78,1.52,1.77,107780127,1168613654
2019-12-11,1.48,1.59,1.47,1.58,71607317,1040689360
2019-12-10,1.56,1.56,1.4,1.48,66319642,980371614
2019-12-09,1.61,1.66,1.54,1.56,63051414,1029562424
2019-12-08,1.45,1.62,1.45,1.61,67179436,1061776776
2019-12-07,1.38,1.47,1.37,1.45,49917913,955874241
2019-12-06,1.3,1.42,1.28,1.38,38711970,910458330
2019-12-05,1.25,1.33,1.24,1.3,32086367,858014128
2019-12-04,1.29,1.32,1.25,1.25,46048752,824588509
2019-12-03,1.24,1.32,1.21,1.29,41462224,853213342
2019-12-02,1.25,1.26,1.2,1.24,27574097,817872179
2019-12-01,1.33,1.34,1.25,1.25,24127567,828296390
2019-11-30,1.31,1.37,1.31,1.33,28706667,879181680
2019-11-29,1.28,1.34,1.28,1.31,32270224,867085098
2019-11-28,1.26,1.35,1.22,1.28,44240281,845073679
2019-11-27,1.24,1.27,1.16,1.26,47723271,829672736
2019-11-26,1.24,1.28,1.23,1.24,54828808,822065277
2019-11-25,1.33,1.33,1.21,1.24,64954006,815688075
2019-11-24,1.4,1.42,1.31,1.34,49206070,887731654
2019-11-23,1.22,1.42,1.22,1.39,123832790,920735790
2019-11-22,1.21,1.28,1.08,1.22,69312275,804427044
2019-11-21,1.21,1.29,1.18,1.21,53020027,800257863
2019-11-20,1.22,1.25,1.17,1.21,33605071,801174969
2019-11-19,1.23,1.25,1.15,1.22,35796763,805231584
2019-11-18,1.16,1.26,1.16,1.23,37602915,813744878
2019-11-17,1.16,1.18,1.15,1.16,22483167,767707353
2019-11-16,1.17,1.18,1.16,1.16,26689028,768303560
2019-11-15,1.22,1.26,1.15,1.17,32203363,773992543
2019-11-14,1.13,1.3,1.11,1.22,41978349,808582829
2019-11-13,1.17,1.17,1.12,1.13,23410839,746750215
2019-11-12,1.18,1.2,1.15,1.17,23591140,771905281
2019-11-11,1.23,1.24,1.17,1.18,25012739,776358941
2019-11-10,1.25,1.25,1.19,1.23,31134799,812505004
2019-11-09,1.17,1.26,1.15,1.24,34760712,819630519
2019-11-08,1.22,1.28,1.12,1.17,44195683,770094896
2019-11-07,1.02,1.44,1.02,1.22,92805360,805246128
2019-11-06,0.927547,1.05,0.902417,1.02,26095931,673756212
2019-11-05,0.891802,0.929289,0.877752,0.927137,13420498,612256490
2019-11-04,0.868023,0.907127,0.8646,0.891802,16511023,588922638
2019-11-03,0.865785,0.874167,0.848911,0.868879,11444717,573784519
2019-11-02,0.878443,0.886302,0.857435,0.865528,9944483,571571532
2019-11-01,0.889461,0.891029,0.863507,0.877941,12684201,579768933
2019-10-31,0.914068,0.924062,0.873981,0.890512,13120625,588070905
2019-10-30,0.878168,0.969414,0.774601,0.914079,23084998,603633344
2019-10-29,0.871995,0.917937,0.82545,0.878892,19713852,580397277
2019-10-28,0.879748,0.928777,0.768318,0.875315,24337121,578034790
2019-10-27,0.836378,0.890216,0.688631,0.875154,23186370,577928349
2019-10-26,0.833823,0.92603,0.818766,0.831994,20293463,549426804
2019-10-25,0.767532,0.842798,0.762231,0.834757,16862309,551251771
2019-10-24,0.761316,0.780364,0.754028,0.768243,14425427,507327662
2019-10-23,0.838904,0.839336,0.755143,0.761316,14131553,502752829
2019-10-22,0.870816,0.879914,0.833186,0.838575,11567380,553772790
2019-10-21,0.877297,0.889119,0.866837,0.871432,11434852,575470528
2019-10-20,0.86545,0.884321,0.861892,0.877438,9297806,579437174
2019-10-19,0.879461,0.890271,0.861758,0.865266,10127092,571399102
2019-10-18,0.895843,0.898314,0.869977,0.877796,10666948,579673087
2019-10-17,0.876521,0.899669,0.872991,0.895843,11185558,591591209
2019-10-16,0.909666,0.913004,0.861378,0.876968,12766002,579126752
2019-10-15,0.939501,0.961195,0.902323,0.907378,17300340,599208238
2019-10-14,0.903695,0.942667,0.897807,0.941266,16242661,621587341
2019-10-13,0.893087,0.967,0.88628,0.903695,19773441,596776442
2019-10-12,0.911203,0.921544,0.850423,0.8931,19332567,589779872
2019-10-11,0.913683,0.920685,0.885656,0.914116,18114188,603658112
2019-10-10,0.942845,0.944412,0.913233,0.915035,24538307,604264912
2019-10-09,0.899704,0.957093,0.894856,0.942926,16465901,622683648
2019-10-08,0.906241,0.915839,0.895083,0.899704,18299070,594140600
2019-10-07,0.87599,0.924249,0.867754,0.906686,16375621,598751227
2019-10-06,0.912324,0.91377,0.872431,0.876948,12691818,579113086
2019-10-05,0.923275,0.924122,0.902212,0.912535,13070972,602614044
2019-10-04,0.934931,0.93567,0.901729,0.923275,14953450,609706365
2019-10-03,0.943783,0.965669,0.917273,0.935255,11184781,617617831
2019-10-02,0.953811,0.953811,0.893671,0.943158,17174252,622836475
2019-10-01,0.90424,0.997532,0.898776,0.953637,13349266,629756396
2019-09-30,0.888097,0.91842,0.853907,0.903533,15800572,596669068
2019-09-29,0.893418,0.916808,0.869514,0.887902,11871749,586346796
2019-09-28,0.895378,0.916559,0.868757,0.893673,9062006,590158131
2019-09-27,0.850902,0.899908,0.824431,0.895409,17459138,591304774
2019-09-26,0.854433,0.913537,0.821401,0.851353,12848761,562210845
2019-09-25,0.889105,0.909275,0.818959,0.854977,24468658,564604498
2019-09-24,1.05,1.09,0.852477,0.892636,25188778,589473410
2019-09-23,1.05,1.14,1.02,1.05,18341225,696104355
2019-09-22,1.07,1.08,1.05,1.06,8594941,696868198
2019-09-21,1.06,1.08,1.06,1.07,13990523,708171839
2019-09-20,1.1,1.11,1.05,1.06,14160437,701240151
2019-09-19,1.09,1.12,1.03,1.1,12359739,727542370
2019-09-18,1.09,1.15,1.09,1.09,11962787,720294110
2019-09-17,1,1.1,0.997298,1.1,10580481,723533677
2019-09-16,1,1.01,0.985511,1,7211469,662162197
2019-09-15,1,1.02,0.988586,1,9925484,662384863
2019-09-14,0.977167,1.01,0.961925,1,8114227,661750058
2019-09-13,1.01,1.02,0.957123,0.975547,9376392,644225711
2019-09-12,1.01,1.02,0.993832,1.01,9235470,666508432
2019-09-11,1.02,1.03,0.994984,1.01,8953230,664542321
2019-09-10,1.04,1.04,1.02,1.02,9247187,675748704
2019-09-09,1.06,1.11,1.03,1.04,11308139,687583237
2019-09-08,1.03,1.08,1.02,1.07,10251627,703564280
2019-09-07,0.998955,1.04,0.977403,1.03,13451858,679683395
2019-09-06,1.01,1.03,0.993146,1,11010600,660508589
2019-09-05,1.03,1.04,1,1.01,9221482,669826900
2019-09-04,1.04,1.04,1.02,1.03,8758988,682146976
2019-09-03,1.06,1.07,1.03,1.04,11137913,688841250
2019-09-02,1.03,1.08,1.03,1.06,9758386,697810467
2019-09-01,1.05,1.06,1.01,1.03,8250825,681637980
2019-08-31,1.07,1.08,1.01,1.04,10847063,687684125
2019-08-30,0.998172,1.07,0.991567,1.06,10015534,703253249
2019-08-29,1.05,1.07,0.996188,0.998172,14710732,659166382
2019-08-28,1.13,1.13,1.04,1.05,9878622,693879132
2019-08-27,1.16,1.17,1.12,1.13,8137996,745097752
2019-08-26,1.14,1.18,1.13,1.16,8943795,765358762
2019-08-25,1.15,1.16,1.13,1.14,7996369,754098350
2019-08-24,1.17,1.18,1.12,1.15,9414392,758721110
2019-08-23,1.14,1.2,1.13,1.17,9906828,772431594
2019-08-22,1.12,1.15,1.1,1.14,8824747,752276973
2019-08-21,1.16,1.16,1.1,1.12,11809364,738442909
2019-08-20,1.21,1.22,1.16,1.16,6759399,766459768
2019-08-19,1.2,1.24,1.2,1.21,7024532,801513726
2019-08-18,1.19,1.24,1.18,1.2,5300851,794345202
2019-08-17,1.22,1.22,1.17,1.19,4859686,787218715
2019-08-16,1.22,1.23,1.14,1.22,8512652,805043456
2019-08-15,1.16,1.25,1.05,1.22,13913968,807752353
2019-08-14,1.26,1.28,1.15,1.16,10844927,769123801
2019-08-13,1.36,1.37,1.26,1.26,10432675,829436539
2019-08-12,1.38,1.39,1.36,1.36,8575614,899603980
2019-08-11,1.39,1.41,1.37,1.38,8402166,908558771
2019-08-10,1.43,1.44,1.36,1.39,11888934,919898719
2019-08-09,1.55,1.56,1.37,1.43,23985476,946513275
2019-08-08,1.35,1.73,1.34,1.55,36246315,1023902326
2019-08-07,1.47,1.48,1.35,1.35,11480552,892389418
2019-08-06,1.46,1.6,1.37,1.47,19160485,971497468
2019-08-05,1.44,1.5,1.35,1.46,12705167,964815639
2019-08-04,1.43,1.49,1.4,1.44,9783266,948979104
2019-08-03,1.43,1.46,1.38,1.43,9722877,942911870
2019-08-02,1.41,1.47,1.37,1.43,11664836,944514823
2019-08-01,1.27,1.45,1.25,1.4,12828552,927016196
2019-07-31,1.22,1.29,1.21,1.27,11125338,837805544
2019-07-30,1.01,1.27,1,1.22,14364108,806101102
2019-07-29,1.02,1.04,1.01,1.01,5208906,669420206
2019-07-28,1.01,1.02,0.983322,1.01,4624413,669998869
2019-07-27,1.04,1.06,0.992433,1.02,4429452,670518156
2019-07-26,1.03,1.04,1.01,1.04,4974709,687105991
2019-07-25,1.01,1.06,0.999385,1.03,4803954,680344534
2019-07-24,1.07,1.13,0.984626,1.01,9097802,666746465
2019-07-23,1.12,1.12,1,1.07,6062974,706279550
2019-07-22,1.08,1.15,1.08,1.12,7020084,739797133
2019-07-21,1.04,1.16,0.982799,1.08,7885431,710469524
2019-07-20,0.980629,1.06,0.975963,1.04,5404137,686409070
2019-07-19,0.975413,0.986751,0.930558,0.982152,4603820,645925734
2019-07-18,0.919985,0.991306,0.914523,0.975413,5468334,643555643
2019-07-17,0.862768,0.94506,0.83435,0.919831,5971580,605928448
2019-07-16,0.970807,0.979049,0.838499,0.858835,6473433,564843687
2019-07-15,0.935994,1.02,0.889508,0.971759,6354067,641182870
2019-07-14,0.997538,1.02,0.92632,0.936902,3976188,617249243
2019-07-13,1.08,1.09,0.949652,0.997331,6033426,656064027
2019-07-12,1.02,1.08,0.99629,1.08,5490410,711690326
2019-07-11,1.18,1.19,1.01,1.01,6027839,668159345
2019-07-10,1.22,1.25,1.16,1.18,6717291,776271455
2019-07-09,1.22,1.25,1.16,1.22,6828247,806487053
2019-07-08,1.2,1.23,1.17,1.22,5921756,807185678
2019-07-07,1.22,1.23,1.15,1.2,6059511,787851212
2019-07-06,1.28,1.29,1.2,1.22,6465615,804271519
2019-07-05,1.21,1.29,1.2,1.28,6854996,844817393
2019-07-04,1.24,1.3,1.14,1.21,10289849,794861091
2019-07-03,1.01,1.29,1.01,1.24,15837964,821030802
2019-07-02,0.919517,1.08,0.861476,1.01,7635184,667248651
2019-07-01,0.934126,0.959318,0.86202,0.919536,6028770,605042285
2019-06-30,1.03,1.05,0.911791,0.934126,6748029,616672950
2019-06-29,1.01,1.04,0.953163,1.03,7264458,680750934
2019-06-28,0.979479,1.08,0.975719,1.01,6776169,666152208
2019-06-27,1.09,1.11,0.920158,0.978566,8510764,646086592
2019-06-26,1.1,1.16,1.04,1.09,11735069,715579635
2019-06-25,1.16,1.18,1.07,1.1,8186039,726181028
2019-06-24,1.19,1.19,1.14,1.16,5656100,767780900
2019-06-23,1.23,1.26,1.19,1.19,5118426,785283736
2019-06-22,1.17,1.26,1.14,1.23,10229269,807746163
2019-06-21,1.13,1.22,1.13,1.17,6892837,774556610
2019-06-20,1.2,1.21,1.07,1.13,9498107,745129942
2019-06-19,1.23,1.25,1.18,1.2,6385426,790089456
