Date,Open,High,Low,Close,Volume,MarketCap
2020-03-01,1,1.01,0.996994,1,897676018,439323845
2020-02-29,0.993455,1.01,0.992683,1,938837732,441099169
2020-02-28,1,1.01,0.991701,0.992981,1039692084,436244470
2020-02-27,1,1.01,0.993636,1,1097362414,438638698
2020-02-26,1,1.01,0.997354,1,1160696128,426520182
2020-02-25,0.999405,1.01,0.995669,1,1047807481,423578415
2020-02-24,0.998121,1.01,0.995663,0.999537,1114860352,422121610
2020-02-23,1,1,0.991505,0.997281,1033736189,420317424
2020-02-22,1.01,1.02,0.996111,0.999922,945408542,421907886
2020-02-21,1.01,1.02,1,1.01,1007474893,425248964
2020-02-20,1.01,1.02,1,1.01,977934310,424428014
2020-02-19,1.02,1.05,1,1.01,857550747,434360222
2020-02-18,1.01,1.04,1.01,1.02,739770635,438978282
2020-02-17,1.01,1.02,1.01,1.01,983888760,430832170
2020-02-16,1.01,1.02,1.01,1.01,926497189,429727973
2020-02-15,1.02,1.03,1.01,1.01,848189242,430447117
2020-02-14,1.02,1.02,1.01,1.02,928033207,433455017
2020-02-13,1.03,1.05,1.02,1.02,850741759,433424884
2020-02-12,1.01,1.04,1.01,1.03,555559141,440729705
2020-02-11,1.02,1.02,1,1.01,845894777,424938367
2020-02-10,1.02,1.03,1.02,1.02,733552993,425651890
2020-02-09,1.02,1.04,1.02,1.02,659695137,432572539
2020-02-08,1.02,1.02,1.02,1.02,620221599,426492605
2020-02-07,1.02,1.02,1.01,1.02,676480629,426872133
2020-02-06,1.03,1.03,1.02,1.02,501097854,431805231
2020-02-05,1.02,1.04,1.02,1.03,468527693,435925186
2020-02-04,1.03,1.03,1.02,1.02,382499609,441022144
2020-02-03,1.03,1.03,1.02,1.03,387993602,443211063
2020-02-02,1.03,1.04,1.02,1.03,384098792,445776906
2020-02-01,1.03,1.04,1.02,1.03,313660538,446957875
2020-01-31,1.04,1.05,1.02,1.03,361818896,449187881
2020-01-30,1.02,1.05,1.02,1.04,316332808,453218427
2020-01-29,1.02,1.03,1.01,1.03,381758732,452003908
2020-01-28,1.02,1.03,1,1.02,502474594,452031883
2020-01-27,1.01,1.02,1.01,1.02,393996733,449464491
2020-01-26,1,1.01,0.99774,1.01,292385181,448606932
2020-01-25,1,1,0.998438,1,265326087,444663109
2020-01-24,1,1,0.994215,1,315274054,444875789
2020-01-23,1,1,0.995977,1,320079261,444027176
2020-01-22,1,1.01,0.998714,1,309750921,452956644
2020-01-21,1,1,0.997227,1,311559856,441024990
2020-01-20,0.997347,1.01,0.996485,1,343768616,438632395
2020-01-19,1.01,1.03,0.99386,0.99729,423373607,436777175
2020-01-18,1,1.01,0.999839,1.01,413666367,440548199
2020-01-17,1,1.01,0.998318,1,479116540,438515037
2020-01-16,1,1.01,0.998993,1,430662074,445192682
2020-01-15,1,1.03,0.992192,1,493412531,446693203
2020-01-14,1.01,1.02,0.994486,1,469120389,428644821
2020-01-13,1,1.01,1,1,343177235,444665325
2020-01-12,1,1.01,0.997059,1,330297498,447479872
2020-01-11,1,1.01,0.995334,1,287180029,447244754
2020-01-10,1.01,1.02,0.994234,1,350097573,444501900
2020-01-09,1,1.01,0.99704,1.01,307584171,460038834
2020-01-08,0.999983,1.01,0.992388,1,410892668,463207216
2020-01-07,1,1.01,0.997817,0.9995,400308774,478340351
2020-01-06,1.01,1.02,0.999635,1,383494516,511424007
2020-01-05,1.01,1.02,1,1.01,334597544,518272577
2020-01-04,1,1.02,1,1.01,334494308,518956313
2020-01-03,1.01,1.01,0.988455,1.01,374792167,517055937
2020-01-02,1,1.01,1,1.01,318268134,517456713
2020-01-01,1,1.01,1,1,242586528,516992415
2019-12-31,1.01,1.01,1,1,267041315,518524366
2019-12-30,1.01,1.01,1,1.01,391410188,521352612
2019-12-29,1,1.03,0.99979,1.01,277058217,520939799
2019-12-28,1.01,1.01,1,1,264015986,518666293
2019-12-27,1.01,1.02,0.997283,1.01,273234537,522362993
2019-12-26,1.01,1.02,0.996978,1.01,220889371,518286276
2019-12-25,1.01,1.02,1,1.01,275322378,522637012
2019-12-24,1,1.03,0.999744,1.01,228681222,521854515
2019-12-23,1,1.01,0.995127,1,318337304,520339586
2019-12-22,1.01,1.01,0.998062,1,304211343,522378469
2019-12-21,1.01,1.01,1,1.01,318647354,524904660
2019-12-20,1.01,1.01,1,1.01,286324794,523978794
2019-12-19,1.01,1.02,0.996854,1.01,328027662,513281417
2019-12-18,0.997872,1.03,0.993737,1.01,502511827,476511547
2019-12-17,1,1.02,0.994054,0.998726,343419650,459604776
2019-12-16,1.01,1.02,1,1,267804554,467012937
2019-12-15,1.01,1.01,0.997125,1.01,245259537,476226732
2019-12-14,1,1.01,1,1.01,219599263,475565226
2019-12-13,1.01,1.01,1,1,234842837,473685132
2019-12-12,1,1.01,0.995326,1.01,254328990,477440913
2019-12-11,1.01,1.01,1,1,220178877,475096190
2019-12-10,1.01,1.01,1,1.01,337364122,481975625
2019-12-09,1.01,1.01,0.99631,1.01,289633306,485716419
2019-12-08,1.01,1.01,1,1.01,343379311,464755635
2019-12-07,1,1.01,1,1.01,303307059,465947064
2019-12-06,1.01,1.01,0.998641,1,303997788,464937222
2019-12-05,1,1.01,0.995629,1.01,278757472,467344559
2019-12-04,1,1.01,0.989386,1,266815750,465046679
2019-12-03,0.998794,1.01,0.988956,1,220114424,446025602
2019-12-02,0.996619,1.01,0.987113,0.998794,236676758,456524672
2019-12-01,0.997869,1.01,0.981535,0.99645,195974260,454728031
2019-11-30,1,1.01,0.991826,0.997658,225316662,454059448
2019-11-29,1.01,1.02,0.992705,1,243248443,454235200
2019-11-28,1.01,1.03,1,1.01,297912088,458276296
2019-11-27,1,1.03,0.985044,1.01,320421509,467956602
2019-11-26,1,1.02,0.996793,1.01,253662665,462535121
2019-11-25,1.01,1.02,0.987095,1,292879020,457965523
2019-11-24,1.01,1.02,1,1.01,205327943,447418651
2019-11-23,1,1.02,0.998939,1.01,278078472,448722471
2019-11-22,1,1.02,0.992034,1,360936425,441973715
2019-11-21,1.01,1.02,1,1,273585206,443598617
2019-11-20,1.01,1.02,1,1.01,243202937,433657939
2019-11-19,1.01,1.03,1,1.01,270511693,444180150
2019-11-18,1.01,1.02,1.01,1.01,318741886,447778601
2019-11-17,1.01,1.02,1,1.01,348968468,445015572
2019-11-16,1,1.01,1,1.01,196265977,444955987
2019-11-15,1.01,1.02,0.998942,1,217386443,439849170
2019-11-14,1,1.01,1,1.01,206724419,442184866
2019-11-13,1,1.01,1,1,221641563,449163234
2019-11-12,1,1.01,0.997958,1,231927404,450783452
2019-11-11,1,1.01,0.999296,1,249046403,452216839
2019-11-10,1,1.01,0.98754,1,208138709,452610559
2019-11-09,1,1.01,0.999435,0.999908,181125623,452131191
2019-11-08,1.01,1.01,0.999713,1,274189415,453928210
2019-11-07,1,1.01,0.999596,1.01,239841337,458718478
2019-11-06,1,1.01,0.999218,1,254889570,458947113
2019-11-05,1,1.01,0.995417,1,294667615,469576715
2019-11-04,1,1.01,0.991435,1,310602968,447664364
2019-11-03,1,1.01,0.997735,1,208342328,468534831
2019-11-02,1,1.01,0.995357,1,222754025,469892325
2019-11-01,1.01,1.01,0.998652,1,244379930,455485474
2019-10-31,1,1.04,0.99635,1,238812359,464314215
2019-10-30,1,1.01,0.998396,1,278236712,467478637
2019-10-29,1,1.01,0.992215,0.999635,275012859,470545187
2019-10-28,1,1.01,0.974623,1,279804543,473738411
2019-10-27,0.998996,1.01,0.973098,1,259625515,475568092
2019-10-26,1,1.01,0.967926,0.998885,325436453,480409109
2019-10-25,1.01,1.01,0.974553,1,269128282,481796816
2019-10-24,1,1.01,1,1.01,169699224,481101880
2019-10-23,1,1.04,1,1,202607602,464430442
2019-10-22,1,1.01,1,1,157055490,462166935
2019-10-21,1,1,0.998845,1,204345569,477558147
2019-10-20,1,1.01,0.990779,1,142910830,474459294
2019-10-19,1,1.01,0.996503,1,134004655,476133073
2019-10-18,1,1.02,1,1,167707575,474714058
2019-10-17,1,1.01,1,1,163371782,474582523
2019-10-16,1,1.01,0.99984,1,273003369,475595775
2019-10-15,1,1.01,0.996476,1,225464591,471057041
2019-10-14,1,1.01,0.99408,1,190937613,468218814
2019-10-13,1,1.02,0.999925,1,141554667,468541249
2019-10-12,1.01,1.01,0.999284,1,155919006,468394318
2019-10-11,1,1.01,0.990913,1.01,212197499,470359604
2019-10-10,1,1,0.995636,1,219588027,452018483
2019-10-09,1.01,1.01,0.991701,1,213518684,461621063
2019-10-08,1,1.01,0.998372,1.01,182457962,468318970
2019-10-07,1.01,1.02,0.996638,1.01,183256904,471937627
2019-10-06,0.998916,1.02,0.996903,1.01,154064852,480030266
2019-10-05,1.01,1.01,0.996109,0.998863,131141182,473493991
2019-10-04,1,1.01,1,1.01,154530799,476792469
2019-10-03,1,1.01,0.997937,1,217085171,474684574
2019-10-02,1,1.01,0.998628,1,170359263,456240793
2019-10-01,1,1.01,0.995453,1,139974502,426469952
2019-09-30,1,1.01,0.99629,1,176210397,427374808
2019-09-29,1,1.02,0.999218,1,114528745,429610243
2019-09-28,1.01,1.01,0.995803,1,118395271,429395143
2019-09-27,1.01,1.01,0.999578,1.01,157011691,427060556
2019-09-26,1,1.02,0.997547,1.01,198067687,419803976
2019-09-25,1,1.01,0.997773,1,216810339,417470014
2019-09-24,1,1.06,0.991236,1,289013278,389211511
2019-09-23,1,1.02,0.999805,1,141559451,389889240
2019-09-22,1,1.01,0.998308,1,122958976,392999541
2019-09-21,1,1.01,0.999548,1,159348829,393751351
2019-09-20,1,1.01,0.998869,1,192695287,393703322
2019-09-19,1,1.03,0.990057,0.998835,232010536,399476337
2019-09-18,1,1.01,1,1,166194614,404626236
2019-09-17,1,1.01,0.998124,1,171423477,414202818
2019-09-16,1,1.01,0.99535,0.999926,303681510,421382673
2019-09-15,0.999346,1.01,0.998562,1,108479017,427289964
2019-09-14,0.999584,1,0.998116,0.999346,146591060,426122932
2019-09-13,0.999028,1.01,0.997497,0.998835,159607257,426372460
2019-09-12,1,1.01,0.997735,0.999025,208929233,433413767
