Date,OpensAt,ClosesAt,HighestAt,LowestAt,VolumeTraded,MarketCap
2020-1-4,1.00,1.00,1.01,0.974215,47949493852,6195358201
2020-31-3,1.01,1.00,1.01,0.992990,38970696054,6184759500
2020-30-3,1.00,1.01,1.01,0.989560,44148668942,4672701419
2020-29-3,0.999706,1.00,1.01,0.995271,35069971228,4651479473
2020-28-3,1.01,0.999704,1.02,0.994298,44315404128,4640992199
2020-27-3,0.998704,1.01,1.03,0.992978,41534264141,4704194842
2020-26-3,0.998597,0.998483,1.01,0.995058,42020889460,4635323589
2020-25-3,1.00,0.998594,1.01,0.991721,52254209223,4635839581
2020-24-3,0.996426,1.00,1.02,0.987409,57714092130,4644563734
2020-23-3,1.00,0.996812,1.01,0.965161,57333099378,4627566696
2020-22-3,1.00,0.999032,1.02,0.984272,49036623749,4637871717
2020-21-3,0.997168,1.00,1.02,0.986221,52643956420,4646775524
2020-20-3,1.00,0.997556,1.03,0.963560,72319289643,4631022300
2020-19-3,0.973284,1.00,1.01,0.953586,64076531532,4657190926
2020-18-3,0.973790,0.974248,1.01,0.970948,45836273197,4522818938
2020-17-3,0.997378,0.976145,1.01,0.955483,46775877399,4531625713
2020-16-3,1.00,0.997004,1.04,0.977445,57318450774,4628458993
2020-15-3,1.00,1.00,1.02,0.991342,43945453268,4651590222
2020-14-3,1.00,1.00,1.01,0.990399,48327975513,4649890998
2020-13-3,1.04,0.999629,1.08,0.899490,99315334323,4640645554
2020-12-3,0.998984,1.05,1.08,0.968090,74550564419,4891126961
2020-11-3,1.00,0.998806,1.01,0.994335,47108137900,4636825895
2020-10-3,0.997840,1.00,1.01,0.993959,51217843378,4650355068
2020-9-3,1.01,0.999048,1.01,0.991261,63879966769,4637946745
2020-8-3,1.00,1.01,1.02,0.997992,54758243672,4687746177
2020-7-3,0.998021,1.00,1.01,0.997396,46199415513,4643212805
2020-6-3,1.00,0.998430,1.01,0.997728,49389801062,4635080377
2020-5-3,1.00,1.00,1.01,0.996369,49920180590,4654076714
2020-4-3,1.00,1.00,1.01,0.996098,48605279710,4645253483
2020-3-3,0.994988,1.00,1.01,0.993595,50681960308,4653959468
2020-2-3,1.00,0.995000,1.00,0.994205,67439071909,4619155547
2020-1-3,1.01,1.00,1.01,0.995004,45828960109,4644680725
2020-29-2,0.996267,1.01,1.01,0.993575,44948749121,4671931514
2020-28-2,0.998789,0.997089,1.01,0.991933,56902235264,4628852894
2020-27-2,1.00,0.998413,1.01,0.992670,61401185853,4635002129
2020-26-2,1.00,1.00,1.01,0.993807,68910958735,4655096434
2020-25-2,0.998741,1.00,1.01,0.993926,55034243501,4649118780
2020-24-2,0.999138,0.998800,1.01,0.996022,56599226979,4636796514
2020-23-2,1.00,0.998017,1.00,0.992563,47448629411,4633159673
2020-22-2,1.00,1.00,1.01,0.997046,41243330013,4650857755
2020-21-2,1.00,1.00,1.01,0.993989,47618138884,4656933338
2020-20-2,1.00,1.00,1.01,0.993834,55986244963,4654409109
2020-19-2,1.00,1.00,1.03,0.996316,54920030584,4648512399
2020-18-2,0.998397,1.00,1.01,0.989398,60616752516,4645888803
2020-17-2,1.00,0.998474,1.01,0.992153,63038607545,4635284711
2020-16-2,0.998857,0.999272,1.01,0.995153,60160518246,4638989017
2020-15-2,0.999684,0.999128,1.02,0.996736,57250318373,4638318811
2020-14-2,0.998673,1.00,1.00,0.995624,54698567058,4642896605
2020-13-2,1.00,0.998579,1.02,0.991908,63588479574,4635769301
2020-12-2,0.998460,1.00,1.01,0.994470,54829582150,4654247429
2020-11-2,1.00,0.998423,1.00,0.991423,46001561028,4635044755
2020-10-2,1.00,1.00,1.02,0.995004,48784184264,4645339056
2020-9-2,0.999441,1.00,1.01,0.995570,44977724508,4649204340
2020-8-2,0.998773,0.999534,1.01,0.994024,44251729422,4640205613
2020-7-2,0.997453,0.997751,1.00,0.994860,42966951015,4631927116
2020-6-2,1.00,0.997216,1.02,0.996225,46549174003,4629443566
2020-5-2,1.00,1.00,1.01,0.993603,46504757742,4655543935
2020-4-2,0.999364,1.00,1.01,0.996329,36950713371,4650469195
2020-3-2,1.00,0.998913,1.01,0.994314,39849489336,4637320450
2020-2-2,1.00,1.00,1.01,0.996096,40560625161,4644893208
2020-1-2,1.00,1.00,1.00,0.997052,34763069931,4648011884
2020-31-1,1.00,1.00,1.01,0.997409,40496855325,4645374934
2020-30-1,1.00,1.00,1.01,0.997548,43624728074,4649109251
2020-29-1,1.00,1.00,1.01,0.993174,42323320108,4653027307
2020-28-1,1.00,1.00,1.01,0.991067,44123906993,4645895399
2020-27-1,1.00,1.00,1.01,0.993230,37771545362,4651188602
2020-26-1,1.00,1.00,1.01,0.997359,29121614731,4644708262
2020-25-1,1.00,1.00,1.01,0.996539,26340299495,4652175067
2020-24-1,0.999104,1.00,1.01,0.992917,33356108238,4656155507
2020-23-1,1.00,0.998409,1.01,0.996345,33631459310,4634979849
2020-22-1,1.00,1.00,1.00,0.997179,29749248330,4645128570
2020-21-1,1.00,1.00,1.01,0.995219,31080893275,4648951979
2020-20-1,0.998641,1.00,1.01,0.995383,33079894466,4640395834
2020-19-1,1.00,0.998535,1.03,0.993084,42680566067,4630413451
2020-18-1,1.00,1.00,1.01,0.993985,43805026250,4649919502
2020-17-1,0.999287,1.00,1.01,0.989280,47263851458,4650379638
2020-16-1,1.00,0.999231,1.01,0.993361,40752742739,4633460370
2020-15-1,1.00,0.999656,1.02,0.991055,49045902728,4631431380
2020-14-1,1.00,1.00,1.02,0.991961,57687160761,4635105703
2020-13-1,1.00,1.00,1.01,0.998427,26468468000,4642166645
2020-12-1,0.999443,1.00,1.01,0.994446,27250055613,4637604060
2020-11-1,1.00,1.00,1.01,0.993385,31049760361,4626484305
2020-10-1,1.00,1.00,1.01,0.994826,34207037022,4632826679
2020-9-1,1.00,1.01,1.01,0.993994,28026673217,4641371711
2020-8-1,1.00,1.00,1.02,0.990067,35175740304,4630671670
2020-7-1,1.00,1.00,1.01,0.998249,32765511976,4633564969
2020-6-1,1.01,1.00,1.01,0.999115,29460474864,4639019503
2020-5-1,1.01,1.01,1.02,1.00,24090142146,4133500728
2020-4-1,1.00,1.01,1.01,0.999160,21585629320,4138741037
2020-3-1,1.00,1.00,1.02,0.988027,32420287856,4125267218
2020-2-1,0.999788,1.00,1.01,0.986515,24212314977,4114474717
2020-1-1,0.999571,0.999836,1.01,0.994924,21503143454,4107371140
