Date,OpensAt,ClosesAt,HighestAt,LowestAt,VolumeTraded,MarketCap
2020-31-1,1.00,1.00,1.01,0.997409,40496855325,4645374934
2020-30-1,1.00,1.00,1.01,0.997548,43624728074,4649109251
2020-29-1,1.00,1.00,1.01,0.993174,42323320108,4653027307
2020-28-1,1.00,1.00,1.01,0.991067,44123906993,4645895399
2020-27-1,1.00,1.00,1.01,0.993230,37771545362,4651188602
2020-26-1,1.00,1.00,1.01,0.997359,29121614731,4644708262
2020-25-1,1.00,1.00,1.01,0.996539,26340299495,4652175067
2020-24-1,0.999104,1.00,1.01,0.992917,33356108238,4656155507
2020-23-1,1.00,0.998409,1.01,0.996345,33631459310,4634979849
2020-22-1,1.00,1.00,1.00,0.997179,29749248330,4645128570
2020-21-1,1.00,1.00,1.01,0.995219,31080893275,4648951979
2020-20-1,0.998641,1.00,1.01,0.995383,33079894466,4640395834
2020-19-1,1.00,0.998535,1.03,0.993084,42680566067,4630413451
2020-18-1,1.00,1.00,1.01,0.993985,43805026250,4649919502
2020-17-1,0.999287,1.00,1.01,0.989280,47263851458,4650379638
2020-16-1,1.00,0.999231,1.01,0.993361,40752742739,4633460370
2020-15-1,1.00,0.999656,1.02,0.991055,49045902728,4631431380
2020-14-1,1.00,1.00,1.02,0.991961,57687160761,4635105703
2020-13-1,1.00,1.00,1.01,0.998427,26468468000,4642166645
2020-12-1,0.999443,1.00,1.01,0.994446,27250055613,4637604060
2020-11-1,1.00,1.00,1.01,0.993385,31049760361,4626484305
2020-10-1,1.00,1.00,1.01,0.994826,34207037022,4632826679
2020-9-1,1.00,1.01,1.01,0.993994,28026673217,4641371711
2020-8-1,1.00,1.00,1.02,0.990067,35175740304,4630671670
2020-7-1,1.00,1.00,1.01,0.998249,32765511976,4633564969
2020-6-1,1.01,1.00,1.01,0.999115,29460474864,4639019503
2020-5-1,1.01,1.01,1.02,1.00,24090142146,4133500728
2020-4-1,1.00,1.01,1.01,0.999160,21585629320,4138741037
2020-3-1,1.00,1.00,1.02,0.988027,32420287856,4125267218
2020-2-1,0.999788,1.00,1.01,0.986515,24212314977,4114474717
2020-1-1,0.999571,0.999836,1.01,0.994924,21503143454,4107371140
