Date,4BitcoinCash,3XRP,1Bitcoin,2Ethereum,5Tether,7Litecoin,8EOS,9BinanceCoin,11Chainlink,13Stellar,16Monero
20/09/2017,7901970549,6981570042,64751811835,26881372918,444490107,2743090712,218859651,74789000,66207750,202961266,1443569783
21/09/2017,6909737845,6585708219,60202370872,24502550354,444569754,2471892746,196678457,70214000,59388000,175826228,1302721070
22/09/2017,6892432473,6653040005,60203040223,25049676632,444512231,2551351872,206008751,71589300,52676050,178748896,1331873538
23/09/2017,7116984902,6820679282,62892069389,27125537826,443406023,2614760414,209457779,77096500,45895150,197314952,1389104237
24/09/2017,6994250355,6740348933,61081971156,26780610986,443777707,2527746379,199881820,78326800,59597300,191799701,1354030337
25/09/2017,7407290307,6958908832,65122213849,27718684465,443056463,2738822452,209706749,91705900,63769300,200257549,1417112419
26/09/2017,7343076528,7136517507,64569365079,27259015800,428167762,2737818455,207507404,86074700,68235300,205482425,1409765794
27/09/2017,7601937917,7795264711,69691950752,29068342956,427334992,2990132970,234950330,114366000,68105100,238499615,1530042972
28/09/2017,7444349334,7520416052,69270823146,28379292201,427826113,2874185280,304661610,137788000,85328250,229955760,1472813810
29/09/2017,7261040415,7423597852,69086146650,27654290280,437001795,2797277252,269266674,126624000,107954000,219019763,1431867172
30/09/2017,7195230135,7574020743,72008428789,28607406298,435526612,2932074835,272304278,128358000,157977400,229866272,1451285633
01/10/2017,6909649774,7919230352,73094870674,28694730559,437028355,2901076714,268338988,152653000,152826450,227054710,1413301392
02/10/2017,7012388892,7771376497,73195646776,28237763674,437804577,2839774397,249766733,196467000,124868450,215012278,1388295450
03/10/2017,6729274231,7795993244,71681069637,27766443809,437114020,2785938781,241919483,182070000,120937250,205743338,1410195719
04/10/2017,5971673253,8235260297,70225033578,27789444567,437607899,2736160242,231675685,160148000,139076350,196585372,1371790083
05/10/2017,5931788841,9088104028,71876277937,28098336333,437192691,2751241080,234767287,167849000,142288300,241776421,1393818937
06/10/2017,6053063330,9033236633,72589262957,29311483315,437537969,2775993787,233490764,157991000,166517750,305253398,1384544570
07/10/2017,6016481808,9209664172,73529314833,29557048403,436764375,2801457684,230176587,158425000,162279950,347652755,1392773843
08/10/2017,5707257741,10805038460,76589293760,29322710612,436380635,2832001431,237578843,121723000,138997950,308491299,1363880493
09/10/2017,5239797071,9719725410,79282158943,28261533648,436965424,2673983611,220083002,140378000,133206150,291958540,1299076874
10/10/2017,5364153359,10064411507,79457603224,28501667385,436817260,2704130908,220316380,139336000,142614150,314390583,1319760112
11/10/2017,5252890390,10207464780,80205238020,28847211568,436460617,2713909626,243304842,143373000,157662050,322636291,1329299222
12/10/2017,5226976847,9588892546,90525666972,28916525240,435935269,3206464408,237078869,134376000,155403850,294994643,1324664310
13/10/2017,5368370572,10037042042,93864253934,32213441854,437083430,3171116142,235105366,143548000,152111050,297910750,1447242846
14/10/2017,5377048729,9914935595,96942498331,32301459659,436934492,3413379168,236578676,153819000,137151000,290643713,1524757034
15/10/2017,5260122752,10171671239,94403031755,32018244067,436730384,3495462090,232998342,155844000,144730600,313926186,1444160248
16/10/2017,5238563399,9873013281,95203392843,31718200756,436191924,3451297832,230065909,144070000,148332450,611510333,1460340924
17/10/2017,6208911374,8941783048,93218297189,30173609812,436771031,3177462298,227543814,138995000,140296800,760411835,1390445863
18/10/2017,5665390708,8419911885,92982539106,29917084625,438233002,3245232732,225764108,132756000,128180150,582774634,1364301688
19/10/2017,5526221742,8290060599,94954808115,29330304837,437350138,3193124743,235865081,128461000,105000000,517461813,1350683153
20/10/2017,5470545512,8112776988,100007083345,28947916800,437507375,3225577482,226230288,122967467,78355900,443831854,1380290538
21/10/2017,5402588666,8130771217,100353682389,28590314194,437467634,3112605047,221236176,124168507,88438350,604279147,1343832336
22/10/2017,5541354551,7867254022,99981911326,28144794782,437904695,3038822573,218488290,120180223,92643250,518691002,1320710396
23/10/2017,5273363644,7587938897,98695054084,27341319876,435547187,2938685570,209044636,117205842,87036250,561193891,1300159004
24/10/2017,5462740513,7962311329,91988225800,28431576038,438263085,2995287986,219148564,123612048,89058550,607931455,1349266289
25/10/2017,5551042407,7883706990,95732630220,28399185652,438049427,3024524457,215636588,124042759,89052250,580637464,1345488594
26/10/2017,5654242244,7846100208,98310176011,28271925666,437003975,2984809327,223154346,119668320,79464350,573050177,1352781902
27/10/2017,6150539621,7813618120,96254297360,28363439564,437092262,2963913613,225163742,116260259,78625400,567897998,1325094780
28/10/2017,7090441359,7777013158,95797359518,28262202960,438792431,2930569300,232427403,114120566,72285850,514851417,1318739405
29/10/2017,7569653562,7813618120,102482445590,29106827254,452563456,3060676463,290443064,122899147,69606600,503127063,1355008519
30/10/2017,7508138420,7810766786,102105356519,29367079933,452323863,3023193804,311711855,129933102,73447150,527564618,1358259306
31/10/2017,7354889628,7727808383,107743731291,29194751985,452382631,2989858627,343991923,129994490,67869200,484076483,1340360432
01/11/2017,8909561583,7479896462,112735345036,27846764494,452762363,2852614515,461972999,124910122,55163850,453737417,1311246353
02/11/2017,9838155902,7932141134,117933380780,27445442368,452513729,2936796129,495710880,128681565,58599450,457952496,1281705788
03/11/2017,10479281207,8019684790,120097405359,29197317355,490139897,3015087608,540504550,144483209,60129300,460812304,1346717668
04/11/2017,10399844801,7850801055,122978748805,28702737365,495094256,2954562413,502038131,162105721,62161050,452758726,1336606579
05/11/2017,10573198701,7785490097,123449206170,28307052341,493468793,2939687734,492069897,150665643,60220650,443976952,1322357279
06/11/2017,10104568884,7937111703,117050623317,28564296472,495731596,2963390868,416041141,155431187,58609600,479061086,1576560770
07/11/2017,10335114439,8105263338,119091456315,28165778801,516971256,3293059021,436394706,178862850,62138650,509252363,1528681781
08/11/2017,10440110926,8378182229,124360767999,29549552409,499970645,3362586560,521806493,201099414,74868150,560065828,1736814305
09/11/2017,10975433919,8380147337,119104730750,30685584327,538430292,3454692871,546246976,197114101,78389150,662633315,1851746657
10/11/2017,16904381673,7956107751,110354089394,28623188738,567451678,3186381939,478869135,177912316,65660700,548623234,1619278939
11/11/2017,22505049629,8108191735,106016076151,30105285828,599402282,3350986565,543649516,165399917,62919500,548293126,1834925367
12/11/2017,23332952165,7603775359,99226193603,29463540579,601469616,3174662071,512887018,150470586,59814300,467489620,1900531381
13/11/2017,22748149042,7857514002,109400650105,30312834756,599572201,3304148265,554812593,166998993,64074850,508531199,1893707210
14/11/2017,21398535582,8104043784,110683148744,32321383639,598075276,3374059000,792322316,157687716,65839900,603395248,1878462847
15/11/2017,20373957660,8224976687,122035826506,31919060540,595907109,3436473712,798321004,151535976,65148300,656403844,1863957656
16/11/2017,15138148704,8771529238,131328418537,31692795453,615319850,3827031146,792406168,156236171,59416350,659606859,1848061539
17/11/2017,19925103285,8751213596,128621507062,31840349187,644913317,3639939202,843884674,149546785,55877150,630160783,1946821109
18/11/2017,21088257259,8830236034,129997247838,33305160559,645504498,3752808798,934185083,165782111,59805200,648069075,2010373830
19/11/2017,19703757418,8922506124,134124196206,33961430090,676613749,3858885781,915391194,159785823,56823900,647776793,1990643585
20/11/2017,20781175181,9221563181,136881802624,35151847933,676262766,3895876984,974473014,160843292,56764050,675262806,2087790929
