Date,Open,High,Low,Close,Volume,MarketCap
2020-03-01,2.54,2.58,2.35,2.47,1450080,711158958
2020-02-29,2.57,2.63,2.4,2.53,2967458,729478253
2020-02-28,2.61,2.65,2.36,2.51,1914096,723000391
2020-02-27,2.62,2.62,2.39,2.61,1865553,751526199
2020-02-26,2.72,2.78,2.4,2.6,1190208,750095722
2020-02-25,2.82,2.9,2.57,2.73,1256198,787718797
2020-02-24,2.89,2.95,2.66,2.84,1214451,818513445
2020-02-23,2.91,2.97,2.72,2.97,1499930,854987256
2020-02-22,2.86,2.9,2.72,2.86,1854549,823430801
2020-02-21,2.81,2.89,2.73,2.86,1387235,822986070
2020-02-20,2.86,2.86,2.64,2.81,1218731,809619551
2020-02-19,2.88,3.02,2.71,2.8,1268003,808291988
2020-02-18,2.7,2.9,2.65,2.87,1504799,828180432
2020-02-17,2.66,2.7,2.51,2.7,1451846,777288846
2020-02-16,2.66,2.73,2.49,2.66,1431914,767948559
2020-02-15,2.68,2.75,2.54,2.66,1379366,765233390
2020-02-14,2.67,2.71,2.55,2.68,780640,772102265
2020-02-13,2.79,2.82,2.57,2.68,1242123,771304251
2020-02-12,2.74,2.86,2.6,2.79,1244805,805122545
2020-02-11,2.63,2.75,2.55,2.74,1253593,789645411
2020-02-10,2.71,2.75,2.54,2.64,1038484,759564092
2020-02-09,2.63,2.73,2.49,2.71,1150694,779777366
2020-02-08,2.66,2.71,2.53,2.63,856442,757099196
2020-02-07,2.65,2.69,2.54,2.63,477615,758828291
2020-02-06,2.65,2.65,2.51,2.65,1417079,762892851
2020-02-05,2.51,2.66,2.44,2.65,1319085,762348443
2020-02-04,2.52,2.58,2.37,2.51,1537307,722635349
2020-02-03,2.51,2.59,2.42,2.52,968644,724937775
2020-02-02,2.59,2.59,2.41,2.51,1114346,723470266
2020-02-01,2.59,2.63,2.39,2.58,1314536,743883141
2020-01-31,2.63,2.64,2.5,2.59,894469,746121519
2020-01-30,2.59,2.64,2.49,2.63,965794,758185307
2020-01-29,2.73,2.74,2.43,2.59,943663,747047080
2020-01-28,2.62,2.74,2.41,2.73,726901,786803634
2020-01-27,2.56,2.7,2.53,2.62,744430,753975862
2020-01-26,2.53,2.56,2.48,2.56,785000,737446696
2020-01-25,2.52,2.56,2.44,2.53,830283,728889081
2020-01-24,2.47,2.89,2.4,2.51,796823,724447373
2020-01-23,2.52,2.52,2.39,2.47,781615,711169152
2020-01-22,2.5,2.55,2.44,2.54,932691,730685360
2020-01-21,2.33,2.54,2.25,2.49,862306,718330683
2020-01-20,2.34,2.43,2.1,2.33,781425,670958487
2020-01-19,2.32,2.38,2.14,2.35,691380,676216767
2020-01-18,2.27,2.47,2.22,2.32,894029,668291165
2020-01-17,2.42,2.5,2.16,2.27,745199,653647021
2020-01-16,2.28,2.42,2.22,2.42,731737,696758979
2020-01-15,2.27,2.36,2.09,2.28,730047,657060761
2020-01-14,2.03,2.43,2.02,2.27,784184,653680969
2020-01-13,2.03,2.05,1.98,2.03,735734,584387955
2020-01-12,1.99,2.06,1.97,2.03,858057,585153259
2020-01-11,2.01,2.03,1.97,1.98,656401,571605664
2020-01-10,1.95,2.01,1.89,2.01,634907,579863889
2020-01-09,1.98,1.98,1.9,1.95,622519,561793664
2020-01-08,1.99,2.06,1.92,1.98,668406,571094197
2020-01-07,1.91,1.99,1.88,1.99,684619,573459931
2020-01-06,1.8,1.91,1.8,1.91,611512,548944077
2020-01-05,1.78,1.84,1.77,1.81,638478,521505971
2020-01-04,1.76,1.79,1.71,1.78,707308,513271737
