Date;OpensAt;ClosesAt;HighestAt;LowestAt;VolumeTraded;MarketCap
2020-5-2;0.897513;0.909675;0.893651;0.905234;9,457,836;904,779,986
2020-4-2;0.883211;0.906256;0.880350;0.897504;10,173,522;897,053,852
2020-3-2;0.887624;0.896915;0.880572;0.883461;8,982,138;883,018,520
2020-2-2;0.871767;0.897080;0.869311;0.887624;8,885,116;887,179,304
2020-1-2;0.871814;0.875763;0.860842;0.871858;9,749,461;871,420,993
2020-31-1;0.887149;0.890038;0.870426;0.872486;9,889,743;872,048,910
2020-30-1;0.904884;0.906591;0.875331;0.887038;8,893,776;886,593,025
2020-29-1;0.904795;0.911500;0.900780;0.905267;9,119,955;904,812,947
2020-28-1;0.899943;0.920207;0.888113;0.903684;9,414,267;903,230,997
2020-27-1;0.897328;0.909220;0.891753;0.900939;8,804,619;900,487,481
2020-26-1;0.909446;0.911359;0.897492;0.897753;7,315,075;897,302,847
2020-25-1;0.914976;0.915708;0.905198;0.909602;7,914,038;909,146,457
2020-24-1;0.903977;0.916337;0.902715;0.914598;8,629,720;914,140,071
2020-23-1;0.893807;0.906374;0.864878;0.903977;10,263,346;903,524,198
2020-22-1;0.898961;0.903272;0.889550;0.894371;7,762,007;893,922,597
2020-21-1;0.872544;0.902235;0.871928;0.899999;7,189,720;899,547,860
2020-20-1;0.873684;0.925373;0.865279;0.871847;8,345,767;871,410,044
2020-19-1;0.912075;0.930769;0.873684;0.873684;8,551,701;873,246,391
2020-18-1;0.896680;0.914939;0.886598;0.912075;9,338,810;911,617,874
2020-17-1;0.864101;0.912087;0.862227;0.895758;8,709,524;895,308,658
2020-16-1;0.908753;0.918012;0.858697;0.863213;8,170,884;862,780,466
2020-15-1;0.894728;0.921271;0.883427;0.907620;7,948,446;907,165,398
2020-14-1;0.847126;0.907147;0.840233;0.896068;8,535,621;895,618,808
2020-13-1;0.870186;0.870412;0.842880;0.846822;7,602,413;846,397,216
2020-12-1;0.860728;0.875225;0.856540;0.870705;7,898,535;870,268,309
2020-11-1;0.871832;0.886055;0.855090;0.859647;8,677,610;859,215,993
2020-10-1;0.867510;0.892691;0.859323;0.870496;8,387,854;870,060,185
2020-9-1;0.902212;0.902359;0.861662;0.869860;8,461,125;869,423,959
2020-8-1;0.885718;0.910808;0.880438;0.901527;8,487,726;901,075,670
2020-7-1;0.871700;0.888822;0.864739;0.885718;7,846,688;885,273,842
2020-6-1;0.857237;0.877281;0.852774;0.871700;7,736,059;871,262,887
2020-5-1;0.851779;0.865185;0.847994;0.856983;6,421,925;856,553,225
2020-4-1;0.851496;0.860545;0.841673;0.851883;6,349,394;851,455,960
2020-3-1;0.826151;0.854072;0.816582;0.851479;6,575,515;851,052,242
2020-2-1;0.820602;0.831689;0.813602;0.821820;6,016,153;821,407,995
2020-1-1;0.816284;0.826016;0.812007;0.819960;6,094,720;819,549,224
2019-31-12;0.816356;0.826781;0.811248;0.816284;8,253,408;815,875,153
2019-30-12;0.823171;0.832460;0.807973;0.816223;6,553,717;815,813,606
2019-29-12;0.816850;0.837397;0.813603;0.823993;6,545,582;823,580,468
2019-28-12;0.824664;0.843183;0.809887;0.816964;6,554,039;816,554,405
2019-27-12;0.840322;0.842553;0.820688;0.824272;7,062,534;823,858,772
2019-26-12;0.823974;0.841396;0.815617;0.839412;7,160,955;838,991,839
2019-25-12;0.817216;0.832411;0.803558;0.823673;6,074,928;823,260,064
2019-24-12;0.831177;0.833011;0.807039;0.817216;7,650,904;816,806,339
2019-23-12;0.876050;0.882803;0.823613;0.831276;8,586,978;830,859,104
2019-22-12;0.860357;0.881065;0.848770;0.875506;6,914,892;875,067,258
2019-21-12;0.855771;0.862432;0.842529;0.860465;6,983,018;860,033,352
2019-20-12;0.849637;0.883734;0.843522;0.854488;7,039,746;854,060,015
