Date;OpensAt;ClosesAt;HighestAt;LowestAt;VolumeTraded;MarketCap
2020-5-2;11.43;12.57;11.37;12.34;2,630,503,881;1,435,093,288
2020-4-2;11.79;11.87;11.21;11.43;2,163,865,570;1,329,760,411
2020-3-2;11.38;12.16;11.34;11.79;2,572,871,754;1,371,619,968
2020-2-2;11.52;11.73;11.20;11.39;2,230,362,843;1,324,661,545
2020-1-2;11.32;11.75;11.13;11.54;2,507,607,885;1,342,452,894
2020-31-1;12.27;12.27;10.83;11.30;2,910,829,193;1,314,450,265
2020-30-1;12.29;12.61;11.73;12.27;3,429,768,630;1,427,664,926
2020-29-1;11.49;12.74;11.39;12.32;4,198,264,074;1,432,957,978
2020-28-1;10.42;11.62;10.35;11.53;3,491,046,321;1,341,132,567
2020-27-1;9.14;11.00;9.14;10.42;3,089,196,032;1,212,558,560
2020-26-1;8.43;9.28;8.27;9.14;1,685,344,365;1,063,542,379
2020-25-1;8.62;8.62;8.21;8.43;1,429,389,665;980,923,326
2020-24-1;8.47;8.81;7.96;8.62;1,962,297,204;1,002,989,145
2020-23-1;9.34;9.36;8.27;8.46;1,878,541,112;984,412,223
2020-22-1;8.95;9.47;8.94;9.34;1,893,350,417;1,086,129,263
2020-21-1;8.67;9.10;8.56;8.95;1,792,016,776;1,040,492,638
2020-20-1;8.51;9.08;8.13;8.67;2,181,334,260;1,008,869,825
2020-19-1;8.32;9.36;7.90;8.51;3,071,743,046;989,704,405
2020-18-1;9.58;9.72;8.19;8.33;3,191,984,633;968,791,719
2020-17-1;8.37;11.91;8.13;9.52;4,699,240,278;1,107,259,104
2020-16-1;7.98;8.51;7.34;8.38;2,591,162,120;974,440,774
2020-15-1;6.80;8.07;6.67;7.98;3,050,686,528;927,726,082
2020-14-1;5.50;6.93;5.49;6.81;2,077,666,220;792,063,090
2020-13-1;5.56;5.59;5.36;5.50;817,167,779;639,356,726
2020-12-1;5.58;5.64;5.40;5.56;1,012,635,723;647,179,998
2020-11-1;5.33;5.77;5.32;5.58;1,355,984,730;649,040,790
2020-10-1;5.22;5.38;4.94;5.34;1,230,740,496;620,618,601
2020-9-1;4.97;5.21;4.93;5.21;1,014,858,991;606,291,870
2020-8-1;4.84;5.06;4.80;4.97;998,712,344;578,472,051
2020-7-1;5.05;5.06;4.76;4.83;1,006,600,642;562,327,947
2020-6-1;4.91;5.12;4.89;5.05;935,281,051;586,930,738
2020-5-1;4.77;5.01;4.77;4.91;929,077,856;570,853,943
