Date;OpensAt;ClosesAt;HighestAt;LowestAt;VolumeTraded;MarketCap
2020-5-2;9,183.42;9,701.30;9,163.70;9,613.42;35,222,060,874;174,983,423,933
2020-4-2;9,292.84;9,331.27;9,112.81;9,180.96;29,893,183,716;167,093,636,162
2020-3-2;9,344.68;9,540.37;9,248.63;9,293.52;30,934,096,509;169,126,861,034
2020-2-2;9,389.82;9,468.80;9,217.82;9,344.37;30,835,736,946;170,034,976,662
2020-1-2;9,346.36;9,439.32;9,313.24;9,392.88;25,922,656,496;170,900,662,180
2020-31-1;9,508.31;9,521.71;9,230.78;9,350.53;29,432,489,719;170,112,778,161
2020-30-1;9,316.02;9,553.13;9,230.90;9,508.99;32,378,792,851;172,978,577,931
2020-29-1;9,357.47;9,406.43;9,269.47;9,316.63;30,682,598,115;169,460,984,603
2020-28-1;8,912.52;9,358.59;8,908.45;9,358.59;34,398,744,403;170,205,617,955
2020-27-1;8,597.31;8,977.73;8,597.31;8,909.82;28,647,338,393;162,027,957,435
2020-26-1;8,364.41;8,602.40;8,325.50;8,596.83;22,177,678,796;156,322,174,637
2020-25-1;8,440.12;8,458.45;8,296.22;8,367.85;19,647,331,549;152,143,262,650
2020-24-1;8,405.57;8,514.67;8,266.84;8,445.43;24,397,913,026;153,536,829,768
2020-23-1;8,680.65;8,687.75;8,333.64;8,406.52;25,770,680,779;152,813,329,633
2020-22-1;8,744.21;8,792.99;8,636.75;8,680.88;22,600,204,051;157,783,273,070
2020-21-1;8,658.99;8,755.71;8,544.52;8,745.89;24,097,418,512;158,947,996,834
2020-20-1;8,704.63;8,745.59;8,560.47;8,657.64;26,422,375,678;157,327,553,259
2020-19-1;8,941.45;9,164.36;8,620.08;8,706.25;34,217,320,471;158,194,319,735
2020-18-1;8,927.21;9,012.20;8,827.33;8,942.81;32,337,772,627;162,475,965,880
2020-17-1;8,725.21;8,958.12;8,677.32;8,929.04;36,372,139,320;162,211,148,778
2020-16-1;8,812.48;8,846.46;8,612.10;8,723.79;31,313,981,931;158,465,055,984
2020-15-1;8,825.34;8,890.12;8,657.19;8,807.01;40,102,834,650;159,959,191,212
2020-14-1;8,140.93;8,879.51;8,140.93;8,827.76;44,841,784,107;160,319,484,883
2020-13-1;8,189.77;8,197.79;8,079.70;8,144.19;22,482,910,688;147,890,525,973
2020-12-1;8,033.26;8,200.06;8,009.06;8,192.49;22,903,438,381;148,752,956,966
2020-11-1;8,162.19;8,218.36;8,029.64;8,037.54;25,521,165,085;145,924,199,942
2020-10-1;7,878.31;8,166.55;7,726.77;8,166.55;28,714,583,844;148,249,907,277
2020-9-1;8,082.30;8,082.30;7,842.40;7,879.07;24,045,990,466;143,016,572,819
