Date;OpensAt;ClosesAt;HighestAt;LowestAt;VolumeTraded;MarketCap
2020-5-2;552.87;588.84;549.83;583.07;4,686,378;576,130,988
2020-4-2;557.02;562.14;541.36;553.62;3,979,687;547,050,404
2020-3-2;556.84;573.26;546.70;556.30;4,452,208;549,707,432
2020-2-2;552.86;571.73;542.80;558.67;4,134,079;552,154,452
2020-1-2;546.78;559.03;539.96;552.01;3,991,779;545,594,281
2020-31-1;544.69;555.71;532.09;545.33;4,093,150;538,992,045
2020-30-1;523.96;554.09;509.17;551.77;4,232,265;545,359,251
2020-29-1;528.67;537.56;514.44;522.53;3,932,224;516,500,218
2020-28-1;485.57;534.37;484.93;531.92;4,612,793;525,782,477
2020-27-1;482.63;494.37;473.94;487.37;3,793,281;481,835,342
2020-26-1;462.94;486.42;457.52;484.92;3,519,127;479,407,733
2020-25-1;467.46;471.12;454.09;465.29;3,312,795;460,012,001
2020-24-1;470.65;476.44;452.50;467.68;3,689,358;462,382,739
2020-23-1;474.46;477.06;451.26;473.78;3,578,834;468,407,704
2020-22-1;483.67;491.43;467.72;474.53;3,522,250;469,212,311
2020-21-1;484.17;485.83;466.09;484.07;4,363,397;478,700,118
2020-20-1;503.99;508.61;457.40;483.52;4,937,380;478,157,887
2020-19-1;517.62;528.90;488.74;507.21;3,871,380;501,653,038
2020-18-1;514.36;530.38;490.29;523.14;4,925,581;517,419,957
2020-17-1;527.55;534.75;499.29;515.97;5,097,150;510,348,669
2020-16-1;528.46;536.00;488.25;529.68;4,168,861;523,914,090
2020-15-1;532.88;554.70;515.81;533.83;4,651,343;528,054,686
2020-14-1;483.75;537.99;481.31;533.87;5,079,338;528,093,777
2020-13-1;494.77;499.57;476.66;482.22;3,543,697;477,020,940
2020-12-1;481.49;497.48;476.89;496.23;3,691,033;496,225,779
2020-11-1;478.07;494.06;472.20;479.06;4,896,444;479,059,454
2020-10-1;464.23;481.32;454.17;476.68;3,941,850;476,680,118
2020-9-1;485.20;486.86;452.77;462.12;4,065,236;462,117,194
2020-8-1;474.63;496.01;469.59;484.58;4,211,004;484,582,104
2020-7-1;467.52;477.03;459.02;469.89;3,795,790;469,886,013
2020-6-1;442.02;468.35;438.71;464.47;3,950,543;464,474,369
2020-5-1;441.71;452.67;436.08;442.09;3,750,842;442,089,035
2020-4-1;434.83;448.80;424.63;440.25;3,709,471;440,247,004
2020-3-1;422.10;439.63;413.56;433.53;3,648,148;433,531,552
2020-2-1;437.62;437.62;416.71;425.44;3,608,801;425,435,460
2020-1-1;433.24;441.56;428.48;437.33;3,531,182;437,331,443
2019-31-12;445.17;447.36;427.29;430.96;3,512,760;430,964,639
2019-30-12;449.54;457.33;437.94;442.89;3,878,828;442,889,578
2019-29-12;431.18;457.86;428.56;448.31;3,785,106;448,314,261
2019-28-12;427.42;438.84;425.82;430.74;3,563,307;430,736,438
2019-27-12;430.09;438.66;421.94;427.56;4,557,354;427,556,221
2019-26-12;435.71;452.28;424.89;432.48;4,563,748;432,476,083
2019-25-12;461.67;464.98;429.07;434.84;6,026,951;434,836,630
2019-24-12;460.82;466.34;436.89;457.34;5,354,515;457,339,067
2019-23-12;504.53;509.94;441.54;460.93;4,633,187;460,932,971
2019-22-12;487.65;505.87;472.25;505.51;4,638,315;505,508,199
2019-21-12;490.35;500.53;471.91;490.67;4,738,670;490,670,899
2019-20-12;481.31;497.01;453.83;490.35;4,636,633;490,348,372
2019-19-12;465.42;481.31;448.58;481.31;4,761,181;481,305,322
2019-18-12;411.79;468.81;394.00;467.95;5,050,557;467,953,801
2019-17-12;461.63;471.64;409.62;415.16;4,026,492;415,164,245
2019-16-12;490.52;497.42;451.07;461.63;4,724,877;461,630,244
2019-15-12;512.60;513.71;483.55;493.96;4,356,116;493,956,809
2019-14-12;509.41;516.15;501.57;508.61;4,041,034;508,611,804
2019-13-12;493.91;515.80;490.37;510.73;4,130,286;510,729,428
2019-12-12;489.00;502.58;483.23;493.53;3,823,711;493,525,148
2019-11-12;502.39;508.59;481.91;489.76;4,460,711;489,758,490
2019-10-12;501.76;510.67;492.55;506.80;4,280,554;506,803,670
2019-9-12;505.82;515.58;491.91;499.82;3,927,002;499,816,341
2019-8-12;499.81;522.47;493.81;504.44;4,052,523;504,440,903
2019-7-12;505.55;529.76;495.71;501.17;4,295,216;501,167,415
2019-6-12;508.85;526.19;496.85;505.82;4,642,910;505,817,474
2019-5-12;492.24;531.61;465.35;509.81;5,175,476;509,809,168
2019-4-12;542.07;571.27;483.88;495.40;5,053,047;495,404,924
2019-3-12;564.05;571.31;528.45;545.93;4,876,703;545,925,393
2019-2-12;516.94;570.23;506.79;564.05;4,745,961;564,047,424
2019-1-12;542.28;544.10;501.86;512.56;4,896,695;512,562,204
2019-30-11;549.58;562.91;523.98;544.45;4,662,481;544,452,259
2019-29-11;542.11;565.53;529.23;549.65;4,784,047;549,651,561
