Date;OpensAt;ClosesAt;HighestAt;LowestAt;VolumeTraded;MarketCap
2020-5-2;64.32;72.61;63.56;71.12;574,372,016;629,289,694
2020-4-2;65.71;66.22;62.86;64.32;376,233,504;568,235,451
2020-3-2;66.46;68.26;64.95;65.63;399,151,849;578,893,748
2020-2-2;65.89;68.13;63.86;66.55;501,422,482;586,050,416
2020-1-2;66.61;68.98;64.86;66.02;379,849,513;580,407,459
2020-31-1;66.91;69.27;62.47;66.53;511,822,741;583,965,288
2020-30-1;61.92;70.16;59.92;66.60;628,351,159;583,558,392
2020-29-1;57.12;64.16;56.48;62.02;457,723,478;542,579,083
2020-28-1;55.34;57.08;53.85;56.81;415,795,137;496,214,701
2020-27-1;53.87;58.03;53.58;55.24;361,876,390;481,663,612
2020-26-1;49.09;54.45;48.43;53.65;294,192,757;467,008,065
2020-25-1;49.06;49.60;47.92;49.07;214,070,612;426,500,467
2020-24-1;49.47;50.82;46.42;49.02;315,848,834;425,349,834
2020-23-1;52.15;52.32;48.22;49.22;293,241,636;426,334,798
2020-22-1;53.25;53.89;51.64;52.19;254,609,928;451,320,143
2020-21-1;53.67;53.99;51.28;53.39;289,545,481;460,920,665
2020-20-1;51.79;55.54;49.17;53.77;354,369,528;463,477,475
2020-19-1;51.48;54.58;48.62;51.49;449,218,325;443,092,850
2020-18-1;61.73;62.01;51.31;51.31;538,492,799;440,784,873
2020-17-1;50.86;65.53;49.18;61.66;707,027,969;528,828,484
2020-16-1;54.81;55.88;48.22;50.93;453,996,707;436,053,587
2020-15-1;43.93;58.09;43.33;54.82;740,886,171;468,554,470
2020-14-1;38.41;45.39;38.12;43.98;609,735,603;375,309,144
2020-13-1;35.64;38.43;34.72;38.37;263,135,594;326,842,522
2020-12-1;34.96;36.27;34.70;35.71;203,779,998;303,689,792
2020-11-1;33.69;36.41;33.33;34.97;247,632,127;296,888,383
2020-10-1;31.05;34.23;30.07;33.65;214,184,771;285,237,275
2020-9-1;31.12;32.23;30.18;31.10;159,352,054;263,180,429
2020-8-1;32.31;33.01;30.24;30.98;203,134,823;261,662,631
2020-7-1;32.94;33.07;31.04;32.49;204,009,747;273,952,855
