Date;OpensAt;ClosesAt;HighestAt;LowestAt;VolumeTraded;MarketCap
2020-5-2;0.822040;0.846647;0.808480;0.846429;137,880,145;539,472,653
2020-4-2;0.780056;0.823642;0.754652;0.823132;123,444,397;524,624,150
2020-3-2;0.785016;0.801376;0.767487;0.780311;108,364,842;497,331,986
2020-2-2;0.762218;0.808480;0.746706;0.785016;140,368,912;500,330,876
2020-1-2;0.770308;0.776525;0.746585;0.763295;105,289,020;486,487,240
2020-31-1;0.737414;0.779485;0.723041;0.769684;146,943,824;490,558,885
2020-30-1;0.733052;0.740633;0.716664;0.737669;112,152,368;470,154,087
2020-29-1;0.697832;0.752571;0.697490;0.733291;151,841,639;467,364,051
2020-28-1;0.686137;0.697484;0.674114;0.697385;101,163,238;444,479,238
2020-27-1;0.647623;0.685991;0.643383;0.685991;99,413,295;437,216,876
2020-26-1;0.634134;0.655951;0.628842;0.646605;77,630,884;412,114,344
2020-25-1;0.626738;0.636852;0.614570;0.633859;71,803,313;403,990,747
2020-24-1;0.637422;0.639569;0.611703;0.626599;85,164,001;399,363,289
2020-23-1;0.668746;0.672317;0.622040;0.637080;84,716,561;406,043,580
2020-22-1;0.662558;0.678607;0.658469;0.668267;83,624,923;425,920,457
2020-21-1;0.654276;0.665017;0.643418;0.662558;92,478,898;422,282,384
2020-20-1;0.653093;0.668267;0.630870;0.654366;112,863,046;417,061,204
2020-19-1;0.688543;0.715316;0.642831;0.653373;138,168,988;416,428,112
2020-18-1;0.716680;0.729790;0.685754;0.687989;152,822,619;438,490,374
2020-17-1;0.714216;0.728487;0.679894;0.717602;155,507,434;457,364,159
2020-16-1;0.698710;0.714091;0.651189;0.713108;129,445,344;454,499,903
2020-15-1;0.675142;0.743598;0.668767;0.698180;164,127,113;444,985,559
2020-14-1;0.608189;0.679129;0.607519;0.677150;127,260,855;431,582,261
2020-13-1;0.615911;0.618115;0.584556;0.608048;97,108,279;387,540,250
2020-12-1;0.585581;0.627627;0.580523;0.615588;114,868,496;392,346,048
2020-11-1;0.566488;0.609506;0.561924;0.585802;98,001,152;373,361,501
2020-10-1;0.542526;0.566892;0.531969;0.566301;83,594,178;360,932,918
2020-9-1;0.555495;0.555495;0.534878;0.542696;67,629,758;345,888,181
2020-8-1;0.564569;0.582724;0.544081;0.555804;75,783,460;354,242,027
2020-7-1;0.584859;0.590695;0.555139;0.564425;85,659,848;359,736,983
2020-6-1;0.552393;0.587504;0.552349;0.583860;87,325,737;372,124,127
2020-5-1;0.534342;0.573015;0.534342;0.552064;80,035,670;351,858,671
2020-4-1;0.528221;0.534763;0.520692;0.534763;58,007,761;340,831,924
2020-3-1;0.504405;0.533331;0.497402;0.528322;78,199,033;336,726,926
2020-2-1;0.527083;0.527211;0.501708;0.502871;64,686,317;320,505,408
2020-1-1;0.518744;0.540205;0.516688;0.526598;66,118,354;335,627,663
2019-31-12;0.529512;0.530808;0.516812;0.519029;75,634,560;330,803,542
2019-30-12;0.547004;0.547015;0.526461;0.529579;85,314,108;337,527,495
2019-29-12;0.532527;0.557396;0.529648;0.546944;94,906,841;348,595,244
2019-28-12;0.523198;0.541817;0.521363;0.532415;83,503,946;339,335,160
2019-27-12;0.518423;0.527123;0.513917;0.523245;81,095,132;333,490,692
2019-26-12;0.517778;0.531077;0.512672;0.518270;78,000,728;330,320,145
2019-25-12;0.526559;0.527196;0.511015;0.517739;61,120,312;329,981,460
2019-24-12;0.523643;0.544288;0.521041;0.526559;76,682,238;335,602,938
2019-23-12;0.557348;0.563356;0.519957;0.522919;82,806,304;333,283,086
2019-22-12;0.542878;0.558690;0.538718;0.557655;67,948,946;355,421,873
