Date;OpensAt;ClosesAt;HighestAt;LowestAt;VolumeTraded;MarketCap
2020-5-2;189.30;206.80;188.75;204.23;14,865,434,435;22,379,510,312
2020-4-2;189.86;191.11;185.40;189.25;11,714,191,695;20,735,478,720
2020-3-2;188.61;193.44;188.01;189.87;12,392,875,241;20,800,183,238
2020-2-2;183.53;193.08;180.17;188.62;14,054,425,389;20,660,936,267
2020-1-2;180.11;183.85;179.75;183.67;11,569,697,182;20,116,913,728
2020-31-1;184.74;185.41;176.30;180.16;11,728,616,394;19,729,633,078
2020-30-1;174.92;186.26;172.37;184.69;12,604,789,338;20,223,232,964
2020-29-1;176.35;178.84;175.05;175.05;10,725,267,311;19,165,292,202
2020-28-1;170.88;176.37;170.74;176.37;11,772,875,064;19,307,396,128
2020-27-1;168.01;172.92;166.90;170.93;11,004,476,145;18,709,615,891
2020-26-1;161.18;168.22;160.28;168.08;9,261,861,590;18,394,952,135
2020-25-1;163.07;163.23;158.63;161.28;8,256,956,802;17,649,296,256
2020-24-1;162.90;164.31;156.75;163.05;10,657,671,162;17,840,465,424
2020-23-1;168.30;168.31;160.30;162.93;10,396,868,698;17,824,835,899
2020-22-1;169.61;171.01;166.77;168.29;9,209,827,928;18,409,534,609
2020-21-1;167.06;169.91;165.82;169.70;9,789,369,362;18,560,711,557
2020-20-1;166.90;169.11;162.33;167.12;11,144,529,787;18,276,600,992
2020-19-1;175.47;177.25;163.68;166.97;13,713,374,132;18,257,853,532
2020-18-1;170.75;178.53;166.79;175.37;14,929,342,256;19,173,512,823
2020-17-1;164.49;173.07;162.78;170.78;14,997,091,826;18,669,811,576
2020-16-1;166.33;167.06;159.71;164.39;13,735,193,018;17,969,103,321
2020-15-1;165.73;170.43;161.11;166.23;15,173,694,057;18,167,930,411
2020-14-1;144.25;167.68;144.06;165.96;16,712,318,373;18,135,588,271
2020-13-1;146.22;146.79;142.91;144.23;8,378,529,470;15,759,102,081
2020-12-1;143.03;146.15;142.71;145.87;8,528,167,453;15,937,115,426
2020-11-1;143.41;146.48;142.21;142.93;9,332,208,590;15,613,213,640
2020-10-1;138.97;144.17;135.52;143.96;9,084,816,203;15,724,494,553
2020-9-1;141.16;141.39;136.24;138.98;7,697,325,348;15,178,151,517
2020-8-1;143.49;146.83;138.27;141.26;9,387,194,957;15,425,115,411
2020-7-1;144.31;145.00;140.49;143.54;9,257,954,672;15,672,773,110
2020-6-1;136.31;144.33;136.08;144.30;9,093,747,121;15,753,803,340
2020-5-1;135.07;139.41;135.05;136.28;7,526,675,353;14,875,569,430
2020-4-1;134.17;136.05;133.04;135.07;7,430,904,515;14,741,946,278
2020-3-1;127.41;134.55;126.49;134.17;10,476,845,358;14,642,130,120
2020-2-1;130.82;130.82;126.95;127.41;8,032,709,256;13,902,505,466
2020-1-1;129.63;132.84;129.20;130.80;7,935,230,330;14,271,059,633
2019-31-12;132.61;133.73;128.80;129.61;8,936,866,397;14,139,765,786
2019-30-12;134.80;136.76;131.55;132.63;9,796,951,716;14,468,140,712
2019-29-12;128.27;136.81;128.00;134.76;9,708,776,786;14,698,483,422
2019-28-12;127.21;130.26;126.90;128.32;8,069,298,610;13,995,233,088
2019-27-12;126.37;128.10;124.82;127.21;8,299,390,176;13,873,046,817
2019-26-12;126.49;130.90;125.41;126.36;8,600,871,980;13,778,664,460
2019-25-12;129.07;129.07;124.89;126.45;8,418,019,054;13,787,538,200
2019-24-12;128.63;131.67;127.31;129.06;7,961,819,689;14,070,696,528
2019-23-12;132.31;134.73;127.42;128.61;9,622,497,693;14,020,312,860
2019-22-12;128.10;133.16;127.93;132.37;9,121,058,481;14,428,651,183
2019-21-12;129.10;129.15;127.61;128.13;7,449,064,703;13,964,992,761
2019-20-12;129.38;129.76;126.99;129.07;8,173,594,150;14,065,549,620
2019-19-12;133.05;134.19;125.97;129.32;9,564,699,140;14,092,012,421
2019-18-12;122.66;133.39;119.78;133.09;11,864,518,321;14,501,554,620
2019-17-12;133.65;134.01;121.40;122.60;9,057,166,141;13,357,486,656
2019-16-12;143.14;143.22;132.46;133.61;8,992,282,119;14,555,616,655
2019-15-12;142.86;143.93;139.43;143.11;7,235,153,411;15,589,117,504
2019-14-12;144.95;145.53;142.43;142.87;7,048,066,973;15,560,820,323
2019-13-12;145.66;145.86;143.75;144.94;7,264,810,247;15,785,338,920
2019-12-12;143.62;145.75;141.44;145.60;7,890,383,413;15,855,473,988
2019-11-12;146.32;147.14;143.05;143.61;7,037,180,049;15,636,405,555
2019-10-12;148.18;148.56;144.91;146.27;6,859,512,025;15,924,221,614
2019-9-12;151.22;151.91;147.62;148.23;6,744,206,747;16,135,631,420
2019-8-12;148.74;152.39;148.31;151.26;6,441,727,252;16,464,729,150
2019-7-12;149.20;149.80;148.37;148.77;5,911,233,284;16,191,247,024
2019-6-12;149.40;149.67;147.61;149.19;6,458,766,441;16,235,876,301
2019-5-12;146.69;153.16;145.46;149.25;6,745,910,228;16,240,052,430
2019-4-12;147.92;150.68;145.00;146.75;7,865,937,094;15,966,157,442
2019-3-12;149.06;150.31;146.00;147.96;6,204,379,850;16,095,928,402
2019-2-12;151.18;152.12;147.61;149.06;6,670,561,362;16,214,125,032
2019-1-12;152.49;152.49;147.07;151.19;7,102,780,298;16,443,650,814
2019-30-11;155.29;156.69;151.23;152.54;6,565,950,868;16,589,132,426
2019-29-11;151.77;156.85;151.46;155.30;7,503,898,278;16,887,922,522
2019-28-11;153.07;156.61;151.09;151.72;7,346,531,960;16,496,129,470
2019-27-11;148.40;154.89;143.53;153.01;8,778,095,308;16,634,910,472
2019-26-11;146.40;150.00;145.22;148.97;7,648,516,297;16,193,326,033
2019-25-11;142.70;150.21;133.80;146.48;10,962,753,356;15,921,080,564
2019-24-11;153.43;153.97;142.83;142.83;7,782,769,098;15,523,459,920
2019-23-11;150.21;154.10;147.60;153.42;8,289,198,330;16,671,705,910
2019-22-11;161.51;163.03;142.34;150.27;12,020,749,863;16,327,536,038
2019-21-11;175.67;176.21;159.37;161.46;8,546,371,325;17,541,867,626
2019-20-11;177.42;178.99;175.29;175.70;7,205,785,149;19,086,228,092
2019-19-11;180.50;182.53;175.20;177.46;7,536,699,743;19,274,876,583
2019-18-11;185.04;186.93;179.18;180.56;7,787,662,111;19,609,782,345
2019-17-11;183.35;188.19;182.34;185.12;7,364,325,471;20,102,654,601
2019-16-11;180.50;184.16;179.99;183.35;6,789,888,120;19,908,020,821
2019-15-11;186.06;186.25;179.38;180.52;8,815,678,477;19,598,770,324
2019-14-11;188.27;188.63;184.99;186.00;7,872,664,470;20,191,206,220
2019-13-11;186.94;189.33;185.94;188.26;7,343,173,596;20,434,064,781
2019-12-11;185.56;187.95;184.19;186.84;7,792,186,666;20,278,071,676
2019-11-11;189.50;190.34;185.09;185.49;7,877,424,106;20,128,792,760
2019-10-11;184.94;190.92;184.69;189.48;8,752,784,211;20,559,121,065
2019-9-11;184.31;185.84;183.90;185.03;7,277,418,704;20,074,095,541
2019-8-11;187.92;188.82;182.54;184.21;9,176,780,911;19,983,058,356
2019-7-11;191.50;191.86;186.57;187.98;9,081,247,799;20,389,037,934
2019-6-11;189.11;193.55;188.67;191.59;10,156,458,684;20,778,894,603
2019-5-11;186.31;191.26;184.33;189.30;10,024,177,342;20,528,094,420
2019-4-11;182.32;188.02;181.82;186.36;10,551,917,945;20,205,859,402
2019-3-11;183.99;185.02;179.82;182.43;8,760,247,744;19,777,347,724
2019-2-11;184.02;185.71;182.80;183.93;8,087,991,830;19,937,622,287
2019-1-11;183.80;185.06;181.09;183.97;9,145,611,130;19,940,014,311
2019-31-10;184.80;188.75;180.07;183.97;9,607,939,606;19,937,256,794
2019-30-10;190.34;191.11;181.55;184.69;10,484,902,804;20,013,431,227
2019-29-10;182.67;191.85;182.36;190.34;10,622,761,958;20,623,205,054
2019-28-10;184.40;187.88;180.25;182.66;10,406,734,124;19,788,729,316
2019-27-10;179.93;188.16;177.68;184.24;10,815,941,952;19,957,408,085
2019-26-10;181.67;195.94;176.13;179.84;13,831,784,986;19,477,741,705
2019-25-10;162.19;183.00;161.97;181.52;10,358,594,018;19,658,140,299
2019-24-10;162.51;164.15;160.89;162.17;7,300,917,537;17,560,021,218
2019-23-10;172.26;172.42;157.46;162.40;9,624,925,919;17,583,244,177
2019-22-10;174.91;175.65;172.27;172.30;6,990,951,966;18,652,588,580
2019-21-10;175.52;177.74;173.29;174.92;6,815,820,627;18,933,882,640
2019-20-10;172.97;176.72;171.21;175.53;6,801,091,120;18,997,957,789
2019-19-10;173.65;175.61;172.22;172.91;6,551,453,871;18,711,940,303
2019-18-10;177.99;178.18;171.01;173.62;7,566,257,807;18,786,275,035
2019-17-10;175.91;178.90;174.57;178.03;6,737,237,423;19,260,755,682
2019-16-10;181.34;181.67;174.06;176.01;7,691,244,590;19,040,429,002
2019-15-10;186.98;187.76;179.46;181.41;7,731,456,579;19,621,350,993
2019-14-10;182.03;187.30;181.66;186.96;7,276,520,699;20,219,637,357
2019-13-10;180.86;185.08;180.32;182.08;6,733,182,273;19,688,808,994
2019-12-10;182.53;186.30;179.98;180.83;7,494,328,840;19,551,368,532
2019-11-10;191.80;195.32;181.66;182.57;9,128,522,970;19,737,401,838
2019-10-10;193.19;193.90;188.31;191.66;8,375,913,276;20,717,535,747
2019-9-10;182.04;194.30;180.67;193.29;9,088,122,101;20,891,536,595
2019-8-10;181.11;184.36;179.13;182.02;7,466,282,780;19,670,825,764
2019-7-10;172.94;182.36;171.53;181.19;7,844,316,834;19,578,142,143
2019-6-10;176.36;177.36;171.30;173.06;5,852,890,674;18,697,637,484
2019-5-10;176.95;177.71;173.07;176.35;5,837,211,771;19,050,956,367
2019-4-10;175.24;178.55;173.56;176.99;6,248,928,449;19,116,991,692
2019-3-10;180.70;180.80;172.60;175.20;6,381,403,725;18,921,747,814
2019-2-10;177.22;180.83;175.33;180.71;6,335,595,250;19,514,521,236
2019-1-10;180.21;185.05;175.81;177.34;7,676,276,225;19,148,222,892
2019-30-9;170.46;179.87;167.04;179.87;7,552,915,148;19,419,149,343
2019-29-9;174.61;175.21;167.00;170.50;6,497,088,199;18,405,401,315
2019-28-9;174.68;175.78;170.77;174.57;6,895,423,445;18,842,313,324
2019-27-9;166.65;175.61;163.21;174.71;7,909,313,625;18,854,855,889
2019-26-9;170.76;171.69;157.13;166.73;7,848,286,154;17,991,000,062
2019-25-9;168.13;174.72;164.91;170.89;9,766,632,018;18,438,188,568
2019-24-9;201.84;203.50;162.73;168.11;11,757,739,233;18,135,747,380
2019-23-9;211.71;211.84;201.89;201.92;7,494,673,136;21,780,534,855
2019-22-9;215.49;216.09;207.64;211.55;7,812,854,576;22,815,755,536
2019-21-9;217.90;220.96;215.00;215.52;7,743,309,778;23,241,121,351
2019-20-9;221.07;221.60;215.16;218.05;8,027,974,273;23,511,410,671
2019-19-9;211.25;222.87;204.69;221.28;10,620,070,913;23,856,751,722
2019-18-9;208.05;216.71;208.05;211.39;9,194,634,557;22,787,891,774
2019-17-9;197.11;213.73;196.72;208.61;10,232,590,812;22,484,889,435
2019-16-9;189.69;198.20;189.69;197.11;8,242,029,488;21,243,167,877
2019-15-9;188.07;190.40;186.45;189.79;6,222,874,780;20,451,239,362
2019-14-9;181.32;188.45;180.37;188.11;6,500,686,511;20,267,272,633
2019-13-9;180.98;181.50;178.58;181.11;5,955,041,237;19,511,050,764
2019-12-9;178.80;182.00;177.85;181.02;5,838,605,477;19,498,542,852
2019-11-9;179.84;181.76;176.50;178.73;7,157,139,035;19,249,367,782
2019-10-9;181.21;184.06;178.12;179.79;6,291,476,772;19,361,276,593
2019-9-9;181.36;184.15;177.42;181.15;7,232,938,985;19,505,534,124
2019-8-9;178.28;182.98;178.14;181.36;6,472,677,266;19,525,276,831
2019-7-9;169.96;180.85;169.44;178.26;6,791,531,342;19,189,873,689
2019-6-9;174.17;177.72;168.34;169.96;6,797,611,878;18,293,376,881
2019-5-9;175.97;176.16;171.75;174.22;5,589,476,516;18,749,645,579
2019-4-9;179.49;180.14;175.33;175.99;5,938,120,494;18,938,360,723
2019-3-9;178.36;182.35;175.97;179.50;6,962,728,938;19,313,265,198
2019-2-9;171.70;180.15;170.45;178.35;6,503,447,137;19,186,913,439
2019-1-9;172.46;173.70;169.53;171.63;5,554,799,576;18,461,846,968
2019-31-8;168.89;174.32;167.80;172.47;5,830,212,249;18,549,906,272
2019-30-8;169.49;170.77;167.07;168.83;5,776,520,220;18,156,660,601
2019-29-8;173.96;174.00;167.17;169.52;7,129,569,083;18,227,677,831
2019-28-8;187.50;187.93;172.19;173.89;6,696,604,087;18,695,530,287
2019-27-8;188.95;188.96;185.47;187.52;6,042,327,402;20,158,029,984
2019-26-8;186.74;193.44;186.74;188.93;7,207,986,636;20,307,338,403
2019-25-8;191.23;192.16;184.96;186.84;5,826,017,143;20,080,495,261
2019-24-8;194.67;194.78;187.63;191.29;6,249,737,982;20,555,802,874
2019-23-8;191.11;195.91;189.56;194.71;6,658,162,377;20,920,364,879
2019-22-8;186.94;194.42;183.38;191.33;7,569,043,874;20,555,295,233
2019-21-8;196.62;197.03;182.69;186.89;7,775,772,700;20,075,644,245
2019-20-8;202.81;203.02;195.62;196.57;6,408,417,610;21,112,106,339
2019-19-8;194.56;203.56;193.11;203.09;6,145,148,692;21,810,324,618
2019-18-8;185.84;197.52;183.69;194.49;5,969,012,024;20,884,307,088
2019-17-8;185.53;186.70;182.59;185.69;5,512,696,513;19,936,235,953
2019-16-8;188.64;188.91;180.38;185.44;7,133,915,837;19,907,120,204
2019-15-8;186.68;189.46;178.14;188.50;8,197,244,441;20,233,249,251
2019-14-8;208.60;209.07;186.33;186.61;7,444,456,154;20,027,397,541
2019-13-8;211.34;211.38;205.42;208.71;5,946,313,205;22,396,531,009
2019-12-8;216.06;216.14;210.95;211.29;5,674,315,559;22,670,420,643
2019-11-8;206.73;216.60;206.51;216.09;6,440,605,605;23,183,002,869
2019-10-8;210.53;213.73;203.79;206.73;6,584,748,527;22,176,113,561
2019-9-8;220.91;221.36;208.25;210.49;6,964,818,795;22,576,055,651
2019-8-8;226.52;226.77;216.52;220.94;6,713,525,644;23,694,202,562
2019-7-8;225.93;229.66;222.78;226.39;7,020,342,210;24,275,514,217
2019-6-8;234.25;239.12;223.55;226.02;7,647,742,672;24,232,708,406
2019-5-8;222.65;235.64;222.60;234.22;7,765,060,287;25,108,076,876
2019-4-8;222.58;224.23;218.49;222.67;5,238,542,572;23,867,371,249
2019-3-8;217.90;224.62;217.33;222.49;5,697,798,687;23,845,116,864
2019-2-8;217.88;222.18;215.98;217.87;6,159,440,229;23,347,127,327
2019-1-8;218.55;218.81;212.91;217.81;5,965,442,642;23,337,361,749
2019-31-7;210.49;218.65;210.44;218.65;6,003,828,340;23,425,015,630
2019-30-7;211.34;213.61;206.87;210.52;5,489,918,859;22,551,013,736
2019-29-7;211.12;213.93;208.76;211.27;5,485,190,664;22,627,969,069
2019-28-7;207.41;212.04;202.25;211.19;5,504,887,934;22,616,386,468
2019-27-7;219.62;223.52;204.90;207.41;6,257,703,908;22,208,955,063
2019-26-7;219.63;220.24;214.13;219.63;5,729,852,178;23,514,586,698
2019-25-7;216.97;224.25;216.14;219.62;6,731,281,160;23,510,336,984
2019-24-7;212.55;217.54;203.89;217.05;7,168,982,843;23,232,101,232
2019-23-7;217.57;218.52;209.64;212.73;6,976,091,534;22,767,023,810
2019-22-7;225.70;226.86;213.45;217.56;6,338,843,919;23,281,138,563
2019-21-7;229.17;229.86;219.03;225.63;6,685,082,868;24,141,704,293
2019-20-7;221.41;234.20;221.19;229.12;7,976,245,988;24,511,869,214
2019-19-7;226.66;226.94;215.84;221.33;7,606,433,131;23,675,884,534
2019-18-7;211.44;229.24;208.04;226.57;9,327,816,059;24,232,572,603
2019-17-7;199.07;217.98;193.99;211.48;9,387,747,640;22,616,651,114
2019-16-7;229.75;234.51;197.38;199.19;9,036,620,494;21,298,941,499
2019-15-7;227.97;235.03;210.39;229.78;9,723,674,244;24,566,488,597
2019-14-7;269.28;269.64;227.27;227.58;8,578,339,386;24,328,422,207
2019-13-7;276.29;276.69;263.07;269.46;6,716,829,429;28,801,816,023
2019-12-7;268.69;278.86;268.00;276.28;8,148,936,015;29,526,802,979
2019-11-7;289.95;290.02;266.09;268.70;10,216,287,022;28,713,849,048
2019-10-7;308.85;313.07;285.57;290.00;11,679,985,167;30,985,827,113
2019-9-7;313.33;318.22;305.29;308.88;10,055,159,803;32,998,749,928
2019-8-7;305.73;314.27;303.50;313.25;9,078,905,628;33,461,369,498
2019-7-7;287.60;310.14;286.11;305.70;8,119,724,981;32,650,611,906
2019-6-7;287.89;295.99;286.67;287.55;7,674,615,025;30,707,785,756
2019-5-7;284.38;293.92;282.69;288.00;8,723,493,015;30,751,916,427
2019-4-7;303.03;303.96;282.77;284.52;8,403,513,106;30,377,082,394
2019-3-7;291.76;303.34;291.40;303.10;9,926,711,979;32,356,299,765
2019-2-7;293.54;295.66;272.60;291.60;10,618,413,952;31,124,332,021
2019-1-7;290.27;301.03;280.02;293.64;10,292,223,948;31,338,571,563
