Date;OpensAt;ClosesAt;HighestAt;LowestAt;VolumeTraded;MarketCap
2020-5-2;0.006512;0.006642;0.006329;0.006507;156,243,121;360,863,243
2020-4-2;0.006272;0.006601;0.006233;0.006509;141,368,939;360,934,409
2020-3-2;0.006259;0.006344;0.006141;0.006309;132,983,998;349,845,023
2020-2-2;0.006005;0.006401;0.005842;0.006259;148,855,762;347,074,078
2020-1-2;0.005779;0.006164;0.005741;0.006005;147,597,569;333,032,158
2020-31-1;0.005661;0.005839;0.005504;0.005779;125,555,435;320,467,753
2020-30-1;0.005758;0.005823;0.005654;0.005658;124,423,470;313,758,445
2020-29-1;0.005824;0.005895;0.005687;0.005723;114,816,850;317,363,281
2020-28-1;0.005768;0.005910;0.005722;0.005824;114,334,307;322,941,641
2020-27-1;0.005739;0.005903;0.005650;0.005771;103,413,512;320,009,065
2020-26-1;0.005622;0.005738;0.005544;0.005709;87,851,202;316,608,940
2020-25-1;0.005623;0.005676;0.005494;0.005622;83,094,813;311,755,852
2020-24-1;0.005584;0.005670;0.005485;0.005621;99,091,804;311,727,731
2020-23-1;0.005881;0.005884;0.005458;0.005579;104,354,296;309,369,866
2020-22-1;0.005995;0.006013;0.005859;0.005878;90,656,447;325,953,110
2020-21-1;0.005843;0.006009;0.005789;0.005964;104,464,919;330,759,501
2020-20-1;0.005884;0.005961;0.005774;0.005844;104,468,826;324,097,163
2020-19-1;0.006253;0.006269;0.005828;0.005883;127,129,952;326,262,717
2020-18-1;0.006358;0.006399;0.006120;0.006256;138,845,322;346,948,367
2020-17-1;0.005906;0.006592;0.005826;0.006357;138,571,075;352,511,114
2020-16-1;0.006004;0.006071;0.005705;0.005905;101,044,054;327,480,990
2020-15-1;0.005998;0.006181;0.005763;0.006003;127,790,121;332,911,758
2020-14-1;0.005443;0.006070;0.005392;0.006006;135,435,700;333,048,997
2020-13-1;0.005541;0.005549;0.005358;0.005440;76,878,705;301,692,150
2020-12-1;0.005531;0.005612;0.005425;0.005541;99,761,625;307,289,415
2020-11-1;0.005458;0.005541;0.005359;0.005535;186,894,921;306,915,543
2020-10-1;0.005361;0.005550;0.005340;0.005452;140,759,599;302,332,825
2020-9-1;0.005512;0.005512;0.005341;0.005367;93,401,748;297,643,593
2020-8-1;0.005595;0.005598;0.005305;0.005521;79,053,437;306,181,695
2020-7-1;0.005736;0.005767;0.005506;0.005590;67,461,953;309,991,968
2020-6-1;0.005508;0.005766;0.005487;0.005735;73,540,805;318,032,626
2020-5-1;0.005667;0.005718;0.005492;0.005504;60,517,803;305,240,316
2020-4-1;0.005335;0.005695;0.005307;0.005673;60,583,439;314,586,656
2020-3-1;0.005108;0.005431;0.005046;0.005336;66,999,698;295,890,911
2020-2-1;0.005367;0.005401;0.005073;0.005097;59,081,069;282,669,992
2020-1-1;0.005241;0.005490;0.005228;0.005367;64,586,744;297,602,286
2019-31-12;0.005461;0.005468;0.005177;0.005241;70,344,112;290,637,430
2019-30-12;0.005600;0.005662;0.005456;0.005458;75,402,048;302,692,021
2019-29-12;0.005684;0.005962;0.005595;0.005600;83,346,544;310,542,538
2019-28-12;0.005701;0.005771;0.005594;0.005688;82,594,152;315,437,379
2019-27-12;0.005513;0.005866;0.005369;0.005703;88,935,184;316,268,077
2019-26-12;0.005913;0.005919;0.005469;0.005510;90,192,792;305,543,007
2019-25-12;0.006036;0.006088;0.005832;0.005913;79,282,433;327,898,133
2019-24-12;0.005922;0.006296;0.005813;0.006031;92,408,694;334,462,118
2019-23-12;0.005533;0.006179;0.005480;0.005903;86,999,523;327,337,108
2019-22-12;0.005350;0.005626;0.005337;0.005539;51,226,559;307,171,049
2019-21-12;0.005429;0.005569;0.005322;0.005352;48,727,947;296,778,182
2019-20-12;0.005097;0.005568;0.005045;0.005428;69,121,348;301,030,451
2019-19-12;0.005351;0.005400;0.004899;0.005097;54,773,462;282,663,252
2019-18-12;0.004634;0.005393;0.004532;0.005368;81,406,474;297,702,396
2019-17-12;0.005080;0.005121;0.004561;0.004642;58,644,901;257,439,649
2019-16-12;0.005604;0.005628;0.005031;0.005080;51,731,167;281,735,595
2019-15-12;0.005483;0.005709;0.005287;0.005607;67,376,046;310,933,054
2019-14-12;0.005872;0.005943;0.005398;0.005483;69,463,070;304,071,976
2019-13-12;0.006253;0.006658;0.005760;0.005871;108,878,386;325,562,346
2019-12-12;0.006065;0.006298;0.005859;0.006254;78,378,180;346,787,488
2019-11-12;0.006264;0.006412;0.006045;0.006059;72,536,165;335,992,671
2019-10-12;0.006885;0.006885;0.006031;0.006256;107,334,781;346,909,845
2019-9-12;0.007191;0.007398;0.006841;0.006889;94,789,461;382,053,069
2019-8-12;0.006869;0.007310;0.006720;0.007189;91,917,267;398,663,900
2019-7-12;0.006972;0.007282;0.006887;0.006887;79,874,027;381,929,661
