Date;OpensAt;ClosesAt;HighestAt;LowestAt;VolumeTraded;MarketCap
2020-5-2;0.244200;0.252333;0.239347;0.251646;88,483,778;358,165,211
2020-4-2;0.235532;0.250166;0.232057;0.244147;99,684,052;347,491,702
2020-3-2;0.223217;0.237378;0.222454;0.235587;61,713,475;335,308,220
2020-2-2;0.224037;0.229802;0.220734;0.223382;52,190,150;317,936,494
2020-1-2;0.219220;0.224723;0.219220;0.224324;48,405,258;319,277,778
2020-31-1;0.223112;0.224758;0.213615;0.219153;55,872,703;311,917,261
2020-30-1;0.219482;0.223557;0.216337;0.223296;60,868,516;317,792,663
2020-29-1;0.222139;0.224790;0.218727;0.219619;65,190,942;312,554,866
2020-28-1;0.226765;0.229693;0.216600;0.222147;69,251,607;316,152,898
2020-27-1;0.211765;0.228041;0.211605;0.226850;60,294,391;322,845,791
2020-26-1;0.204678;0.212331;0.203494;0.211612;47,850,762;300,842,390
2020-25-1;0.207349;0.207404;0.202128;0.204836;41,628,366;291,208,657
2020-24-1;0.208244;0.208266;0.200771;0.207246;44,967,053;294,634,657
2020-23-1;0.219143;0.219516;0.205425;0.208167;49,020,267;295,944,056
2020-22-1;0.220137;0.221423;0.217089;0.219458;46,002,292;311,995,730
2020-21-1;0.221798;0.224413;0.214153;0.220275;55,120,770;313,157,242
2020-20-1;0.214349;0.224092;0.210432;0.221714;62,412,074;315,203,856
2020-19-1;0.224799;0.228579;0.209111;0.214455;57,775,448;304,882,977
2020-18-1;0.229660;0.231689;0.219281;0.224644;59,923,625;319,369,156
2020-17-1;0.217698;0.232665;0.214255;0.229728;68,894,095;326,597,206
2020-16-1;0.219983;0.221485;0.210547;0.217673;53,452,385;309,349,072
2020-15-1;0.212400;0.237217;0.211481;0.219713;92,447,507;312,249,146
2020-14-1;0.187780;0.213134;0.187292;0.212436;63,840,081;301,890,638
2020-13-1;0.191220;0.191584;0.187227;0.187814;44,799,749;266,899,461
2020-12-1;0.189699;0.192593;0.188862;0.191303;42,369,470;271,858,632
2020-11-1;0.187455;0.193383;0.186866;0.189747;47,013,777;269,647,457
2020-10-1;0.186130;0.187952;0.182987;0.187409;48,947,327;266,325,113
2020-9-1;0.184185;0.188964;0.182263;0.186361;50,598,041;264,835,041
2020-8-1;0.193508;0.194834;0.184022;0.184202;54,340,205;261,766,740
2020-7-1;0.191971;0.197265;0.191833;0.193379;57,682,961;273,744,163
2020-6-1;0.189163;0.196460;0.188995;0.192032;50,966,011;271,837,862
2020-5-1;0.189803;0.193824;0.188223;0.188898;46,686,533;267,401,433
2020-4-1;0.187587;0.190930;0.184939;0.189891;43,280,231;268,771,715
2020-3-1;0.183649;0.192417;0.181661;0.187701;55,439,573;265,672,977
2020-2-1;0.196123;0.196442;0.183375;0.183821;52,616,967;260,181,315
2020-1-1;0.181816;0.197126;0.180976;0.196129;54,964,262;277,601,807
2019-31-12;0.190676;0.194272;0.180881;0.181768;55,600,479;257,275,573
2019-30-12;0.192722;0.199973;0.188163;0.190580;67,737,772;269,747,069
2019-29-12;0.185619;0.196641;0.185064;0.192579;74,591,022;272,577,544
2019-28-12;0.169652;0.186777;0.169577;0.185700;68,500,348;262,840,519
2019-27-12;0.164714;0.169650;0.163986;0.169650;41,612,685;240,123,266
2019-26-12;0.162984;0.168739;0.162017;0.164700;44,019,391;232,755,058
2019-25-12;0.167214;0.167803;0.162212;0.163157;44,723,117;230,574,694
2019-24-12;0.164061;0.172803;0.163328;0.167216;49,113,737;236,309,978
2019-23-12;0.173448;0.173657;0.163370;0.164182;52,227,115;232,022,792
2019-22-12;0.168311;0.174463;0.167667;0.173439;50,835,515;245,105,236
2019-21-12;0.171424;0.174579;0.168094;0.168399;50,517,132;237,982,973
2019-20-12;0.168297;0.173131;0.165762;0.171327;52,286,049;241,743,805
2019-19-12;0.168571;0.169297;0.161119;0.168277;57,422,264;237,431,535
2019-18-12;0.155750;0.170202;0.149395;0.168435;71,578,609;237,654,217
2019-17-12;0.176098;0.176808;0.152258;0.155902;63,619,513;219,970,777
2019-16-12;0.185160;0.192070;0.175334;0.175936;57,528,977;248,237,341
2019-15-12;0.181079;0.186782;0.176063;0.185314;57,617,486;261,469,315
2019-14-12;0.188506;0.191193;0.179032;0.180890;59,458,933;255,227,196
2019-13-12;0.175780;0.191597;0.174835;0.188409;66,814,278;265,837,097
2019-12-12;0.177149;0.177906;0.174106;0.175804;51,915,861;248,051,546
2019-11-12;0.176347;0.180841;0.175468;0.177145;54,444,867;249,943,222
2019-10-12;0.186409;0.187346;0.173978;0.176536;67,473,458;249,084,008
2019-9-12;0.190093;0.193301;0.185945;0.186570;54,696,455;253,912,705
2019-8-12;0.190109;0.192385;0.188294;0.190088;52,346,953;258,701,624
2019-7-12;0.194456;0.196527;0.189926;0.190073;53,741,150;258,681,010
2019-6-12;0.187640;0.195017;0.187640;0.194485;48,523,065;264,684,848
2019-5-12;0.183379;0.189069;0.181204;0.187590;47,940,697;255,299,925
2019-4-12;0.196711;0.196711;0.182346;0.183617;62,223,456;249,066,729
2019-3-12;0.189252;0.197524;0.188733;0.196692;53,719,456;266,803,194
2019-2-12;0.197394;0.197542;0.186666;0.189050;54,950,195;256,436,364
2019-1-12;0.204713;0.204741;0.193207;0.197244;47,982,411;267,550,865
2019-30-11;0.216162;0.217313;0.203128;0.204476;47,542,174;277,360,971
2019-29-11;0.207322;0.216435;0.206911;0.216149;56,490,553;293,194,633
2019-28-11;0.204082;0.210721;0.202689;0.206987;56,439,565;280,766,806
2019-27-11;0.205389;0.209604;0.192749;0.204103;64,954,174;276,855,183
2019-26-11;0.206555;0.211083;0.203362;0.206084;59,512,306;279,542,169
2019-25-11;0.207822;0.219088;0.195260;0.206318;58,832,885;279,859,561
2019-24-11;0.222419;0.223865;0.208144;0.208225;49,123,099;282,446,646
2019-23-11;0.220091;0.223622;0.205180;0.222479;65,879,372;301,781,016
2019-22-11;0.222131;0.225220;0.195918;0.220183;74,492,632;298,666,605
2019-21-11;0.235646;0.244080;0.216618;0.222107;66,774,687;301,277,048
2019-20-11;0.252056;0.253109;0.235225;0.235698;63,831,001;319,697,948
2019-19-11;0.266308;0.271283;0.243247;0.252056;76,652,966;341,885,456
2019-18-11;0.277790;0.278698;0.261361;0.266433;65,544,975;361,386,541
2019-17-11;0.269598;0.282319;0.260705;0.277868;79,036,662;376,897,060
2019-16-11;0.250859;0.271096;0.250250;0.269560;60,116,631;365,628,112
2019-15-11;0.257799;0.261237;0.246548;0.250756;57,576,207;340,121,976
2019-14-11;0.255338;0.263916;0.253741;0.257811;76,919,032;349,691,737
2019-13-11;0.241841;0.256870;0.240714;0.255408;55,501,381;346,432,705
2019-12-11;0.242265;0.244064;0.239203;0.241835;46,089,760;328,021,665
2019-11-11;0.246867;0.248198;0.237927;0.242430;50,668,589;328,828,570
2019-10-11;0.248969;0.251659;0.245462;0.246648;56,055,728;334,550,080
2019-9-11;0.238280;0.248686;0.236948;0.248686;50,386,934;337,314,777
2019-8-11;0.253066;0.254875;0.228470;0.238165;57,831,580;323,043,215
2019-7-11;0.262777;0.263485;0.251059;0.252833;48,906,926;342,939,708
2019-6-11;0.251966;0.264289;0.250110;0.263042;63,001,364;355,357,101
2019-5-11;0.244172;0.255630;0.240196;0.251742;58,611,210;340,090,852
2019-4-11;0.232398;0.245360;0.232228;0.244276;59,648,443;330,004,034
2019-3-11;0.234583;0.235688;0.230808;0.232455;42,875,618;314,035,312
2019-2-11;0.235557;0.238005;0.233266;0.234685;42,712,116;317,046,762
2019-1-11;0.233986;0.238107;0.227545;0.235579;52,461,373;318,255,377
2019-31-10;0.235043;0.248208;0.230209;0.234045;56,176,143;316,183,021
2019-30-10;0.235656;0.237273;0.222078;0.235093;52,802,718;317,599,145
