Date;OpensAt;ClosesAt;HighestAt;LowestAt;VolumeTraded;MarketCap
2020-5-2;380.72;442.10;379.16;442.01;5,289,083,000;8,072,301,019
2020-4-2;383.76;387.16;374.66;380.60;3,143,637,424;6,950,078,912
2020-3-2;377.94;389.45;375.86;383.88;3,410,323,023;7,009,236,233
2020-2-2;380.25;388.39;370.81;378.27;3,246,254,490;6,906,342,984
2020-1-2;375.07;387.39;374.60;381.01;3,218,496,040;6,955,699,068
2020-31-1;392.83;393.80;366.60;375.39;3,667,538,280;6,852,328,297
2020-30-1;380.86;395.56;373.53;392.97;4,055,518,921;7,172,561,949
2020-29-1;379.10;393.78;378.30;381.52;3,987,047,015;6,962,894,993
2020-28-1;362.65;382.78;360.50;378.86;3,916,343,793;6,913,563,554
2020-27-1;346.89;374.86;346.53;362.65;4,123,924,761;6,617,085,453
2020-26-1;311.00;347.74;308.55;347.00;3,192,088,890;6,330,863,260
2020-25-1;319.38;319.40;305.49;311.36;2,169,791,084;5,680,063,566
2020-24-1;325.17;327.38;299.96;319.52;3,346,887,042;5,828,372,705
2020-23-1;347.50;348.39;319.29;324.87;2,722,405,196;5,925,291,827
2020-22-1;343.37;352.01;339.62;347.23;2,468,426,687;6,332,561,910
2020-21-1;343.51;346.54;334.70;343.42;2,658,918,440;6,262,472,148
2020-20-1;338.12;351.84;325.28;343.81;3,361,586,387;6,268,932,728
2020-19-1;338.40;362.15;323.11;338.31;4,458,226,713;6,167,961,887
2020-18-1;367.41;398.89;334.84;339.12;6,041,778,648;6,182,276,116
2020-17-1;326.38;379.68;320.62;366.98;5,128,628,377;6,689,508,806
2020-16-1;339.68;341.24;311.56;325.98;3,652,947,113;5,941,556,881
2020-15-1;348.72;358.82;319.01;339.40;5,240,635,087;6,185,484,056
2020-14-1;267.64;364.16;267.53;350.26;6,618,289,058;6,382,913,206
2020-13-1;268.41;270.77;261.87;267.52;1,884,541,173;4,874,569,980
2020-12-1;261.10;269.07;259.28;268.24;2,168,514,332;4,887,148,233
2020-11-1;270.20;276.63;259.81;260.68;2,487,051,623;4,748,986,487
2020-10-1;239.55;271.77;232.64;270.73;2,986,773,814;4,931,494,248
2020-9-1;241.00;243.05;232.35;239.22;1,908,677,851;4,357,194,742
