Date;OpensAt;ClosesAt;HighestAt;LowestAt;VolumeTraded;MarketCap
2020-5-2;271.95;304.39;269.18;298.88;2,723,740,891;5,457,622,454
2020-4-2;280.63;282.71;267.80;272.06;1,848,976,319;4,967,266,626
2020-3-2;276.74;285.44;275.14;280.73;1,966,449,392;5,125,136,446
2020-2-2;278.05;286.15;271.86;276.74;1,947,042,982;5,051,860,965
2020-1-2;272.91;288.06;270.93;278.65;2,045,188,904;5,086,094,873
2020-31-1;298.78;298.92;265.08;272.40;2,306,111,736;4,971,493,553
2020-30-1;287.47;306.70;284.59;298.82;2,639,457,631;5,453,378,902
2020-29-1;294.97;303.90;282.68;287.97;2,955,203,277;5,247,563,141
2020-28-1;300.13;311.14;279.46;294.76;2,987,485,223;5,371,343,646
2020-27-1;274.26;318.79;274.10;300.35;3,260,926,617;5,473,156,767
2020-26-1;261.62;277.26;254.85;274.20;2,003,477,064;4,996,615,973
2020-25-1;266.41;270.34;253.47;261.85;1,764,624,059;4,771,607,864
2020-24-1;259.09;281.47;247.30;266.98;2,733,224,386;4,864,986,722
2020-23-1;308.54;308.59;248.28;259.14;2,643,222,739;4,722,121,850
2020-22-1;314.79;322.19;299.27;308.91;2,192,284,387;5,629,050,033
2020-21-1;300.79;323.30;290.98;314.53;2,836,183,879;5,731,505,296
2020-20-1;278.06;320.64;264.69;301.70;3,279,329,941;5,497,689,339
2020-19-1;249.91;276.92;238.85;276.92;3,190,579,995;5,046,171,376
2020-18-1;286.51;297.54;245.18;249.19;3,246,126,279;4,540,896,971
2020-17-1;313.38;330.39;274.01;286.40;3,565,786,206;5,218,978,781
2020-16-1;312.06;333.87;282.23;312.88;3,966,458,240;5,701,492,409
2020-15-1;420.68;421.53;285.68;312.76;5,432,389,775;5,650,999,055
2020-14-1;173.81;441.20;173.58;422.74;7,460,265,156;7,638,163,819
2020-13-1;164.89;174.66;159.96;174.33;1,227,224,459;3,149,819,106
2020-12-1;151.33;168.81;148.58;165.01;1,360,791,215;2,981,519,770
2020-11-1;171.08;175.63;149.30;150.73;1,779,222,123;2,723,486,078
2020-10-1;117.66;172.76;116.67;171.16;1,782,635,151;3,092,666,424
2020-9-1;114.11;118.35;112.77;117.74;679,848,557;2,127,416,643
2020-8-1;114.06;116.14;111.30;114.17;762,929,032;2,062,931,833
2020-7-1;117.75;118.66;110.71;114.06;776,247,251;2,060,934,201
2020-6-1;110.99;117.95;110.35;117.81;796,700,319;2,128,712,929
2020-5-1;109.68;114.76;109.24;110.87;650,101,885;2,003,156,469
2020-4-1;102.70;110.21;102.47;109.67;712,444,844;1,981,510,584
2020-3-1;93.08;103.89;92.11;102.61;697,088,052;1,853,999,320
2020-2-1;97.24;97.74;92.71;92.84;424,249,976;1,677,433,934
2020-1-1;97.08;99.85;96.41;97.20;450,643,882;1,756,282,440
2019-31-12;97.02;98.65;94.54;97.08;533,536,931;1,754,060,548
2019-30-12;100.36;100.92;94.33;96.98;610,692,227;1,752,211,851
2019-29-12;94.18;102.05;93.75;100.36;569,875,111;1,813,274,573
2019-28-12;90.58;96.18;90.40;94.35;497,082,872;1,704,772,053
2019-27-12;87.63;91.79;86.64;90.57;469,045,045;1,636,504,173
2019-26-12;86.83;90.96;85.68;87.62;387,354,065;1,583,166,982
2019-25-12;87.61;88.19;85.54;86.81;381,783,943;1,568,482,756
2019-24-12;86.25;88.47;85.70;87.61;418,897,369;1,582,936,417
2019-23-12;88.10;90.12;85.90;86.34;477,921,064;1,559,978,108
2019-22-12;85.33;88.39;84.85;88.04;389,220,983;1,590,712,641
2019-21-12;88.56;89.06;84.89;85.34;389,706,406;1,541,937,035
2019-20-12;85.54;89.27;84.60;88.53;410,922,506;1,599,521,545
2019-19-12;86.34;88.04;81.72;85.54;473,470,788;1,545,533,273
2019-18-12;80.68;86.91;78.19;86.33;601,322,552;1,559,787,127
2019-17-12;89.60;89.87;80.05;81.01;474,725,801;1,463,765,474
2019-16-12;93.42;93.53;88.71;89.60;392,384,682;1,618,949,418
2019-15-12;93.05;93.62;89.74;93.48;360,708,498;1,689,052,393
2019-14-12;93.34;94.37;92.35;93.03;364,795,485;1,680,878,468
2019-13-12;93.06;93.81;92.17;93.38;382,985,017;1,687,151,015
2019-12-12;94.64;95.29;92.26;93.07;430,999,056;1,681,592,902
2019-11-12;96.43;96.59;94.45;94.64;292,799,841;1,710,042,827
