Date;OpensAt;ClosesAt;HighestAt;LowestAt;VolumeTraded;MarketCap
2020-5-2;4.24;4.57;4.20;4.52;3,717,109,097;4,298,039,991
2020-4-2;4.20;4.27;4.08;4.25;2,817,365,160;4,040,806,634
2020-3-2;4.22;4.35;4.16;4.20;2,957,930,221;3,998,552,517
2020-2-2;4.16;4.34;4.07;4.22;3,141,767,219;4,017,311,929
2020-1-2;4.15;4.25;4.09;4.16;2,870,748,186;3,955,723,016
2020-31-1;4.34;4.36;4.04;4.14;3,713,840,781;3,936,220,904
2020-30-1;3.97;4.39;3.91;4.34;4,566,252,853;4,126,427,254
2020-29-1;4.05;4.11;3.98;3.98;3,423,336,508;3,782,949,471
2020-28-1;3.96;4.10;3.90;4.05;3,925,809,248;3,851,064,835
2020-27-1;3.65;4.04;3.65;3.96;3,757,546,389;3,767,795,940
2020-26-1;3.52;3.67;3.46;3.65;2,433,244,477;3,469,183,865
2020-25-1;3.64;3.65;3.52;3.53;2,049,669,643;3,354,544,383
2020-24-1;3.57;3.70;3.38;3.64;3,096,790,654;3,460,887,409
2020-23-1;3.65;3.65;3.51;3.57;2,743,868,030;3,395,646,928
2020-22-1;3.66;3.72;3.61;3.65;2,301,041,589;3,467,325,837
2020-21-1;3.61;3.68;3.57;3.66;2,203,424,938;3,478,981,376
2020-20-1;3.61;3.68;3.50;3.61;2,591,073,497;3,428,417,470
2020-19-1;3.82;3.92;3.49;3.62;3,788,848,657;3,432,470,109
2020-18-1;3.92;3.99;3.75;3.82;4,128,192,850;3,623,635,638
2020-17-1;3.83;4.05;3.77;3.92;5,243,775,637;3,723,425,926
2020-16-1;3.77;3.88;3.56;3.83;4,318,641,349;3,636,545,244
2020-15-1;3.82;3.91;3.61;3.77;5,464,624,786;3,576,523,316
2020-14-1;3.11;3.98;3.11;3.83;5,879,519,788;3,634,155,842
2020-13-1;3.19;3.20;3.07;3.11;2,064,806,455;2,950,326,757
2020-12-1;2.99;3.21;2.95;3.19;2,568,583,191;3,027,171,393
2020-11-1;2.97;3.11;2.94;2.99;2,568,512,720;2,834,147,693
2020-10-1;2.76;2.97;2.67;2.97;2,700,372,562;2,814,060,882
2020-9-1;2.79;2.80;2.71;2.76;1,870,288,711;2,619,967,392
2020-8-1;2.85;2.93;2.75;2.79;2,680,039,142;2,643,949,107
