Date,Opens at:,Closes at:,Highest at:,Lowest at:,Volume Traded:,Market Cap:
5/2/2020,11.43,12.57,11.37,12.34,2630503881,1435093288,
4/2/2020,11.79,11.87,11.21,11.43,2163865570,1329760411,
3/2/2020,11.38,12.16,11.34,11.79,2572871754,1371619968,
2/2/2020,11.52,11.73,11.20,11.39,2230362843,1324661545,
1/2/2020,11.32,11.75,11.13,11.54,2507607885,1342452894,
31/1/2020,12.27,12.27,10.83,11.30,2910829193,1314450265,
30/1/2020,12.29,12.61,11.73,12.27,3429768630,1427664926,
29/1/2020,11.49,12.74,11.39,12.32,4198264074,1432957978,
28/1/2020,10.42,11.62,10.35,11.53,3491046321,1341132567,
27/1/2020,9.14,11.00,9.14,10.42,3089196032,1212558560,
26/1/2020,8.43,9.28,8.27,9.14,1685344365,1063542379,
25/1/2020,8.62,8.62,8.21,8.43,1429389665,980923326,
24/1/2020,8.47,8.81,7.96,8.62,1962297204,1002989145,
23/1/2020,9.34,9.36,8.27,8.46,1878541112,984412223,
22/1/2020,8.95,9.47,8.94,9.34,1893350417,1086129263,
21/1/2020,8.67,9.10,8.56,8.95,1792016776,1040492638,
20/1/2020,8.51,9.08,8.13,8.67,2181334260,1008869825,
19/1/2020,8.32,9.36,7.90,8.51,3071743046,989704405,
18/1/2020,9.58,9.72,8.19,8.33,3191984633,968791719,
17/1/2020,8.37,11.91,8.13,9.52,4699240278,1107259104,
16/1/2020,7.98,8.51,7.34,8.38,2591162120,974440774,
15/1/2020,6.80,8.07,6.67,7.98,3050686528,927726082,
14/1/2020,5.50,6.93,5.49,6.81,2077666220,792063090,
13/1/2020,5.56,5.59,5.36,5.50,817167779,639356726,
12/1/2020,5.58,5.64,5.40,5.56,1012635723,647179998,
11/1/2020,5.33,5.77,5.32,5.58,1355984730,649040790,
10/1/2020,5.22,5.38,4.94,5.34,1230740496,620618601,
9/1/2020,4.97,5.21,4.93,5.21,1014858991,606291870,
8/1/2020,4.84,5.06,4.80,4.97,998712344,578472051,
7/1/2020,5.05,5.06,4.76,4.83,1006600642,562327947,
6/1/2020,4.91,5.12,4.89,5.05,935281051,586930738,
5/1/2020,4.77,5.01,4.77,4.91,929077856,570853943,
4/1/2020,4.57,4.73,4.54,4.73,771746505,549794618,
3/1/2020,4.25,4.63,4.20,4.58,853611122,532277192,
2/1/2020,4.50,4.51,4.20,4.26,692082812,495016399,
1/1/2020,4.50,4.56,4.48,4.50,578070570,523734647,
31/12/2019,4.64,4.74,4.44,4.50,855008050,523055624,
30/12/2019,4.66,4.79,4.58,4.64,889697901,539743657,
29/12/2019,4.42,4.75,4.41,4.66,864464994,541875099,
28/12/2019,4.52,4.56,4.41,4.42,702721446,513827574,
27/12/2019,4.51,4.63,4.43,4.52,1051285597,525868931,
26/12/2019,4.08,4.62,4.08,4.51,1038713351,523599745,
25/12/2019,3.97,4.11,3.95,4.08,651227271,473875245,
24/12/2019,4.01,4.07,3.93,3.96,650962000,460349728,
23/12/2019,4.20,4.24,3.98,4.01,716022188,465487882,
22/12/2019,4.10,4.24,4.07,4.20,738381970,487997539,
21/12/2019,4.06,4.16,4.02,4.10,751856618,476147355,
20/12/2019,3.77,4.12,3.74,4.06,699804591,471440326,
19/12/2019,3.78,3.81,3.66,3.77,545993350,436769052,
18/12/2019,3.48,3.79,3.43,3.78,741670263,438001127,
17/12/2019,3.70,3.72,3.43,3.47,560517229,402637425,
16/12/2019,3.82,3.86,3.66,3.70,555505101,428910253,
15/12/2019,3.82,3.86,3.74,3.82,460833864,443056206,
14/12/2019,3.86,3.88,3.78,3.82,452726314,442700190,
13/12/2019,3.84,3.89,3.82,3.86,511254438,447311461,
12/12/2019,3.78,3.85,3.76,3.84,566866698,444807008,
11/12/2019,3.80,3.84,3.77,3.78,740021397,437462350,
10/12/2019,3.82,3.82,3.74,3.80,437552956,440290052,
9/12/2019,3.92,3.94,3.81,3.82,437567031,441882220,
8/12/2019,3.89,3.97,3.87,3.92,432413867,454012573,
7/12/2019,3.90,3.94,3.88,3.89,443951607,450160871,
6/12/2019,3.82,3.91,3.80,3.89,480712620,450488299,
5/12/2019,3.78,3.94,3.76,3.81,518444076,441107178,
4/12/2019,3.85,3.88,3.74,3.78,499945124,437208469,
3/12/2019,3.86,3.93,3.81,3.85,439965460,444691169,
2/12/2019,3.94,3.98,3.83,3.87,476342423,446985545,
1/12/2019,3.95,4.02,3.85,3.94,510987606,455447008,
30/11/2019,4.10,4.14,3.91,3.96,485334729,457318209,
29/11/2019,3.96,4.11,3.95,4.10,535165008,473035113,
28/11/2019,3.96,4.04,3.92,3.95,517442386,456569601,
27/11/2019,3.89,4.03,3.74,3.96,598461972,457110849,
26/11/2019,3.80,3.92,3.78,3.90,480595473,449861590,
25/11/2019,3.76,3.95,3.58,3.79,681165688,437363049,
24/11/2019,4.05,4.05,3.76,3.76,573155295,433974267,
23/11/2019,3.89,4.07,3.84,4.05,664470921,466738503,
22/11/2019,4.18,4.23,3.61,3.89,834882911,448941757,
21/11/2019,4.37,4.42,4.11,4.18,653833319,481972740,
20/11/2019,4.42,4.49,4.35,4.37,664823714,503568843,
19/11/2019,4.44,4.57,4.32,4.42,778985434,509770187,
18/11/2019,4.65,4.69,4.34,4.44,655761973,511395580,
17/11/2019,4.67,4.72,4.64,4.65,578014319,535563657,
16/11/2019,4.57,4.68,4.55,4.67,558701705,537301698,
15/11/2019,4.79,4.79,4.55,4.57,643961644,525570508,
14/11/2019,4.86,4.87,4.73,4.78,640805147,550418230,
13/11/2019,4.90,4.93,4.85,4.86,618297626,559526187,
12/11/2019,4.90,4.95,4.85,4.91,646259068,564268124,
11/11/2019,5.05,5.08,4.88,4.90,621011038,563626229,
10/11/2019,4.96,5.09,4.95,5.05,746139797,580950062,
9/11/2019,4.99,5.05,4.95,4.96,699334676,570090438,
8/11/2019,5.26,5.29,4.85,4.99,857629851,573875652,
7/11/2019,5.08,5.30,5.07,5.26,911678619,604397269,
6/11/2019,5.04,5.17,5.02,5.09,704728094,584210580,
5/11/2019,4.97,5.09,4.90,5.03,625522699,578172285,
4/11/2019,4.90,4.99,4.88,4.97,572024807,571167928,
3/11/2019,4.94,5.01,4.85,4.90,526681932,562605015,
2/11/2019,4.88,5.02,4.85,4.94,531399924,567231070,
1/11/2019,4.84,4.96,4.82,4.89,593824584,560549679,
31/10/2019,4.82,4.99,4.72,4.84,674303500,555211434,
30/10/2019,4.93,4.97,4.76,4.82,619239698,552553402,
29/10/2019,4.76,5.14,4.76,4.93,711859815,565858366,
28/10/2019,4.80,5.00,4.72,4.77,645944532,546312841,
27/10/2019,4.58,4.87,4.55,4.80,752486783,549877788,
26/10/2019,4.75,5.02,4.52,4.58,904622915,524626567,
25/10/2019,4.30,4.90,4.26,4.75,712500670,544301218,
24/10/2019,4.26,4.38,4.23,4.30,519242450,493006439,
23/10/2019,4.48,4.50,4.12,4.26,581417199,487616262,
22/10/2019,4.60,4.66,4.45,4.48,477586597,512503717,
21/10/2019,4.51,4.66,4.46,4.60,505011469,526682774,
20/10/2019,4.45,4.55,4.41,4.52,391423115,516902514,
19/10/2019,4.44,4.48,4.41,4.45,414370283,508514467,
18/10/2019,4.51,4.54,4.38,4.44,451869519,507296757,
17/10/2019,4.45,4.58,4.42,4.51,500500275,516110569,
