Date,Opens at:,Closes at:,Highest at:,Lowest at:,Volume Traded:,Market Cap:
5/2/2020,0.055890,0.058795,0.055675,0.058236,23670042,785363042,
4/2/2020,0.053643,0.056219,0.053399,0.055911,15316509,752775701,
3/2/2020,0.054187,0.055279,0.053040,0.053552,10608955,719847411,
2/2/2020,0.052677,0.055201,0.051497,0.054187,14742142,727200101,
1/2/2020,0.053205,0.054129,0.052448,0.052642,3654613,705302710,
31/1/2020,0.052881,0.053601,0.051996,0.053284,5277591,712735457,
30/1/2020,0.052050,0.053105,0.051392,0.052898,4999482,706420686,
29/1/2020,0.052345,0.053544,0.051186,0.052038,6290559,693791250,
28/1/2020,0.049066,0.052369,0.048711,0.052324,10067208,696455552,
27/1/2020,0.047444,0.049438,0.047344,0.049085,10449071,652267960,
26/1/2020,0.046274,0.047497,0.045837,0.047408,10759313,628947190,
25/1/2020,0.046739,0.046741,0.045555,0.046223,18470753,610187095,
24/1/2020,0.046516,0.047128,0.045620,0.046690,19098843,616352520,
23/1/2020,0.048088,0.048214,0.045704,0.046485,12561724,613645368,
22/1/2020,0.047529,0.048276,0.047268,0.048093,16110724,633817774,
21/1/2020,0.047140,0.047695,0.046305,0.047638,18718214,622597062,
20/1/2020,0.046458,0.047605,0.046085,0.047157,16776457,616320012,
19/1/2020,0.047318,0.048445,0.046213,0.046373,8578536,606065743,
18/1/2020,0.047103,0.055453,0.046721,0.047318,9781479,618421584,
17/1/2020,0.046084,0.047208,0.045704,0.047138,19425075,616071500,
16/1/2020,0.045575,0.046154,0.044557,0.046119,16061792,601738282,
15/1/2020,0.043625,0.045826,0.042903,0.045578,11692086,593685587,
14/1/2020,0.041202,0.043893,0.041144,0.043701,6228652,568272781,
13/1/2020,0.041090,0.041495,0.040287,0.041209,7392188,534965140,
12/1/2020,0.040253,0.041327,0.040016,0.041116,15933827,532860818,
11/1/2020,0.040513,0.041112,0.039766,0.040249,15910131,520742850,
10/1/2020,0.038687,0.040459,0.038121,0.040459,15037915,522561589,
9/1/2020,0.040261,0.040310,0.038507,0.038741,11042954,499522797,
8/1/2020,0.038219,0.041865,0.038195,0.040192,6041245,517352135,
7/1/2020,0.036624,0.038378,0.036590,0.038219,5271187,491118609,
6/1/2020,0.034715,0.036543,0.034606,0.036529,10044475,468610086,
5/1/2020,0.034798,0.035337,0.034598,0.034618,7626233,443334281,
4/1/2020,0.034598,0.034891,0.034195,0.034689,9840614,443474510,
3/1/2020,0.032965,0.034930,0.032717,0.034666,13517006,442431385,
2/1/2020,0.033973,0.033973,0.032578,0.032858,10238185,418637265,
1/1/2020,0.033576,0.034196,0.033576,0.033973,11329574,431344660,
31/12/2019,0.033923,0.034235,0.033272,0.033576,10647161,426310875,
30/12/2019,0.034791,0.036756,0.033792,0.033930,11412485,430062819,
29/12/2019,0.034011,0.035344,0.033473,0.034875,8313355,441270132,
28/12/2019,0.035564,0.037115,0.033194,0.034017,26571504,429669110,
27/12/2019,0.035538,0.036016,0.034999,0.035576,8576913,443901631,
26/12/2019,0.034921,0.035548,0.034557,0.035339,7033278,440950266,
25/12/2019,0.034918,0.035294,0.034500,0.034920,6155649,435717337,
24/12/2019,0.034993,0.037115,0.034698,0.035003,7171267,436758076,
23/12/2019,0.035673,0.037341,0.034913,0.034993,7398718,436626369,
22/12/2019,0.034099,0.035688,0.034059,0.035659,7934626,444934775,
21/12/2019,0.035397,0.035397,0.033758,0.034099,9484378,425470050,
20/12/2019,0.033331,0.036396,0.032194,0.035397,14276612,440889936,
19/12/2019,0.033246,0.033643,0.032308,0.033331,5710471,414426648,
18/12/2019,0.030572,0.033612,0.030005,0.033246,4378501,412639770,
17/12/2019,0.030874,0.032423,0.030330,0.030572,6872781,378785496,
16/12/2019,0.030607,0.032112,0.030205,0.030874,8094700,381855924,
15/12/2019,0.029833,0.030860,0.029561,0.030607,9832910,377873660,
14/12/2019,0.029487,0.030437,0.029487,0.029833,8915845,367668192,
13/12/2019,0.029321,0.029761,0.029154,0.029495,2620960,362851195,
12/12/2019,0.028997,0.029640,0.028871,0.029506,2702435,362341184,
11/12/2019,0.029101,0.029436,0.028750,0.028996,4636531,355447142,
10/12/2019,0.029617,0.029776,0.028963,0.029124,3322247,356373106,
9/12/2019,0.029670,0.029993,0.029220,0.029581,4753814,361318677,
8/12/2019,0.029783,0.030107,0.029165,0.029670,5900045,361108320,
7/12/2019,0.029800,0.030035,0.029440,0.029783,6380389,362477372,
6/12/2019,0.029608,0.029867,0.029052,0.029767,5876246,361639499,
5/12/2019,0.026308,0.030668,0.026206,0.029639,5870202,359430429,
4/12/2019,0.025989,0.027014,0.025351,0.026243,1447408,317670028,
3/12/2019,0.025869,0.026591,0.025609,0.026051,4625967,314772773,
2/12/2019,0.026467,0.026852,0.025625,0.025869,4190033,312015617,
1/12/2019,0.027352,0.027379,0.026012,0.026469,5390895,318670292,
30/11/2019,0.028358,0.028805,0.026951,0.027213,4755669,327033069,
29/11/2019,0.027251,0.028792,0.027102,0.028357,3876163,340158125,
28/11/2019,0.028233,0.029443,0.027272,0.027409,4179157,328181515,
27/11/2019,0.027463,0.028804,0.026594,0.028306,4811446,338305553,
26/11/2019,0.027811,0.030783,0.027212,0.027680,3850479,330217010,
25/11/2019,0.030270,0.030416,0.027591,0.027750,3458926,330441821,
24/11/2019,0.030879,0.031263,0.029667,0.030245,2496051,358823036,
23/11/2019,0.030084,0.031002,0.029746,0.030850,2204751,366002694,
22/11/2019,0.032155,0.032167,0.029301,0.030096,5446139,356401858,
21/11/2019,0.033721,0.034160,0.031590,0.032155,5231770,380073388,
20/11/2019,0.033815,0.034506,0.032511,0.033726,15380059,397906205,
19/11/2019,0.035906,0.036097,0.033086,0.033815,15953222,397476558,
18/11/2019,0.036247,0.036998,0.035014,0.035852,22644837,421416152,
17/11/2019,0.035418,0.037563,0.035336,0.036210,15593484,424830810,
16/11/2019,0.035678,0.037494,0.034865,0.035418,13515996,414757172,
15/11/2019,0.037192,0.039612,0.035570,0.035782,34487950,418239506,
14/11/2019,0.035039,0.041267,0.034513,0.037192,21372422,433904605,
13/11/2019,0.035299,0.035775,0.034538,0.034973,17437942,407063871,
12/11/2019,0.035181,0.035789,0.034814,0.035182,18448100,408531509,
11/11/2019,0.035846,0.036241,0.034597,0.035068,19830492,406243291,
10/11/2019,0.035139,0.036152,0.034869,0.035847,23804451,413302205,
9/11/2019,0.037304,0.037743,0.034901,0.035133,16305229,405076634,
8/11/2019,0.038347,0.038775,0.036271,0.037469,32991342,430983091,
7/11/2019,0.036338,0.041132,0.036137,0.038295,30794410,439427708,
6/11/2019,0.037037,0.037539,0.036259,0.036341,22637194,416018409,
5/11/2019,0.037428,0.037581,0.036540,0.036982,22236607,422332471,
4/11/2019,0.038034,0.038342,0.036227,0.037428,23562947,426407789,
3/11/2019,0.037461,0.038295,0.036920,0.038023,14471872,432140176,
2/11/2019,0.038100,0.039382,0.037292,0.037504,14861172,425216633,
1/11/2019,0.037018,0.038100,0.035957,0.038100,18757436,430935712,
31/10/2019,0.036088,0.037422,0.035799,0.036997,8513920,417438036,
30/10/2019,0.036607,0.036714,0.035533,0.036107,9478274,406404567,
29/10/2019,0.035761,0.037003,0.035580,0.036559,6121963,410490544,
28/10/2019,0.035702,0.037156,0.035437,0.035859,7849624,401649310,
27/10/2019,0.036420,0.037068,0.035366,0.035694,5273912,398833060,
26/10/2019,0.034653,0.039588,0.034570,0.036420,9963930,405945548,
25/10/2019,0.031635,0.035019,0.029494,0.034654,7375270,385304551,
24/10/2019,0.031849,0.032515,0.031083,0.031635,7729146,350871432,
23/10/2019,0.033622,0.033848,0.031274,0.031741,13516601,351175955,
22/10/2019,0.033567,0.034240,0.033189,0.033744,10739045,372415397,
21/10/2019,0.033585,0.033930,0.032996,0.033473,11895091,368512656,
20/10/2019,0.033067,0.034038,0.033051,0.033541,11591288,368333296,
19/10/2019,0.033261,0.033601,0.032827,0.033052,9917667,362062392,
18/10/2019,0.033585,0.033797,0.032889,0.033136,10406840,362075578,
17/10/2019,0.033495,0.033774,0.032987,0.033651,10253347,366775918,
16/10/2019,0.034295,0.034444,0.032748,0.033563,8761804,364905355,
15/10/2019,0.034388,0.034859,0.034059,0.034295,9554640,371921611,
14/10/2019,0.034656,0.034983,0.034047,0.034432,9247972,372461050,
13/10/2019,0.034597,0.035167,0.033930,0.034656,7249730,373933082,
12/10/2019,0.034686,0.035223,0.034443,0.034591,8342162,372285616,
11/10/2019,0.036479,0.036523,0.034694,0.034694,11665623,363886576,
10/10/2019,0.035844,0.036576,0.035315,0.036476,10847272,382580067,
9/10/2019,0.035201,0.036246,0.034789,0.035851,9790570,376029478,
8/10/2019,0.035667,0.035812,0.034576,0.035201,7909625,369211207,
7/10/2019,0.034468,0.036051,0.034091,0.035677,7485614,374200148,
6/10/2019,0.035134,0.035835,0.034151,0.034439,5660668,361219108,
5/10/2019,0.036476,0.036476,0.035031,0.035152,4977612,368693257,
4/10/2019,0.035823,0.036605,0.035480,0.036476,4791464,382583352,
3/10/2019,0.035506,0.036055,0.035101,0.035867,5636750,376189371,
2/10/2019,0.034773,0.035944,0.033455,0.035505,6888513,372395566,
1/10/2019,0.035723,0.037231,0.034204,0.034773,5619516,363763996,
30/9/2019,0.035164,0.035875,0.034155,0.035677,6861000,372246099,
29/9/2019,0.034922,0.035710,0.034688,0.035164,4548467,365927233,
28/9/2019,0.035200,0.035348,0.034563,0.034889,4418624,362117431,
27/9/2019,0.034271,0.035301,0.033583,0.035176,6162918,364126688,
26/9/2019,0.034550,0.036052,0.034014,0.034364,7108154,354776071,
25/9/2019,0.036001,0.036417,0.033253,0.034587,4861544,356137797,
24/9/2019,0.038411,0.039173,0.035264,0.036121,7492762,370939595,
23/9/2019,0.039602,0.039621,0.037553,0.037602,8007445,385116326,
22/9/2019,0.038562,0.039796,0.038120,0.039590,4517261,404395730,
21/9/2019,0.039368,0.039470,0.038356,0.038578,8669072,393006328,
20/9/2019,0.039429,0.040394,0.039083,0.039397,10215951,400267786,
19/9/2019,0.038979,0.039828,0.038360,0.039435,13750241,392995592,
18/9/2019,0.038183,0.039676,0.037628,0.038965,12337385,387250203,
17/9/2019,0.039049,0.039508,0.037871,0.038442,9980445,381001861,
16/9/2019,0.039050,0.039843,0.038210,0.039033,8837159,385781274,
15/9/2019,0.039531,0.040136,0.038674,0.039106,8568184,385436889,
14/9/2019,0.039170,0.040053,0.038972,0.039744,8028787,390639131,
13/9/2019,0.040318,0.040726,0.038806,0.039194,7714046,384150438,
12/9/2019,0.037795,0.040836,0.037590,0.040394,9786379,394811405,
11/9/2019,0.038104,0.038595,0.037491,0.037795,6310216,368372476,
10/9/2019,0.039225,0.039682,0.037866,0.038104,6945045,370343383,
9/9/2019,0.039464,0.040040,0.038615,0.039099,10549835,378940013,
8/9/2019,0.041209,0.041728,0.039381,0.039464,9985808,381391990,
7/9/2019,0.041946,0.042169,0.039889,0.041209,4152779,385843656,
6/9/2019,0.041676,0.044019,0.039558,0.041329,9711220,386965276,
5/9/2019,0.037864,0.042430,0.036887,0.041676,9760316,390213944,
4/9/2019,0.038380,0.039491,0.036642,0.037884,6180114,354708121,
3/9/2019,0.041079,0.041593,0.035944,0.038349,9222248,359062901,
2/9/2019,0.039051,0.042183,0.038559,0.041009,8470873,383965852,
1/9/2019,0.039028,0.040762,0.038533,0.039092,5838885,366017093,
31/8/2019,0.038643,0.039666,0.038643,0.039057,6413635,365692418,
30/8/2019,0.040010,0.040815,0.038456,0.038672,8735579,362088820,
29/8/2019,0.040880,0.041225,0.039073,0.040010,8025617,374613083,
28/8/2019,0.040860,0.041842,0.039226,0.041027,10657082,384140887,
27/8/2019,0.042407,0.042471,0.040646,0.040772,6329495,380631464,
26/8/2019,0.042203,0.043472,0.042012,0.042282,8159375,393567488,
25/8/2019,0.042971,0.043262,0.041969,0.042203,7468923,391682402,
24/8/2019,0.043165,0.043465,0.042393,0.042971,9786227,397626560,
23/8/2019,0.043667,0.043907,0.042798,0.043108,8379722,397711008,
22/8/2019,0.043124,0.044200,0.042134,0.043667,5103137,401680788,
21/8/2019,0.044569,0.044975,0.042227,0.043204,10646614,396234585,
20/8/2019,0.045755,0.046392,0.043491,0.044677,11499897,408519596,
19/8/2019,0.045728,0.046410,0.044353,0.045755,12484700,417118651,
18/8/2019,0.044602,0.046593,0.043795,0.045806,12872434,416333294,
17/8/2019,0.043771,0.048012,0.043456,0.044330,14165836,401699939,
16/8/2019,0.046753,0.047511,0.043302,0.043924,11123853,396822268,
15/8/2019,0.046750,0.048159,0.043367,0.046755,12455915,421119322,
14/8/2019,0.047132,0.048244,0.045807,0.046750,23392073,419793136,
13/8/2019,0.047307,0.048667,0.046817,0.047043,11363082,421129152,
12/8/2019,0.049412,0.049671,0.047176,0.047210,10840298,421333777,
11/8/2019,0.051373,0.052163,0.049142,0.049260,14742349,430072828,
10/8/2019,0.051381,0.055638,0.050352,0.051322,18436648,446669220,
9/8/2019,0.047173,0.056348,0.046921,0.051381,18628301,445767522,
8/8/2019,0.046493,0.048727,0.044772,0.047401,11934499,409939080,
