Date;Opens at:;Closes at:;Highest at:;Lowest at:;Volume Traded:;Market Cap:
5/2/2020;4.22;4.35;4.15;4.33;219,629,627;824,888,932;
4/2/2020;4.26;4.26;4.02;4.22;199,182,438;804,128,109;
3/2/2020;4.41;4.46;4.25;4.26;169,613,306;812,471,299;
2/2/2020;4.37;4.47;4.25;4.41;166,048,379;840,319,053;
1/2/2020;4.39;4.43;4.30;4.38;153,198,031;834,520,686;
31/1/2020;4.42;4.60;4.30;4.39;199,363,105;837,029,351;
30/1/2020;4.41;4.47;4.30;4.41;193,799,097;841,882,518;
29/1/2020;4.59;4.59;4.36;4.41;195,873,920;841,480,724;
28/1/2020;4.52;4.59;4.48;4.59;201,500,979;874,619,277;
27/1/2020;4.48;4.67;4.43;4.52;166,514,161;861,473,073;
26/1/2020;4.41;4.50;4.37;4.48;131,819,511;854,395,418;
25/1/2020;4.49;4.49;4.37;4.42;132,055,630;841,901,879;
24/1/2020;4.45;4.52;4.35;4.48;161,825,964;855,148,282;
23/1/2020;4.65;4.68;4.38;4.44;157,800,493;847,521,481;
22/1/2020;4.64;4.69;4.57;4.65;131,623,772;887,094,362;
21/1/2020;4.50;4.73;4.46;4.65;138,311,353;886,592,072;
20/1/2020;4.51;4.66;4.42;4.51;142,814,531;859,109,294;
19/1/2020;4.64;4.76;4.39;4.52;195,479,921;861,648,060;
18/1/2020;5.00;5.00;4.62;4.63;218,755,859;883,526,141;
17/1/2020;5.10;5.29;4.77;5.00;314,099,418;953,671,093;
16/1/2020;4.57;5.20;4.20;5.08;292,509,993;967,992,098;
15/1/2020;4.54;4.93;4.40;4.57;256,937,834;871,045,052;
14/1/2020;4.25;4.67;4.24;4.54;218,081,722;865,707,914;
13/1/2020;4.26;4.33;4.13;4.26;112,376,034;811,564,036;
12/1/2020;4.27;4.35;4.23;4.26;114,480,179;812,887,020;
11/1/2020;4.26;4.43;4.26;4.28;134,305,838;815,227,389;
10/1/2020;4.26;4.45;4.21;4.26;180,537,539;813,022,082;
9/1/2020;4.01;4.26;3.96;4.26;137,133,708;812,941,170;
8/1/2020;4.09;4.18;4.00;4.01;128,484,380;764,782,468;
7/1/2020;4.11;4.25;4.07;4.10;136,691,939;781,067,565;
6/1/2020;4.23;4.25;4.05;4.10;139,523,351;782,765,024;
5/1/2020;4.28;4.40;4.22;4.23;115,399,788;806,970,072;
4/1/2020;4.25;4.39;4.23;4.29;90,718,305;817,358,521;
3/1/2020;4.11;4.36;4.02;4.25;138,617,691;810,024,888;
2/1/2020;4.38;4.38;4.08;4.09;111,325,337;780,262,140;
1/1/2020;4.22;4.47;4.20;4.38;107,994,513;835,245,527;
31/12/2019;4.19;4.33;4.13;4.22;109,928,104;804,079,143;
30/12/2019;4.27;4.42;4.15;4.19;126,896,246;799,024,500;
29/12/2019;4.41;4.54;4.25;4.27;125,572,029;813,804,081;
28/12/2019;4.52;4.72;4.41;4.41;117,069,172;840,180,977;
27/12/2019;4.57;4.76;4.49;4.52;132,653,447;861,978,946;
26/12/2019;4.30;4.62;4.30;4.58;139,848,139;873,061,135;
25/12/2019;4.42;4.42;4.21;4.30;104,967,612;820,436,002;
24/12/2019;4.31;4.48;4.26;4.42;127,112,410;843,489,942;
23/12/2019;4.27;4.35;4.17;4.30;133,651,317;820,276,987;
22/12/2019;4.09;4.28;4.08;4.27;119,057,895;814,002,309;
21/12/2019;4.32;4.35;4.07;4.09;111,080,887;779,582,076;
20/12/2019;4.29;4.38;4.19;4.31;142,056,809;822,749,311;
19/12/2019;4.30;4.37;4.08;4.29;149,541,020;817,804,301;
18/12/2019;3.61;4.46;3.60;4.30;260,235,131;820,891,581;
17/12/2019;4.08;4.15;3.57;3.63;216,347,353;691,687,130;
16/12/2019;4.49;4.50;4.06;4.08;207,850,289;777,998,924;
15/12/2019;4.25;4.61;4.20;4.49;230,817,887;857,024,370;
14/12/2019;3.98;4.28;3.98;4.24;191,269,095;809,375,555;
13/12/2019;4.12;4.23;3.98;3.99;205,959,990;760,233,969;
12/12/2019;3.83;4.17;3.79;4.12;230,614,356;786,418,456;
11/12/2019;3.60;3.84;3.59;3.81;199,495,756;727,362,979;
10/12/2019;3.70;3.73;3.55;3.60;207,259,326;686,204,619;
9/12/2019;3.95;3.97;3.68;3.71;216,632,529;706,522,307;
8/12/2019;3.81;4.00;3.74;3.95;201,085,483;752,311,274;
7/12/2019;3.67;3.88;3.66;3.81;197,409,951;725,664,435;
6/12/2019;3.52;3.69;3.51;3.67;182,348,856;699,673,035;
5/12/2019;3.59;3.72;3.49;3.53;181,266,106;673,233,028;
4/12/2019;3.69;3.74;3.46;3.60;188,222,589;686,314,900;
3/12/2019;3.68;3.80;3.65;3.70;144,705,352;705,977,051;
2/12/2019;3.79;3.93;3.62;3.68;151,160,801;702,017,417;
1/12/2019;3.92;3.93;3.66;3.81;175,883,739;726,017,955;
30/11/2019;4.02;4.10;3.83;3.93;160,886,605;748,553,792;
29/11/2019;3.69;4.06;3.68;4.01;183,110,184;765,177,996;
28/11/2019;3.58;3.79;3.53;3.69;145,107,303;703,065,720;
27/11/2019;3.50;3.76;3.31;3.58;179,601,320;683,546,815;
26/11/2019;3.41;3.66;3.39;3.51;166,612,606;669,041,544;
25/11/2019;3.06;3.53;3.00;3.41;184,025,705;650,377,013;
24/11/2019;3.26;3.27;3.03;3.06;267,084,994;582,795,477;
23/11/2019;2.94;3.26;2.87;3.25;235,663,023;620,624,399;
22/11/2019;3.20;3.30;2.68;2.94;165,875,702;561,156,547;
21/11/2019;3.35;3.43;3.13;3.20;150,359,200;609,810,312;
20/11/2019;3.53;3.62;3.34;3.35;136,161,478;638,110,659;
19/11/2019;3.63;3.69;3.37;3.53;138,483,758;672,655,150;
18/11/2019;3.92;3.93;3.58;3.63;148,746,229;692,125,580;
17/11/2019;3.99;4.00;3.85;3.92;119,429,121;748,307,219;
16/11/2019;3.93;4.00;3.88;3.99;120,766,065;760,419,950;
15/11/2019;4.02;4.14;3.86;3.93;159,604,699;748,906,249;
14/11/2019;3.99;4.02;3.82;4.02;145,523,380;765,966,045;
13/11/2019;4.21;4.23;3.98;4.00;174,490,242;761,863,902;
12/11/2019;4.36;4.36;4.05;4.22;190,695,133;804,250,701;
11/11/2019;4.21;4.38;4.07;4.36;187,973,925;831,135,433;
10/11/2019;3.97;4.29;3.91;4.21;175,582,529;802,408,393;
9/11/2019;3.81;3.98;3.81;3.96;138,378,897;755,704,287;
8/11/2019;3.89;4.03;3.68;3.81;162,184,081;726,952,590;
7/11/2019;3.76;3.90;3.66;3.89;138,168,547;741,610,195;
6/11/2019;3.76;3.87;3.69;3.76;119,134,299;717,109,050;
5/11/2019;3.62;3.81;3.54;3.75;198,537,684;715,727,237;
4/11/2019;3.39;3.66;3.35;3.62;167,015,305;691,042,409;
3/11/2019;3.43;3.46;3.31;3.40;134,586,294;647,561,219;
2/11/2019;3.27;3.47;3.26;3.43;146,612,238;654,660,477;
1/11/2019;3.22;3.31;3.14;3.27;141,989,599;623,512,129;
31/10/2019;3.03;3.30;3.03;3.21;123,316,945;611,175,820;
30/10/2019;3.15;3.20;2.97;3.04;159,635,853;578,792,666;
29/10/2019;3.11;3.20;3.08;3.16;174,949,603;601,809,776;
28/10/2019;3.20;3.33;3.08;3.11;201,010,232;593,950,561;
27/10/2019;3.09;3.29;2.98;3.20;202,467,915;610,752,427;
26/10/2019;3.02;3.27;3.01;3.09;247,034,524;588,786,104;
25/10/2019;2.85;3.11;2.79;3.02;202,151,948;575,105,054;
24/10/2019;2.69;2.87;2.66;2.85;121,047,890;543,146,436;
23/10/2019;2.88;2.91;2.60;2.69;154,724,341;512,752,506;
22/10/2019;2.99;3.02;2.87;2.88;139,307,790;548,912,904;
21/10/2019;2.91;3.01;2.85;2.99;138,325,074;570,027,385;
20/10/2019;2.76;2.94;2.71;2.90;123,509,827;553,775,159;
19/10/2019;2.75;2.81;2.71;2.76;123,206,076;526,511,272;
18/10/2019;2.92;2.93;2.72;2.75;139,559,230;525,121,084;
17/10/2019;2.85;2.96;2.76;2.92;130,110,997;556,695,074;
16/10/2019;2.95;2.96;2.72;2.85;145,829,662;543,831,446;
15/10/2019;3.10;3.15;2.91;2.95;159,637,351;562,462,768;
14/10/2019;2.88;3.12;2.88;3.10;160,775,420;591,511,951;
13/10/2019;2.84;2.92;2.80;2.88;138,183,164;549,067,250;
12/10/2019;2.84;2.87;2.80;2.84;130,032,625;541,481,340;
11/10/2019;2.91;2.92;2.75;2.84;147,536,935;540,687,492;
10/10/2019;2.91;3.00;2.74;2.90;170,166,340;553,772,569;
9/10/2019;2.91;3.02;2.84;2.91;133,198,475;555,297,981;
8/10/2019;2.91;3.06;2.84;2.91;143,729,013;555,690,359;
7/10/2019;2.67;2.95;2.59;2.91;116,735,139;554,766,043;
6/10/2019;2.75;2.77;2.61;2.67;99,964,727;508,541,850;
5/10/2019;2.59;2.77;2.56;2.75;105,799,482;523,752,708;
4/10/2019;2.58;2.62;2.50;2.59;93,827,667;493,133,634;
3/10/2019;2.61;2.66;2.52;2.58;112,791,728;492,272,917;
2/10/2019;2.55;2.62;2.44;2.60;116,200,106;496,552,363;
1/10/2019;2.65;2.65;2.49;2.55;118,931,113;486,332,754;
30/9/2019;2.21;2.65;2.19;2.63;136,780,367;501,571,355;
29/9/2019;2.28;2.29;2.12;2.21;106,690,215;420,753,478;
28/9/2019;2.29;2.31;2.21;2.28;96,812,584;435,186,653;
27/9/2019;2.22;2.29;2.17;2.29;113,206,441;436,934,670;
26/9/2019;2.30;2.35;2.09;2.22;140,448,613;423,708,570;
25/9/2019;2.23;2.42;2.16;2.30;177,658,028;439,268,852;
24/9/2019;2.58;2.66;2.09;2.24;188,249,041;427,485,956;
23/9/2019;2.92;2.92;2.58;2.58;129,682,436;491,987,769;
22/9/2019;3.07;3.08;2.81;2.91;140,188,584;555,000,113;
21/9/2019;3.18;3.29;3.04;3.07;146,995,495;586,276,849;
20/9/2019;3.14;3.26;3.08;3.18;148,024,573;607,338,024;
19/9/2019;3.31;3.31;2.94;3.13;184,157,575;596,904,964;
18/9/2019;3.31;3.40;3.26;3.31;163,496,342;631,189,165;
17/9/2019;3.33;3.44;3.22;3.32;177,431,367;633,548,174;
16/9/2019;3.44;3.56;3.18;3.32;180,803,360;632,979,343;
15/9/2019;3.11;3.54;3.10;3.45;189,272,974;657,552,909;
14/9/2019;3.17;3.24;3.00;3.11;173,629,172;592,230,157;
13/9/2019;3.08;3.30;3.01;3.17;199,583,060;605,163,896;
12/9/2019;2.58;3.20;2.51;3.08;192,961,557;587,383,710;
11/9/2019;2.60;2.70;2.42;2.57;144,069,231;490,934,316;
10/9/2019;2.74;2.93;2.54;2.59;189,092,871;494,703,405;
9/9/2019;2.73;2.96;2.45;2.74;225,072,497;522,540,638;
8/9/2019;2.18;2.75;2.16;2.73;196,201,839;521,361,739;
7/9/2019;2.05;2.29;2.04;2.18;146,368,019;414,893,698;
6/9/2019;1.95;2.25;1.94;2.04;133,395,732;389,639,446;
5/9/2019;2.05;2.05;1.91;1.95;113,255,491;371,475,988;
4/9/2019;2.16;2.16;2.03;2.05;107,148,222;390,494,353;
3/9/2019;2.12;2.22;2.12;2.16;127,964,524;412,176,574;
2/9/2019;2.14;2.17;2.07;2.12;117,415,985;404,413,303;
1/9/2019;2.04;2.23;2.01;2.14;110,298,864;407,758,260;
31/8/2019;2.16;2.17;2.01;2.04;107,053,453;388,605,920;
30/8/2019;2.17;2.23;2.11;2.16;99,188,202;411,781,269;
29/8/2019;2.33;2.33;2.16;2.17;144,367,075;414,695,846;
28/8/2019;2.57;2.60;2.32;2.32;131,788,399;442,743,836;
27/8/2019;2.62;2.64;2.50;2.56;123,595,893;488,442,591;
26/8/2019;2.63;2.70;2.59;2.62;103,446,660;500,489,628;
25/8/2019;2.70;2.74;2.61;2.62;104,651,642;499,349,869;
24/8/2019;2.70;2.74;2.61;2.70;106,694,697;514,937,893;
23/8/2019;2.72;2.76;2.59;2.70;129,721,582;515,720,515;
22/8/2019;2.65;2.74;2.57;2.72;102,851,813;518,612,507;
21/8/2019;2.87;2.88;2.60;2.65;130,044,350;505,698,204;
20/8/2019;2.91;2.93;2.78;2.89;120,939,299;550,687,053;
19/8/2019;2.99;2.99;2.81;2.91;120,726,904;554,912,060;
18/8/2019;2.91;2.99;2.87;2.98;104,947,554;567,604,545;
17/8/2019;2.95;2.95;2.84;2.90;100,937,146;553,141,768;
16/8/2019;2.95;3.02;2.83;2.92;128,767,169;556,632,355;
15/8/2019;2.84;2.99;2.72;2.95;118,159,631;562,660,160;
14/8/2019;3.25;3.28;2.84;2.84;143,341,869;542,120,033;
13/8/2019;3.33;3.34;3.15;3.25;130,277,229;619,723,678;
12/8/2019;3.53;3.64;3.33;3.33;136,927,300;635,407,748;
11/8/2019;3.34;3.53;3.29;3.52;119,824,702;672,076,520;
10/8/2019;3.14;3.37;3.14;3.34;131,283,352;636,214,333;
9/8/2019;3.27;3.31;3.09;3.14;121,369,452;598,683,603;
8/8/2019;3.50;3.50;3.16;3.26;129,180,828;622,079,898;
7/8/2019;3.55;3.68;3.47;3.50;127,921,987;666,501,619;
6/8/2019;3.79;3.80;3.51;3.55;126,484,099;677,875,125;
5/8/2019;3.61;3.87;3.61;3.79;132,794,918;722,946,974;
4/8/2019;3.70;3.78;3.59;3.61;90,515,499;688,488,764;
3/8/2019;3.66;3.79;3.64;3.71;94,736,604;706,528,201;
