Date;Opens at:;Closes at:;Highest at:;Lowest at:;Volume Traded:;Market Cap:
5/2/2020;0.331050;0.340568;0.322905;0.325960;33,013,629;906,015,177;
4/2/2020;0.333863;0.342607;0.316049;0.331050;36,298,174;920,163,747;
3/2/2020;0.308493;0.368646;0.307385;0.333813;55,125,225;927,844,292;
2/2/2020;0.304773;0.317931;0.294044;0.308493;18,289,539;857,466,760;
1/2/2020;0.294037;0.305175;0.289756;0.305092;11,189,601;848,011,089;
31/1/2020;0.293581;0.294920;0.281905;0.293789;13,380,056;816,595,054;
30/1/2020;0.302631;0.302631;0.280513;0.293486;25,879,085;815,752,021;
29/1/2020;0.285761;0.309012;0.281714;0.303037;29,874,958;842,299,719;
28/1/2020;0.251262;0.287526;0.248988;0.285681;21,035,859;794,060,378;
27/1/2020;0.244551;0.252819;0.244367;0.251298;9,055,223;698,491,574;
26/1/2020;0.234112;0.244977;0.231744;0.244944;7,492,007;680,829,915;
25/1/2020;0.237254;0.237256;0.229612;0.234252;6,757,499;651,111,893;
24/1/2020;0.235863;0.239813;0.226851;0.237077;7,993,607;658,962,316;
23/1/2020;0.249478;0.249675;0.231304;0.235406;10,908,245;654,318,670;
22/1/2020;0.250163;0.253311;0.244704;0.249577;8,834,498;693,707,307;
21/1/2020;0.251700;0.254135;0.241400;0.250408;11,064,499;696,016,146;
20/1/2020;0.246260;0.256368;0.237141;0.252161;12,515,268;700,889,928;
19/1/2020;0.246548;0.248307;0.227933;0.246609;17,651,095;685,457,699;
18/1/2020;0.238949;0.254323;0.231790;0.247223;19,224,851;687,163,086;
17/1/2020;0.227761;0.256099;0.223640;0.239021;22,593,603;664,366,665;
16/1/2020;0.232269;0.233435;0.217546;0.227779;11,991,427;633,117,787;
15/1/2020;0.210307;0.232289;0.207146;0.232145;17,181,226;645,255,195;
14/1/2020;0.189047;0.216309;0.188802;0.210312;13,990,556;584,569,640;
13/1/2020;0.191327;0.192020;0.186886;0.188860;3,739,364;524,941,923;
12/1/2020;0.191790;0.193092;0.189307;0.191167;4,124,155;531,353,411;
11/1/2020;0.189740;0.194375;0.184793;0.191826;8,003,701;533,184,837;
10/1/2020;0.178181;0.189612;0.171467;0.189612;7,247,988;527,032,168;
9/1/2020;0.181139;0.182257;0.176155;0.178258;5,403,819;495,474,461;
8/1/2020;0.186130;0.190445;0.178838;0.181100;8,308,095;503,373,468;
7/1/2020;0.183048;0.197619;0.183048;0.185702;10,842,185;516,165,138;
6/1/2020;0.173108;0.185326;0.172767;0.182896;9,109,465;508,365,996;
5/1/2020;0.174444;0.175379;0.169002;0.173044;5,642,017;480,979,948;
4/1/2020;0.167035;0.174714;0.164910;0.174213;5,312,939;484,229,599;
3/1/2020;0.158446;0.167603;0.156091;0.166859;4,989,336;463,789,806;
2/1/2020;0.161114;0.161500;0.157615;0.158436;3,753,023;440,377,785;
1/1/2020;0.160043;0.164204;0.159054;0.161058;3,981,429;447,666,002;
31/12/2019;0.160693;0.163213;0.158343;0.160135;4,447,022;445,100,954;
30/12/2019;0.168580;0.168580;0.158365;0.160764;5,928,460;446,849,686;
29/12/2019;0.163713;0.170952;0.161718;0.168519;5,062,912;468,403,923;
28/12/2019;0.162949;0.164642;0.161533;0.163544;4,433,209;454,576,148;
27/12/2019;0.158789;0.163999;0.158321;0.163111;4,769,091;453,372,530;
26/12/2019;0.157504;0.164835;0.156590;0.158789;4,551,058;441,357,917;
25/12/2019;0.157010;0.157827;0.153084;0.157504;3,286,573;437,787,222;
24/12/2019;0.162426;0.162810;0.156301;0.157010;4,334,112;436,413,507;
23/12/2019;0.166559;0.166847;0.159962;0.162561;4,410,170;451,844,103;
22/12/2019;0.163335;0.168050;0.160197;0.166559;5,887,041;462,954,457;
21/12/2019;0.165362;0.177812;0.161988;0.163329;8,867,046;453,976,929;
20/12/2019;0.164387;0.165233;0.159452;0.164922;6,941,497;458,406,747;
19/12/2019;0.159280;0.166360;0.152173;0.164387;10,565,920;456,919,243;
18/12/2019;0.158770;0.161632;0.151391;0.159214;27,264,505;442,539,320;
17/12/2019;0.174812;0.176313;0.154123;0.159694;14,198,585;443,874,924;
16/12/2019;0.188212;0.189748;0.174677;0.174812;7,676,715;485,894,145;
15/12/2019;0.190490;0.191610;0.183704;0.188382;4,818,762;523,613,439;
14/12/2019;0.194239;0.194797;0.187908;0.190683;4,011,446;530,009,510;
13/12/2019;0.194701;0.195186;0.190310;0.194403;5,402,566;540,348,263;
12/12/2019;0.198682;0.199861;0.193708;0.194711;4,578,607;541,204,234;
11/12/2019;0.198702;0.200946;0.196927;0.198682;4,407,412;552,242,426;
10/12/2019;0.203448;0.203734;0.196229;0.198782;8,020,281;552,521,060;
9/12/2019;0.207671;0.211145;0.202380;0.203468;6,557,103;565,546,534;
8/12/2019;0.205967;0.208811;0.203609;0.207669;4,031,580;577,221,982;
7/12/2019;0.205595;0.208503;0.204737;0.206012;4,544,372;572,617,120;
6/12/2019;0.205580;0.206853;0.201945;0.205380;6,176,885;570,859,397;
5/12/2019;0.198140;0.208612;0.197462;0.205403;6,922,215;570,923,999;
4/12/2019;0.204223;0.207076;0.196164;0.198277;7,327,204;551,116,744;
3/12/2019;0.206849;0.208870;0.200345;0.204252;7,216,499;567,723,945;
2/12/2019;0.206360;0.211917;0.199225;0.206849;6,186,412;574,942,429;
1/12/2019;0.210334;0.210407;0.200508;0.206595;5,360,256;574,237,707;
30/11/2019;0.220373;0.220846;0.206300;0.210308;6,154,321;584,558,791;
29/11/2019;0.218008;0.220408;0.213670;0.220378;6,281,257;612,546,432;
28/11/2019;0.213878;0.222328;0.213707;0.218028;5,866,098;606,014,691;
27/11/2019;0.212423;0.215373;0.203480;0.213583;9,468,313;593,661,735;
26/11/2019;0.209825;0.215678;0.205322;0.213102;6,141,011;592,322,543;
25/11/2019;0.203707;0.215644;0.191451;0.209938;34,664,367;583,529,225;
24/11/2019;0.218045;0.218276;0.203613;0.203613;10,929,515;565,947,119;
23/11/2019;0.209868;0.219291;0.205056;0.217941;7,925,277;605,773,504;
22/11/2019;0.227539;0.229604;0.191750;0.209722;16,698,565;582,927,341;
21/11/2019;0.241909;0.242125;0.223638;0.227539;9,444,816;632,450,814;
20/11/2019;0.247318;0.249013;0.240725;0.242027;6,239,493;672,719,995;
19/11/2019;0.253257;0.255570;0.241064;0.247318;8,245,757;687,427,124;
18/11/2019;0.259067;0.263522;0.249010;0.253146;9,417,936;703,625,872;
17/11/2019;0.257906;0.262994;0.257031;0.259137;8,438,805;720,280,246;
16/11/2019;0.258537;0.259188;0.256352;0.257906;8,705,853;716,857,212;
15/11/2019;0.265213;0.265544;0.254550;0.258530;10,229,206;718,591,532;
14/11/2019;0.258708;0.270240;0.257709;0.265113;12,810,913;736,888,966;
13/11/2019;0.260530;0.262222;0.258600;0.258613;5,651,130;718,822,805;
12/11/2019;0.258540;0.263812;0.258446;0.260642;6,650,279;724,461,610;
11/11/2019;0.267699;0.268689;0.257512;0.258467;7,457,986;718,417,226;
10/11/2019;0.266762;0.269842;0.264504;0.267736;8,344,804;744,181,542;
9/11/2019;0.264968;0.267240;0.263631;0.266753;4,847,599;741,448,816;
8/11/2019;0.272181;0.272424;0.261142;0.264890;8,382,047;736,268,688;
7/11/2019;0.280184;0.282990;0.265893;0.272344;7,598,998;756,987,916;
6/11/2019;0.276644;0.284567;0.275608;0.280195;6,850,667;778,810,032;
5/11/2019;0.274708;0.277751;0.271288;0.276853;4,769,056;769,520,238;
4/11/2019;0.269896;0.274708;0.268919;0.274708;5,207,117;763,558,419;
3/11/2019;0.273953;0.276215;0.269410;0.269963;4,683,883;750,369,699;
2/11/2019;0.274462;0.277679;0.273125;0.273877;4,225,874;761,249,139;
1/11/2019;0.273015;0.276361;0.269795;0.274222;6,016,959;762,207,969;
31/10/2019;0.283300;0.284243;0.268540;0.273019;9,128,292;758,863,964;
30/10/2019;0.280872;0.293882;0.275955;0.283320;11,824,356;787,495,559;
29/10/2019;0.285305;0.290147;0.278251;0.280638;12,581,800;780,041,475;
28/10/2019;0.273520;0.303833;0.270263;0.285335;24,763,553;793,098,305;
27/10/2019;0.268324;0.276108;0.259411;0.273617;13,641,391;760,527,581;
26/10/2019;0.272367;0.279472;0.262106;0.268433;15,306,978;746,116,329;
25/10/2019;0.256239;0.273367;0.252912;0.272255;10,058,740;756,739,655;
24/10/2019;0.253577;0.257316;0.252488;0.256239;4,661,186;712,224,801;
23/10/2019;0.270783;0.274607;0.247082;0.253577;9,421,354;704,825,824;
22/10/2019;0.270247;0.276343;0.268691;0.270907;7,566,268;752,993,131;
21/10/2019;0.270838;0.271968;0.265756;0.270333;5,996,037;751,398,062;
20/10/2019;0.269197;0.274052;0.268217;0.270887;3,002,891;752,938,604;
19/10/2019;0.272089;0.274012;0.268561;0.269150;2,934,963;748,109,970;
18/10/2019;0.277802;0.279198;0.263406;0.271731;5,092,290;755,284,659;
17/10/2019;0.272909;0.280485;0.270501;0.277802;3,997,205;772,160,367;
16/10/2019;0.280828;0.282531;0.267207;0.273179;5,142,227;759,309,689;
15/10/2019;0.284925;0.286955;0.276948;0.280802;5,722,668;780,498,554;
14/10/2019;0.278966;0.284663;0.278131;0.284663;7,887,384;791,230,591;
13/10/2019;0.269838;0.286013;0.269394;0.278966;7,376,923;775,394,347;
12/10/2019;0.271707;0.276666;0.268741;0.269868;5,713,986;750,105,550;
11/10/2019;0.277200;0.278442;0.269180;0.271703;5,686,130;755,206,506;
10/10/2019;0.280419;0.286040;0.270321;0.277306;7,709,645;770,781,665;
9/10/2019;0.277035;0.281652;0.270251;0.280652;10,688,915;780,080,094;
8/10/2019;0.283904;0.287834;0.271661;0.277035;11,049,093;770,026,889;
7/10/2019;0.270474;0.284725;0.268245;0.284115;9,482,792;789,707,514;
6/10/2019;0.276310;0.277107;0.267778;0.270331;6,469,440;751,393,370;
5/10/2019;0.271706;0.279690;0.269358;0.276467;7,934,691;768,448,467;
4/10/2019;0.272270;0.274215;0.267271;0.271784;4,533,927;755,432,532;
3/10/2019;0.281526;0.281844;0.268540;0.272148;4,058,275;756,443,989;
2/10/2019;0.270920;0.281827;0.269088;0.281659;5,972,126;782,880,769;
1/10/2019;0.266210;0.277662;0.264150;0.270920;5,869,940;753,029,606;
30/9/2019;0.262290;0.267308;0.253310;0.266231;5,786,318;739,996,679;
29/9/2019;0.266651;0.266973;0.256229;0.262271;3,358,639;728,991,375;
28/9/2019;0.266214;0.273086;0.262662;0.266681;3,508,094;741,246,595;
27/9/2019;0.268075;0.269825;0.257497;0.266413;6,916,588;740,502,207;
26/9/2019;0.262621;0.269780;0.248985;0.268173;9,037,700;745,394,639;
25/9/2019;0.254993;0.271691;0.241967;0.262344;9,996,247;729,194,088;
24/9/2019;0.278542;0.284853;0.246183;0.254993;11,599,279;708,759,794;
23/9/2019;0.279203;0.295017;0.277692;0.278718;7,028,350;774,705,401;
22/9/2019;0.294232;0.294232;0.275907;0.279365;5,563,087;776,502,877;
21/9/2019;0.313473;0.314939;0.291530;0.294232;8,844,658;817,826,798;
20/9/2019;0.298099;0.314602;0.286747;0.312740;10,996,208;869,270,342;
19/9/2019;0.298180;0.301979;0.274614;0.298102;10,469,838;828,584,044;
18/9/2019;0.263271;0.314284;0.262492;0.297943;13,018,764;828,140,512;
17/9/2019;0.249494;0.265757;0.248521;0.263101;5,356,221;731,297,166;
16/9/2019;0.249622;0.255386;0.243887;0.249359;3,773,710;693,100,364;
