Date,Opens at:,Closes at:,Highest at:,Lowest at:,Volume Traded:,Market Cap:
5/2/2020,1.02,1.04,1.02,1.03,468527693,435925186,
4/2/2020,1.03,1.03,1.02,1.02,382499609,441022144,
3/2/2020,1.03,1.03,1.02,1.03,387993602,443211063,
2/2/2020,1.03,1.04,1.02,1.03,384098792,445776906,
1/2/2020,1.03,1.04,1.02,1.03,313660538,446957875,
31/1/2020,1.04,1.05,1.02,1.03,361818896,449187881,
30/1/2020,1.02,1.05,1.02,1.04,316332808,453218427,
29/1/2020,1.02,1.03,1.01,1.03,381758732,452003908,
28/1/2020,1.02,1.03,1.00,1.02,502474594,452031883,
27/1/2020,1.01,1.02,1.01,1.02,393996733,449464491,
26/1/2020,1.00,1.01,0.997740,1.01,292385181,448606932,
25/1/2020,1.00,1.00,0.998438,1.00,265326087,444663109,
24/1/2020,1.00,1.00,0.994215,1.00,315274054,444875789,
23/1/2020,1.00,1.00,0.995977,1.00,320079261,444027176,
22/1/2020,1.00,1.01,0.998714,1.00,309750921,452956644,
21/1/2020,1.00,1.00,0.997227,1.00,311559856,441024990,
20/1/2020,0.997347,1.01,0.996485,1.00,343768616,438632395,
19/1/2020,1.01,1.03,0.993860,0.997290,423373607,436777175,
18/1/2020,1.00,1.01,0.999839,1.01,413666367,440548199,
17/1/2020,1.00,1.01,0.998318,1.00,479116540,438515037,
16/1/2020,1.00,1.01,0.998993,1.00,430662074,445192682,
15/1/2020,1.00,1.03,0.992192,1.00,493412531,446693203,
14/1/2020,1.01,1.02,0.994486,1.00,469120389,428644821,
13/1/2020,1.00,1.01,1.00,1.00,343177235,444665325,
12/1/2020,1.00,1.01,0.997059,1.00,330297498,447479872,
11/1/2020,1.00,1.01,0.995334,1.00,287180029,447244754,
10/1/2020,1.01,1.02,0.994234,1.00,350097573,444501900,
9/1/2020,1.00,1.01,0.997040,1.01,307584171,460038834,
8/1/2020,0.999983,1.01,0.992388,1.00,410892668,463207216,
7/1/2020,1.00,1.01,0.997817,0.999500,400308774,478340351,
6/1/2020,1.01,1.02,0.999635,1.00,383494516,511424007,
5/1/2020,1.01,1.02,1.00,1.01,334597544,518272577,
4/1/2020,1.00,1.02,1.00,1.01,334494308,518956313,
3/1/2020,1.01,1.01,0.988455,1.01,374792167,517055937,
2/1/2020,1.00,1.01,1.00,1.01,318268134,517456713,
1/1/2020,1.00,1.01,1.00,1.00,242586528,516992415,
31/12/2019,1.01,1.01,1.00,1.00,267041315,518524366,
30/12/2019,1.01,1.01,1.00,1.01,391410188,521352612,
29/12/2019,1.00,1.03,0.999790,1.01,277058217,520939799,
28/12/2019,1.01,1.01,1.00,1.00,264015986,518666293,
27/12/2019,1.01,1.02,0.997283,1.01,273234537,522362993,
26/12/2019,1.01,1.02,0.996978,1.01,220889371,518286276,
25/12/2019,1.01,1.02,1.00,1.01,275322378,522637012,
24/12/2019,1.00,1.03,0.999744,1.01,228681222,521854515,
23/12/2019,1.00,1.01,0.995127,1.00,318337304,520339586,
22/12/2019,1.01,1.01,0.998062,1.00,304211343,522378469,
21/12/2019,1.01,1.01,1.00,1.01,318647354,524904660,
20/12/2019,1.01,1.01,1.00,1.01,286324794,523978794,
19/12/2019,1.01,1.02,0.996854,1.01,328027662,513281417,
18/12/2019,0.997872,1.03,0.993737,1.01,502511827,476511547,
17/12/2019,1.00,1.02,0.994054,0.998726,343419650,459604776,
16/12/2019,1.01,1.02,1.00,1.00,267804554,467012937,
15/12/2019,1.01,1.01,0.997125,1.01,245259537,476226732,
14/12/2019,1.00,1.01,1.00,1.01,219599263,475565226,
13/12/2019,1.01,1.01,1.00,1.00,234842837,473685132,
12/12/2019,1.00,1.01,0.995326,1.01,254328990,477440913,
11/12/2019,1.01,1.01,1.00,1.00,220178877,475096190,
10/12/2019,1.01,1.01,1.00,1.01,337364122,481975625,
9/12/2019,1.01,1.01,0.996310,1.01,289633306,485716419,
8/12/2019,1.01,1.01,1.00,1.01,343379311,464755635,
7/12/2019,1.00,1.01,1.00,1.01,303307059,465947064,
6/12/2019,1.01,1.01,0.998641,1.00,303997788,464937222,
5/12/2019,1.00,1.01,0.995629,1.01,278757472,467344559,
4/12/2019,1.00,1.01,0.989386,1.00,266815750,465046679,
3/12/2019,0.998794,1.01,0.988956,1.00,220114424,446025602,
2/12/2019,0.996619,1.01,0.987113,0.998794,236676758,456524672,
1/12/2019,0.997869,1.01,0.981535,0.996450,195974260,454728031,
30/11/2019,1.00,1.01,0.991826,0.997658,225316662,454059448,
29/11/2019,1.01,1.02,0.992705,1.00,243248443,454235200,
28/11/2019,1.01,1.03,1.00,1.01,297912088,458276296,
27/11/2019,1.00,1.03,0.985044,1.01,320421509,467956602,
26/11/2019,1.00,1.02,0.996793,1.01,253662665,462535121,
25/11/2019,1.01,1.02,0.987095,1.00,292879020,457965523,
24/11/2019,1.01,1.02,1.00,1.01,205327943,447418651,
23/11/2019,1.00,1.02,0.998939,1.01,278078472,448722471,
22/11/2019,1.00,1.02,0.992034,1.00,360936425,441973715,
21/11/2019,1.01,1.02,1.00,1.00,273585206,443598617,
20/11/2019,1.01,1.02,1.00,1.01,243202937,433657939,
19/11/2019,1.01,1.03,1.00,1.01,270511693,444180150,
18/11/2019,1.01,1.02,1.01,1.01,318741886,447778601,
17/11/2019,1.01,1.02,1.00,1.01,348968468,445015572,
16/11/2019,1.00,1.01,1.00,1.01,196265977,444955987,
15/11/2019,1.01,1.02,0.998942,1.00,217386443,439849170,
14/11/2019,1.00,1.01,1.00,1.01,206724419,442184866,
13/11/2019,1.00,1.01,1.00,1.00,221641563,449163234,
12/11/2019,1.00,1.01,0.997958,1.00,231927404,450783452,
11/11/2019,1.00,1.01,0.999296,1.00,249046403,452216839,
10/11/2019,1.00,1.01,0.987540,1.00,208138709,452610559,
9/11/2019,1.00,1.01,0.999435,0.999908,181125623,452131191,
8/11/2019,1.01,1.01,0.999713,1.00,274189415,453928210,
7/11/2019,1.00,1.01,0.999596,1.01,239841337,458718478,
6/11/2019,1.00,1.01,0.999218,1.00,254889570,458947113,
5/11/2019,1.00,1.01,0.995417,1.00,294667615,469576715,
4/11/2019,1.00,1.01,0.991435,1.00,310602968,447664364,
3/11/2019,1.00,1.01,0.997735,1.00,208342328,468534831,
2/11/2019,1.00,1.01,0.995357,1.00,222754025,469892325,
1/11/2019,1.01,1.01,0.998652,1.00,244379930,455485474,
31/10/2019,1.00,1.04,0.996350,1.00,238812359,464314215,
30/10/2019,1.00,1.01,0.998396,1.00,278236712,467478637,
29/10/2019,1.00,1.01,0.992215,0.999635,275012859,470545187,
28/10/2019,1.00,1.01,0.974623,1.00,279804543,473738411,
27/10/2019,0.998996,1.01,0.973098,1.00,259625515,475568092,
26/10/2019,1.00,1.01,0.967926,0.998885,325436453,480409109,
25/10/2019,1.01,1.01,0.974553,1.00,269128282,481796816,
24/10/2019,1.00,1.01,1.00,1.01,169699224,481101880,
23/10/2019,1.00,1.04,1.00,1.00,202607602,464430442,
22/10/2019,1.00,1.01,1.00,1.00,157055490,462166935,
21/10/2019,1.00,1.00,0.998845,1.00,204345569,477558147,
20/10/2019,1.00,1.01,0.990779,1.00,142910830,474459294,
19/10/2019,1.00,1.01,0.996503,1.00,134004655,476133073,
18/10/2019,1.00,1.02,1.00,1.00,167707575,474714058,
17/10/2019,1.00,1.01,1.00,1.00,163371782,474582523,
16/10/2019,1.00,1.01,0.999840,1.00,273003369,475595775,
15/10/2019,1.00,1.01,0.996476,1.00,225464591,471057041,
14/10/2019,1.00,1.01,0.994080,1.00,190937613,468218814,
13/10/2019,1.00,1.02,0.999925,1.00,141554667,468541249,
12/10/2019,1.01,1.01,0.999284,1.00,155919006,468394318,
11/10/2019,1.00,1.01,0.990913,1.01,212197499,470359604,
10/10/2019,1.00,1.00,0.995636,1.00,219588027,452018483,
9/10/2019,1.01,1.01,0.991701,1.00,213518684,461621063,
8/10/2019,1.00,1.01,0.998372,1.01,182457962,468318970,
7/10/2019,1.01,1.02,0.996638,1.01,183256904,471937627,
6/10/2019,0.998916,1.02,0.996903,1.01,154064852,480030266,
5/10/2019,1.01,1.01,0.996109,0.998863,131141182,473493991,
4/10/2019,1.00,1.01,1.00,1.01,154530799,476792469,
3/10/2019,1.00,1.01,0.997937,1.00,217085171,474684574,
2/10/2019,1.00,1.01,0.998628,1.00,170359263,456240793,
1/10/2019,1.00,1.01,0.995453,1.00,139974502,426469952,
30/9/2019,1.00,1.01,0.996290,1.00,176210397,427374808,
29/9/2019,1.00,1.02,0.999218,1.00,114528745,429610243,
28/9/2019,1.01,1.01,0.995803,1.00,118395271,429395143,
27/9/2019,1.01,1.01,0.999578,1.01,157011691,427060556,
26/9/2019,1.00,1.02,0.997547,1.01,198067687,419803976,
25/9/2019,1.00,1.01,0.997773,1.00,216810339,417470014,
24/9/2019,1.00,1.06,0.991236,1.00,289013278,389211511,
23/9/2019,1.00,1.02,0.999805,1.00,141559451,389889240,
22/9/2019,1.00,1.01,0.998308,1.00,122958976,392999541,
21/9/2019,1.00,1.01,0.999548,1.00,159348829,393751351,
20/9/2019,1.00,1.01,0.998869,1.00,192695287,393703322,
19/9/2019,1.00,1.03,0.990057,0.998835,232010536,399476337,
18/9/2019,1.00,1.01,1.00,1.00,166194614,404626236,
17/9/2019,1.00,1.01,0.998124,1.00,171423477,414202818,
16/9/2019,1.00,1.01,0.995350,0.999926,303681510,421382673,
15/9/2019,0.999346,1.01,0.998562,1.00,108479017,427289964,
14/9/2019,0.999584,1.00,0.998116,0.999346,146591060,426122932,
13/9/2019,0.999028,1.01,0.997497,0.998835,159607257,426372460,
12/9/2019,1.00,1.01,0.997735,0.999025,208929233,433413767,
11/9/2019,1.00,1.01,0.998584,1.00,170908062,435865675,
10/9/2019,1.00,1.02,0.998622,1.00,287595684,438285028,
