Date;Opens at:;Closes at:;Highest at:;Lowest at:;Volume Traded:;Market Cap:
5/2/2020;3.29;3.55;3.28;3.51;125,481,834;140,252,213;
4/2/2020;3.28;3.31;3.23;3.29;85,498,320;131,458,949;
3/2/2020;3.25;3.33;3.24;3.28;87,857,996;131,193,043;
2/2/2020;3.25;3.31;3.20;3.25;93,843,209;129,971,981;
1/2/2020;3.18;3.30;3.18;3.26;93,372,485;130,279,446;
31/1/2020;3.21;3.27;3.13;3.18;92,970,171;127,261,774;
30/1/2020;3.13;3.22;3.07;3.21;106,275,034;128,549,694;
29/1/2020;3.05;3.18;3.04;3.13;104,235,601;125,246,167;
28/1/2020;2.95;3.06;2.95;3.04;113,058,716;121,784,891;
27/1/2020;2.86;2.99;2.86;2.95;100,903,126;117,958,851;
26/1/2020;2.81;2.88;2.79;2.86;83,146,773;114,450,953;
25/1/2020;2.88;2.88;2.79;2.81;79,901,861;112,489,128;
24/1/2020;2.77;2.89;2.77;2.88;93,923,954;115,344,499;
23/1/2020;2.93;2.93;2.71;2.77;90,852,574;110,802,166;
22/1/2020;2.96;2.98;2.91;2.93;79,562,420;117,009,844;
21/1/2020;2.93;2.98;2.90;2.96;84,463,277;118,204,416;
20/1/2020;2.96;2.98;2.91;2.93;85,059,617;117,337,906;
19/1/2020;2.93;3.17;2.89;2.96;124,115,850;118,354,628;
18/1/2020;3.08;3.17;2.92;2.93;134,944,257;117,335,880;
17/1/2020;3.08;3.19;3.05;3.09;131,827,260;123,523,658;
16/1/2020;3.16;3.18;2.96;3.08;113,162,561;123,275,258;
15/1/2020;3.06;3.41;3.03;3.16;150,726,009;126,385,954;
14/1/2020;2.89;3.13;2.89;3.06;114,295,242;122,252,593;
13/1/2020;2.91;2.93;2.86;2.90;76,161,685;115,809,813;
12/1/2020;2.90;2.93;2.88;2.90;72,846,303;116,185,648;
11/1/2020;2.89;2.94;2.83;2.90;82,413,533;116,062,129;
10/1/2020;2.85;2.89;2.78;2.89;82,270,829;115,609,653;
9/1/2020;2.81;2.88;2.76;2.85;83,425,799;114,071,508;
8/1/2020;2.89;2.96;2.79;2.81;92,723,546;112,418,777;
7/1/2020;2.80;2.93;2.80;2.89;93,381,436;115,607,271;
6/1/2020;2.68;2.81;2.68;2.80;78,076,040;112,119,658;
5/1/2020;2.67;2.72;2.67;2.68;62,760,189;107,211,336;
4/1/2020;2.65;2.67;2.61;2.66;62,868,631;106,513,592;
3/1/2020;2.56;2.66;2.53;2.65;70,789,968;105,834,379;
2/1/2020;2.62;2.63;2.55;2.55;64,119,546;101,944,698;
1/1/2020;2.62;2.64;2.61;2.62;64,067,312;104,866,183;
31/12/2019;2.69;2.70;2.61;2.62;65,594,414;104,654,779;
30/12/2019;2.64;2.73;2.64;2.69;76,957,312;107,644,239;
29/12/2019;2.62;2.68;2.61;2.64;60,463,229;105,762,790;
28/12/2019;2.62;2.66;2.62;2.62;55,362,704;104,627,714;
27/12/2019;2.59;2.66;2.58;2.62;73,578,928;104,926,974;
26/12/2019;2.62;2.65;2.59;2.60;74,877,335;51,915,808;
25/12/2019;2.63;2.64;2.56;2.62;72,518,452;52,368,926;
24/12/2019;2.57;2.64;2.54;2.63;72,192,442;52,578,566;
23/12/2019;2.57;2.65;2.55;2.57;82,327,772;51,428,524;
22/12/2019;2.54;2.58;2.51;2.56;73,073,980;51,291,020;
21/12/2019;2.53;2.56;2.50;2.54;70,830,660;50,776,198;
20/12/2019;2.49;2.58;2.46;2.53;87,712,466;50,686,170;
19/12/2019;2.54;2.57;2.43;2.49;86,380,402;49,877,471;
18/12/2019;2.31;2.57;2.29;2.54;115,428,062;50,879,324;
17/12/2019;2.53;2.55;2.30;2.31;87,818,017;46,154,578;
16/12/2019;2.59;2.62;2.52;2.53;98,733,043;50,623,289;
15/12/2019;2.54;2.64;2.52;2.59;94,348,370;51,821,759;
14/12/2019;2.63;2.63;2.53;2.54;85,229,288;50,831,723;
13/12/2019;2.65;2.68;2.59;2.63;86,469,900;52,572,611;
12/12/2019;2.56;2.66;2.51;2.66;101,703,526;53,109,070;
11/12/2019;2.63;2.64;2.53;2.56;87,657,276;51,176,718;
10/12/2019;2.68;2.72;2.57;2.63;94,983,941;52,695,905;
9/12/2019;2.72;2.76;2.68;2.69;102,447,700;53,714,339;
8/12/2019;2.69;2.76;2.59;2.72;95,533,169;54,364,402;
7/12/2019;2.60;2.73;2.59;2.69;104,407,900;53,713,075;
6/12/2019;2.56;2.61;2.55;2.61;92,403,360;52,127,821;
5/12/2019;2.59;2.68;2.51;2.56;95,434,133;51,252,747;
4/12/2019;2.65;2.67;2.48;2.59;114,770,988;51,717,832;
3/12/2019;2.56;2.67;2.54;2.65;103,505,253;52,996,795;
2/12/2019;2.50;2.56;2.41;2.56;103,544,568;51,119,858;
1/12/2019;2.44;2.55;2.37;2.50;92,547,948;50,001,608;
30/11/2019;2.35;2.45;2.34;2.43;64,680,442;48,672,206;
29/11/2019;2.31;2.41;2.30;2.35;61,214,182;46,909,346;
28/11/2019;2.25;2.44;2.24;2.31;71,526,946;46,215,007;
27/11/2019;2.17;2.28;2.08;2.25;68,012,191;44,932,073;
26/11/2019;2.08;2.23;2.06;2.17;72,720,466;43,455,063;
25/11/2019;1.97;2.12;1.73;2.08;106,317,351;41,545,877;
24/11/2019;2.23;2.23;1.97;1.97;77,690,313;39,393,164;
23/11/2019;2.12;2.25;2.02;2.24;78,372,041;44,709,888;
22/11/2019;2.47;2.48;1.95;2.12;97,444,834;42,415,681;
21/11/2019;2.55;2.56;2.41;2.47;79,412,154;49,311,947;
20/11/2019;2.61;2.71;2.53;2.55;90,800,794;50,991,178;
19/11/2019;2.76;2.83;2.51;2.61;115,076,016;52,137,226;
