Date,Opens at:,Closes at:,Highest at:,Lowest at:,Volume Traded:,Market Cap:
5/2/2020,0.266692,0.281039,0.266692,0.277468,3332447611,12124855856,
4/2/2020,0.254557,0.269576,0.248820,0.266808,2900951896,11659047307,
3/2/2020,0.250570,0.256370,0.248154,0.254627,2156814065,11126754979,
2/2/2020,0.241321,0.259259,0.237002,0.250734,2477130012,10953472898,
1/2/2020,0.239191,0.242612,0.237781,0.241455,1592451417,10548109281,
31/1/2020,0.243618,0.244273,0.234905,0.239233,1892170752,10451015954,
30/1/2020,0.235607,0.245961,0.231997,0.243642,2125017678,10643624488,
29/1/2020,0.238691,0.241267,0.235322,0.235730,1883265674,10297986176,
28/1/2020,0.231206,0.239931,0.230945,0.238488,2052700894,10418484690,
27/1/2020,0.230532,0.234634,0.226982,0.231222,1722593699,10098829103,
26/1/2020,0.220345,0.231344,0.219327,0.230686,1583964764,10075423155,
25/1/2020,0.223049,0.223150,0.217737,0.220427,1373179560,9627353633,
24/1/2020,0.226201,0.226314,0.215389,0.223041,1706347379,9741530849,
23/1/2020,0.236173,0.236284,0.223069,0.226104,1600294983,9875297162,
22/1/2020,0.237263,0.238689,0.234236,0.236056,1517150861,10309942100,
21/1/2020,0.233340,0.240264,0.231539,0.237166,1701652845,10358425747,
20/1/2020,0.235384,0.235748,0.225986,0.233296,1723535818,10184268786,
19/1/2020,0.243367,0.249569,0.229278,0.235585,2211717302,10284187005,
18/1/2020,0.238880,0.251187,0.233148,0.243286,2391157804,10620350242,
17/1/2020,0.228725,0.243156,0.226576,0.238776,2418043081,10423473280,
16/1/2020,0.232881,0.233568,0.224055,0.228574,2066952513,9978103123,
15/1/2020,0.234504,0.240997,0.227920,0.232895,2590278224,10166738989,
14/1/2020,0.212528,0.241832,0.212379,0.234687,2639844916,10244977875,
13/1/2020,0.215624,0.215687,0.210601,0.212617,1321442559,9220403706,
12/1/2020,0.212151,0.216371,0.211533,0.215633,1496128430,9351208273,
11/1/2020,0.212097,0.218971,0.210054,0.211851,1655817070,9187177375,
10/1/2020,0.204908,0.212403,0.201820,0.212306,1693646276,9206907569,
9/1/2020,0.209110,0.209142,0.202589,0.204899,1341130889,8885696511,
8/1/2020,0.213834,0.216704,0.205214,0.209026,1782128652,9064684943,
7/1/2020,0.221576,0.223386,0.209047,0.213917,2237698314,9276786517,
6/1/2020,0.195536,0.223832,0.195068,0.221510,2301679290,9606054235,
5/1/2020,0.194367,0.199223,0.193884,0.195537,1168067557,8474172240,
4/1/2020,0.193521,0.194653,0.191835,0.194355,999331594,8422952089,
3/1/2020,0.187948,0.194070,0.185846,0.193521,1270017043,8386800449,
2/1/2020,0.192708,0.192896,0.186947,0.188043,1085351426,8149376228,
1/1/2020,0.192912,0.194362,0.192107,0.192667,1041134003,8349802256,
31/12/2019,0.194518,0.194878,0.189969,0.192894,1116761075,8359619491,
30/12/2019,0.197063,0.198716,0.193685,0.194474,1247499610,8428101982,
29/12/2019,0.193116,0.198972,0.192524,0.197051,1176573822,8536136120,
28/12/2019,0.191063,0.195286,0.190974,0.193222,1168758140,8370284759,
27/12/2019,0.190403,0.192708,0.188502,0.191102,1151157499,8278444958,
26/12/2019,0.190555,0.192518,0.188141,0.190394,1177534639,8247774697,
25/12/2019,0.192288,0.192622,0.188474,0.190719,1140140919,8261843273,
24/12/2019,0.190992,0.196885,0.189908,0.192198,1255576963,8325926772,
23/12/2019,0.196958,0.198134,0.189891,0.190943,1402992086,8271536883,
22/12/2019,0.193999,0.197370,0.192513,0.196978,1261599021,8532972546,
21/12/2019,0.195340,0.196173,0.190614,0.194082,1208597753,8407526855,
20/12/2019,0.190900,0.197967,0.186777,0.195316,1765470385,8460970904,
19/12/2019,0.196289,0.197257,0.185322,0.190819,1588179338,8264443017,
18/12/2019,0.184613,0.197512,0.178485,0.196176,2136022808,8496449615,
17/12/2019,0.207189,0.207659,0.180494,0.183699,2059426123,7956063481,
16/12/2019,0.218647,0.218908,0.206862,0.207225,1486338425,8974974229,
15/12/2019,0.217573,0.220074,0.211347,0.218601,1171149673,9467680410,
14/12/2019,0.220748,0.221742,0.216795,0.217356,1078990952,9413737187,
13/12/2019,0.219827,0.221007,0.216930,0.220755,1252707498,9560937204,
12/12/2019,0.222013,0.222692,0.218963,0.219859,1287697362,9522171540,
11/12/2019,0.224241,0.224742,0.221290,0.222053,1072062152,9611705134,
10/12/2019,0.225439,0.226251,0.221276,0.224302,1191690782,9709071953,
9/12/2019,0.230433,0.231324,0.223183,0.225452,1241659373,9758847242,
8/12/2019,0.228453,0.233737,0.226260,0.230435,1117646358,9974529031,
7/12/2019,0.225492,0.228891,0.225390,0.228445,1073561928,9888381919,
6/12/2019,0.222959,0.225858,0.220785,0.225505,1253702621,9761133164,
5/12/2019,0.216249,0.226575,0.213965,0.222928,1424294121,9649602827,
4/12/2019,0.219824,0.221770,0.212603,0.216348,1427312577,9364745688,
3/12/2019,0.219516,0.223179,0.216675,0.219870,1017648495,9517202026,
2/12/2019,0.225386,0.227203,0.217283,0.219581,1187513777,9507818760,
1/12/2019,0.226466,0.226525,0.220253,0.225333,1176237060,9756884341,
30/11/2019,0.230232,0.233615,0.224546,0.226474,1160032624,9806315573,
29/11/2019,0.224623,0.231636,0.224129,0.230217,1325761774,9968382707,
28/11/2019,0.225221,0.231131,0.224198,0.224570,1244175231,9723838882,
27/11/2019,0.221845,0.228498,0.216199,0.225081,1608881984,9745970911,
26/11/2019,0.218464,0.223212,0.214957,0.222145,1322723640,9618843673,
25/11/2019,0.222832,0.225923,0.207013,0.218622,9415068271,9466286656,
24/11/2019,0.236227,0.236373,0.223184,0.223184,2932397174,9663857831,
23/11/2019,0.231574,0.236188,0.227707,0.236188,1480512363,10226933084,
22/11/2019,0.243775,0.246417,0.225687,0.231600,2012230945,10028238451,
21/11/2019,0.251316,0.253512,0.240784,0.243766,1586333624,10555043277,
